window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,reversal_count_exact_match_rate,difficult_top20_rmse,feature_protocol_note
pre1_label2_event_trigger,subject_level_split,test,rbf_krr_vehicle_no_subject,70,0.4924068267898459,0.8142857142857143,0.18571428571428572,0.48148148148148145,7.822644771150988,0.4142857142857143,0.6189285725355148,0.41678571666457825,0.46822748723040736,0.02857142857142857,0.7585950080939897,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,subject_level_split,test,ridge_vehicle_summary,70,0.5640794936016101,0.7714285714285715,0.2285714285714285,0.6296296296296297,7.232918160761729,0.3,0.6694285754646574,0.4489285701353635,0.4878370201082102,0.0285714285714285,0.9235119147997096,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre1_label2_event_trigger,subject_level_split,test,knn_vehicle_no_subject,70,0.5690886373062839,0.7857142857142857,0.21428571428571427,0.5185185185185185,6.848176973302535,0.38571428571428573,0.5248571476766042,0.5934285727861737,0.4716048588976264,0.05714285714285714,0.9119461187445134,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,subject_level_split,test,train_mean_by_event_type,70,0.5773567805722803,0.6142857142857143,0.3857142857142857,0.074074074074074,4.688704087432147,0.6571428571428571,0.6099285700491497,0.922642856836319,0.4716251745553953,0.1571428571428571,0.9128903082509626,no learned vehicle model or event average baseline
pre1_label2_event_trigger,subject_level_split,test,ridge_vehicle_no_subject,70,0.5819658838725923,0.7571428571428571,0.24285714285714285,0.5555555555555556,7.4144259022728205,0.34285714285714286,0.6739285754305976,0.47792857185538323,0.4980234749216054,0.0,0.9545938841454749,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre1_label2_event_trigger,subject_level_split,test,zero_response,70,0.6192616428946645,0.5571428571428572,0.4428571428571428,0.0,0.0,1.0,1.3535000021968568,1.5583571433754904,0.4833389164347734,0.0857142857142857,1.012272781967207,no learned vehicle model or event average baseline
pre2_label2_old_main,random_event_split,test,rbf_krr_vehicle_no_subject,51,0.3404882560230682,0.8627450980392157,0.13725490196078433,0.7142857142857143,1.0640849678697586,0.29411764705882354,0.43941177047935187,0.40421568299187166,0.34551432168375995,0.058823529411764705,0.5152665867576927,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,random_event_split,test,ridge_vehicle_no_subject,51,0.400260894031103,0.8823529411764706,0.11764705882352941,0.5714285714285714,1.0432605128994332,0.3137254901960784,0.5150000008882261,0.3021568616888687,0.429633085378537,0.0,0.6036096713040447,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,random_event_split,test,ridge_vehicle_summary,51,0.4170856532758973,0.8627450980392157,0.1372549019607843,0.5714285714285714,1.1553099451671212,0.2941176470588235,0.5441176429683087,0.2662745083810067,0.4733278206001748,0.0,0.6136872206733563,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre2_label2_old_main,random_event_split,test,knn_vehicle_no_subject,51,0.4889818838541869,0.7647058823529411,0.23529411764705882,0.5714285714285714,1.3103450916279282,0.2549019607843137,0.5530392212026259,0.33098039206336527,0.4340661856592359,0.0,0.7632380834892017,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,random_event_split,test,train_mean_by_event_type,51,0.493174898664648,0.7647058823529411,0.2352941176470588,0.0,0.7548739214234786,0.5686274509803921,0.5410784331022525,0.6743137236027157,0.4097141723203308,0.1372549019607843,0.8274990919279152,no learned vehicle model or event average baseline
pre2_label2_old_main,random_event_split,test,zero_response,51,0.5394485631735493,0.5098039215686274,0.4901960784313725,0.0,0.0,1.0,1.3806862749305426,1.6435294116609822,0.4833983700430276,0.1568627450980392,0.9689797456788464,no learned vehicle model or event average baseline
pre2_label2_old_main,session_level_split,test,rbf_krr_vehicle_no_subject,67,0.3823369190123317,0.8208955223880597,0.1791044776119403,0.5454545454545454,1.0838497869119437,0.2835820895522388,0.5436567259368612,0.3060447742689901,0.3790074125099093,0.029850746268656716,0.642092479153531,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,session_level_split,test,knn_vehicle_no_subject,67,0.3887947456653436,0.746268656716418,0.2537313432835821,0.22727272727272727,0.7744649285554618,0.47761194029850745,0.5020895578078369,0.3955223872256813,0.32058612415706045,0.04477611940298507,0.6245367309368631,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,session_level_split,test,ridge_vehicle_no_subject,67,0.41877791381222534,0.7611940298507462,0.23880597014925373,0.13636363636363635,0.7043048663595768,0.5522388059701493,0.5761194064545987,0.429477608081565,0.3829995075261582,0.08955223880597014,0.711622677035257,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,session_level_split,test,ridge_vehicle_summary,67,0.4222040741772114,0.6865671641791045,0.3134328358208955,0.1818181818181818,0.7313037172347282,0.5223880597014925,0.5681343247641378,0.450820893827659,0.4064482439156455,0.0,0.7104308943839862,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre2_label2_old_main,session_level_split,test,train_mean_by_event_type,67,0.4717183507921544,0.6716417910447762,0.3283582089552239,0.0,0.6127942766490975,0.6119402985074627,0.6023134264483381,0.6248507508035026,0.4306009368720784,0.1940298507462686,0.7573298780868025,no learned vehicle model or event average baseline
pre2_label2_old_main,session_level_split,test,zero_response,67,0.5386304457864538,0.5373134328358209,0.4626865671641791,0.0,0.0,1.0,1.369477611424318,1.6084328362746023,0.4355170603619138,0.1044776119402985,0.9299385784084068,no learned vehicle model or event average baseline
pre2_label2_old_main,subject_level_split,test,rbf_krr_vehicle_no_subject,70,0.4798873384955742,0.8,0.2,0.5185185185185185,6.621292584336967,0.37142857142857144,0.6850714330162321,0.484642854838499,0.45229911746157864,0.0,0.7272828338697331,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,subject_level_split,test,ridge_vehicle_summary,70,0.5215962275556124,0.7285714285714285,0.2714285714285714,0.1111111111111111,6.958351823634103,0.6428571428571429,0.6710000021117074,0.6352142846743976,0.4626136097458324,0.0285714285714285,0.8323184123285328,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre2_label2_old_main,subject_level_split,test,ridge_vehicle_no_subject,70,0.5245276737287159,0.7428571428571429,0.2571428571428571,0.1111111111111111,6.655561634674386,0.6285714285714286,0.6546428603785378,0.5997142852150968,0.4662594163008699,0.04285714285714286,0.836181371811363,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,subject_level_split,test,knn_vehicle_no_subject,70,0.5468444941768702,0.7857142857142857,0.21428571428571427,0.25925925925925924,7.1693910378859345,0.5142857142857142,0.5945000095026833,0.6688571412116289,0.44830779208818317,0.07142857142857142,0.862099683863192,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre2_label2_old_main,subject_level_split,test,train_mean_by_event_type,70,0.5773567805722803,0.6142857142857143,0.3857142857142857,0.074074074074074,4.688704087432147,0.6571428571428571,0.6099285700491497,0.922642856836319,0.4716251745553953,0.1571428571428571,0.9128903082509626,no learned vehicle model or event average baseline
pre2_label2_old_main,subject_level_split,test,zero_response,70,0.6192616428946645,0.5571428571428572,0.4428571428571428,0.0,0.0,1.0,1.3535000021968568,1.5583571433754904,0.4833389164347734,0.0857142857142857,1.012272781967207,no learned vehicle model or event average baseline
pre3_label3_response_coverage,random_event_split,test,rbf_krr_vehicle_no_subject,51,0.48176819162680656,0.803921568627451,0.19607843137254902,0.6666666666666666,0.9709340001407631,0.23529411764705882,0.7985294011293673,0.5252941171182137,0.4909281921846902,0.0,0.8215822438118809,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,random_event_split,test,knn_vehicle_no_subject,51,0.5254072745125832,0.7843137254901961,0.21568627450980393,0.2777777777777778,0.8978770066188156,0.35294117647058826,0.8878431103977502,0.6858823547760645,0.5008078805517917,0.0,0.9119241735301421,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,random_event_split,test,train_mean_by_event_type,51,0.5890565968729707,0.7647058823529411,0.2352941176470588,0.0,0.6167886586224506,0.6470588235294118,1.0969607719019348,0.9485294101211954,0.5439672684844803,0.0784313725490196,1.0313547101277958,no learned vehicle model or event average baseline
pre3_label3_response_coverage,random_event_split,test,zero_response,51,0.6215822477126925,0.5490196078431373,0.4509803921568627,0.0,0.0,1.0,1.981470584285025,2.5394117647745444,0.51966009493552,0.0392156862745098,1.0781660188432698,no learned vehicle model or event average baseline
pre3_label3_response_coverage,random_event_split,test,ridge_vehicle_no_subject,51,0.8080415941978244,0.8431372549019608,0.1568627450980392,0.5,1.0423029355945859,0.29411764705882354,0.8900980388416964,0.4008823514861219,0.6438088318442597,0.0196078431372549,1.536968408858022,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,random_event_split,test,ridge_vehicle_summary,51,0.8596578340846042,0.7254901960784313,0.2745098039215686,0.5555555555555556,1.1116602725906035,0.2352941176470588,0.8100980333253449,0.3778431402409778,0.6748823809127013,0.0,1.6277715112372864,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre3_label3_response_coverage,session_level_split,test,rbf_krr_vehicle_no_subject,67,0.46695650606150507,0.7910447761194029,0.208955223880597,0.47058823529411764,0.7414975686105395,0.3582089552238806,0.7452238686938784,0.4720895522788389,0.3925076400159177,0.0,0.8325626346099712,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,session_level_split,test,knn_vehicle_no_subject,67,0.47255687677069785,0.7164179104477612,0.2835820895522388,0.47058823529411764,0.725427042482591,0.40298507462686567,0.8320149165480885,0.6820149293808795,0.3897667844334979,0.029850746268656716,0.816307993823271,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,session_level_split,test,ridge_vehicle_no_subject,67,0.4894340213591254,0.7611940298507462,0.23880597014925373,0.35294117647058826,0.644083353030388,0.44776119402985076,0.8991790987662415,0.7066417924726187,0.38228828243132845,0.04477611940298507,0.8957140305341024,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,session_level_split,test,train_mean_by_event_type,67,0.515794506583606,0.6865671641791045,0.3134328358208955,0.0,0.5692340408997826,0.6716417910447762,1.015074614713441,0.858731348067522,0.4418058919984458,0.044776119402985,0.9030764188740216,no learned vehicle model or event average baseline
pre3_label3_response_coverage,session_level_split,test,ridge_vehicle_summary,67,0.5392518269446204,0.6567164179104478,0.3432835820895522,0.2352941176470588,0.4967420508628369,0.5671641791044776,1.033134329230038,1.4477611853560406,0.4067532772497176,0.0895522388059701,0.9904691824494392,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre3_label3_response_coverage,session_level_split,test,zero_response,67,0.5640179319688875,0.582089552238806,0.417910447761194,0.0,0.0,1.0,1.836865670200604,2.4833582104809246,0.41363244895726,0.044776119402985,1.0373450160324469,no learned vehicle model or event average baseline
pre3_label3_response_coverage,subject_level_split,test,rbf_krr_vehicle_no_subject,70,0.6208327227786652,0.7428571428571429,0.2571428571428571,0.12,4.064237537131341,0.6428571428571429,0.7829285489661353,1.0843571327360613,0.505731447812702,0.02857142857142857,1.1271036628757876,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,subject_level_split,test,ridge_vehicle_summary,70,0.6349496225144965,0.7285714285714285,0.2714285714285714,0.16,4.128342113083188,0.5,0.848285705276898,0.8678571392116802,0.5132760174106806,0.0,1.1493041275593066,"v0.2 includes subject one-hot; use as driver-id control, not final pure-vehicle baseline"
pre3_label3_response_coverage,subject_level_split,test,ridge_vehicle_no_subject,70,0.6350591574169069,0.7,0.3,0.2,3.973294968113702,0.5142857142857142,0.8669285727398736,0.8744285718404821,0.5180209017624813,0.014285714285714285,1.1484877919022625,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,subject_level_split,test,knn_vehicle_no_subject,70,0.6433675086438161,0.7,0.3,0.36,3.6475086183072563,0.5428571428571428,1.0236428639718465,1.1077142863135252,0.5469120287003794,0.07142857142857142,1.1695861139192398,v0.3 no subject one-hot; pure vehicle/history/event-road features
pre3_label3_response_coverage,subject_level_split,test,train_mean_by_event_type,70,0.6725170661844571,0.6714285714285714,0.3285714285714285,0.0,4.061139216421141,0.6285714285714286,0.9919285752943584,1.3133571507409214,0.5393209518066474,0.0714285714285714,1.214478895343464,no learned vehicle model or event average baseline
pre3_label3_response_coverage,subject_level_split,test,zero_response,70,0.7076091844757909,0.6142857142857143,0.3857142857142857,0.0,0.0,1.0,1.950357146348272,2.416571426471429,0.5398700722626277,0.0714285714285714,1.3041452643340508,no learned vehicle model or event average baseline
