sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00005__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_45_40__00005,cwh,2025_09_26_19_45_40,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.30244144797325134,0.34679675102233887,0.1929006725549698,0.15389607846736908,0.5562355240823583,0,1,0.7250000238418579,0.08499999344348907,0.20544273406267166,1,1,2,6,0,1,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00002__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00002,cwh,2025_09_26_19_56_16,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.030144818127155304,0.21711865067481995,0.18769000470638275,0.029428645968437195,0.8644582311239919,1,0,0.2549999952316284,0.12000000476837158,0.022016122937202454,0,1,1,5,0,0,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00003__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00003,cwh,2025_09_26_19_56_16,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.08995731174945831,0.13369201123714447,0.04544343426823616,0.08824857696890831,0.3399113667878633,1,0,1.0649999976158142,0.034999996423721313,0.16230551898479462,1,1,0,2,0,0,1,0,0,1,0
raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00004__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_19_56_16__00004,cwh,2025_09_26_19_56_16,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.03351238742470741,0.12234760075807571,0.14363223314285278,0.02128463238477707,1.1739685310778123,1,0,0.0,0.9899999797344208,0.02128463238477707,0,0,0,26,0,0,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00003__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00003,cwh,2025_09_26_20_06_19,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.05179508775472641,0.6269224882125854,0.5818439722061157,0.04507851600646973,0.9280955511183004,1,0,0.2749999761581421,0.5399999916553497,0.016089022159576416,0,0,2,28,0,1,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00004__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00004,cwh,2025_09_26_20_06_19,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.04437251389026642,0.06789328902959824,0.09331502765417099,0.025421738624572754,1.3744366930506209,1,0,0.3500000238418579,0.4699999913573265,0.10800652205944061,1,0,0,7,0,0,1,0,0,0,0
raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00005__pre1_label2_event_trigger,raw_road_curvature_onset__cwh__2025_09_26_20_06_19__00005,cwh,2025_09_26_20_06_19,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.2657632827758789,0.07696901261806488,0.288307785987854,0.21133877336978912,3.7457643820701323,0,1,0.6150000095367432,0.2900000065565109,0.3462072014808655,1,0,2,27,0,1,1,0,0,0,0
raw_road_curvature_onset__gf__2025_09_26_10_03_00__00001__pre1_label2_event_trigger,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00001,gf,2025_09_26_10_03_00,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.15920503437519073,0.40002620220184326,0.193175807595253,0.20685039460659027,0.48290788586338973,1,0,1.5649999976158142,0.06000000238418579,0.407172670122236,1,0,1,45,0,0,1,0,0,1,0
raw_road_curvature_onset__gf__2025_09_26_10_03_00__00003__pre1_label2_event_trigger,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00003,gf,2025_09_26_10_03_00,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.06665807217359543,0.10332299768924713,0.10676225274801254,0.0034392550587654114,1.033286442860565,1,0,0.42499998211860657,0.025000005960464478,0.09153730794787407,1,0,4,1,0,1,0,0,0,0,0
raw_road_curvature_onset__gf__2025_09_26_10_03_00__00004__pre1_label2_event_trigger,raw_road_curvature_onset__gf__2025_09_26_10_03_00__00004,gf,2025_09_26_10_03_00,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.0820782259106636,0.4803149700164795,0.45694318413734436,0.023371785879135132,0.9513407090386268,1,0,0.04499995708465576,0.01000000536441803,0.13023445010185242,0,0,2,3,0,1,1,0,0,0,0
raw_road_curvature_onset__gf__2025_09_26_10_18_49__00003__pre1_label2_event_trigger,raw_road_curvature_onset__gf__2025_09_26_10_18_49__00003,gf,2025_09_26_10_18_49,pre1_label2_event_trigger,random_event_split,train,ridge_vehicle_no_subject,0.287824809551239,0.629365086555481,0.22684624791145325,0.4025188386440277,0.36043665712851053,1,0,0.7100000381469727,0.06000000238418579,0.12410807609558105,0,0,2,32,0,1,1,0,0,1,0
