subject,session_stamp,modalities_with_time,overlap_start_raw,overlap_end_raw,overlap_duration_raw,union_duration_raw,overlap_ratio_raw,status
gzj,2025_09_27_12_04_23,"vehicle,physio,eeg",1758974663.2659998,1758974977.374,314.1080002784729,314.1329998970032,0.9999204170891359,overlap_ok
gzj,2025_09_27_12_17_12,"vehicle,physio,eeg",1758975433.0419998,1758976047.767,614.7250001430511,614.7669999599457,0.9999316817316198,overlap_ok
gzj,2025_09_27_12_28_14,"vehicle,physio,eeg",1758976094.661,1758976722.132,627.470999956131,627.4969999790192,0.999958565502482,overlap_ok
hzh,2025_09_26_20_50_27,"vehicle,physio,eeg",1758919827.197,1758920558.329,731.1319999694824,731.1679999828339,0.99995076369131,overlap_ok
hzh,2025_09_26_21_03_19,"vehicle,physio,eeg",1758920599.3049998,1758921197.866,598.5610001087189,598.5939998626709,0.9999448712249712,overlap_ok
hzh,2025_09_26_21_17_02,"vehicle,physio,eeg",1758921422.541,1758922087.0979998,664.5569999217987,664.5979998111725,0.9999383087379357,overlap_ok
hzh,2025_09_27_19_22_27,"vehicle,physio,eeg",1759000948.018,1759001524.932,576.9140000343323,576.9769997596741,0.9998908106815904,overlap_ok
hzh,2025_09_27_19_33_25,"vehicle,physio,eeg",1759001606.3379998,1759002171.7510002,565.4130003452301,565.4790000915527,0.9998832852390417,overlap_ok
hzh,2025_09_27_19_44_05,"vehicle,physio,eeg",1759002246.446,1759002793.052,546.6059999465942,546.6930000782013,0.9998408610836528,overlap_ok
jy,2025_09_26_17_17_11,"vehicle,physio,eeg",1758907031.336,1758907707.5459998,676.2099997997284,676.2300000190735,0.99997042393957,overlap_ok
jy,2025_09_26_17_29_44,"vehicle,physio,eeg",1758907784.6940002,1758908423.697,639.0029997825623,639.0209999084473,0.9999718317146266,overlap_ok
jy,2025_09_26_17_40_51,"vehicle,physio,eeg",1758908451.8620002,1758909001.432,549.5699996948242,549.5829999446869,0.9999763452474622,overlap_ok
jy,2025_09_26_17_51_46,"vehicle,physio,eeg",1758909106.463,1758909671.3470001,564.8840000629425,564.9030001163483,0.9999663658125345,overlap_ok
