signal,valid_count,total_count,valid_rate,min,max,mean,std,zero_rate,near_constant,median_abs_diff,spike_rate_proxy,relative_path,top_dir,subject,session_stamp,modality,raw_sensor_scope,derived_file
LSLOutletStreamName-EEG|channel29,282708,339251,0.8333298943849834,12653.304,43562.848,35789.39523870566,8572.591648425987,0.0,False,4.625,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel30,282708,339251,0.8333298943849834,40211.871,55761.484,49792.49450011673,4182.8017130335675,0.0,False,4.81699999999546,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel31,282708,339251,0.8333298943849834,36509.422,48809.914,44486.9782565191,2499.447194483763,0.0,False,4.148000000001048,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-Accelerometer|channel0,56543,339251,0.1666701056150166,-4971.0,6384.0,-209.72990467431865,602.1590011438687,0.08554551403356737,False,79.0,0.00010611580771815642,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-Accelerometer|channel1,56543,339251,0.1666701056150166,-11885.0,-6805.0,-10039.85543745468,236.41984664152648,0.0,False,79.0,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-Accelerometer|channel2,56543,339251,0.1666701056150166,-4471.0,4275.0,-829.7446545107264,519.6887744468607,0.0034487027571936404,False,108.0,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_05_51_eeg.csv,原始脑电数据,byx,2025_09_28_17_05_51,eeg,True,False
LSLOutletStreamName-EEG|channel0,266863,320238,0.8333270879783161,33607.676,43045.574,39046.07690665247,2794.749142482693,0.0,False,3.194999999999709,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
LSLOutletStreamName-EEG|channel1,266863,320238,0.8333270879783161,57255.133,63053.711,60979.17235044199,990.1159474681787,0.0,False,3.5749999999970896,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
LSLOutletStreamName-EEG|channel2,266863,320238,0.8333270879783161,-400000.06,-400000.06,-400000.05999999994,0.0078125,0.0,False,0.0,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
LSLOutletStreamName-EEG|channel3,266863,320238,0.8333270879783161,64281.805,69029.391,66952.17451466857,1149.1522904824403,0.0,False,3.194999999999709,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
LSLOutletStreamName-EEG|channel4,266863,320238,0.8333270879783161,50937.707,56312.711,55005.6220825742,764.416855043399,0.0,False,3.194999999999709,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
LSLOutletStreamName-EEG|channel5,266863,320238,0.8333270879783161,37999.922,42660.48,40128.76628405586,1165.5341870736565,0.0,False,4.194999999999709,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
LSLOutletStreamName-EEG|channel6,266863,320238,0.8333270879783161,36945.488,52230.172,44685.65647937706,4408.132053309863,0.0,False,3.242999999994936,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
LSLOutletStreamName-EEG|channel7,266863,320238,0.8333270879783161,21923.734,27315.238,24236.95576771602,854.8433180496778,0.0,False,3.0529999999998836,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
LSLOutletStreamName-EEG|channel8,266863,320238,0.8333270879783161,62375.363,66562.328,63537.5116370722,605.2785888689004,0.0,False,4.628999999993539,0.0,原始脑电数据/byx/Entity_Recording_2025_09_28_17_15_52_eeg.csv,原始脑电数据,byx,2025_09_28_17_15_52,eeg,True,False
