subject,session_stamp,vehicle_file_count,physio_file_count,eeg_file_count,vehicle_paths,physio_paths,eeg_paths,vehicle_time_min,vehicle_time_max,physio_time_min,physio_time_max,eeg_time_min,eeg_time_max,vehicle_available,physio_available,eeg_available,all_three_modalities_available
hzh,2025_09_27_19_22_27,1,1,1,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_22_27_vehicle.csv,原始生理数据/hzh/Entity_Recording_2025_09_27_19_22_27_physio.csv,原始脑电数据/hzh/Entity_Recording_2025_09_27_19_22_27_eeg.csv,1759000947.98,1759001524.932,1759000947.956,1759001524.9329998,1759000948.018,1759001524.932,True,True,True,True
hzh,2025_09_27_19_33_25,1,1,1,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_33_25_vehicle.csv,原始生理数据/hzh/Entity_Recording_2025_09_27_19_33_25_physio.csv,原始脑电数据/hzh/Entity_Recording_2025_09_27_19_33_25_eeg.csv,1759001606.296,1759002171.752,1759001606.274,1759002171.753,1759001606.3379998,1759002171.7510002,True,True,True,True
hzh,2025_09_27_19_44_05,1,1,1,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_44_05_vehicle.csv,原始生理数据/hzh/Entity_Recording_2025_09_27_19_44_05_physio.csv,原始脑电数据/hzh/Entity_Recording_2025_09_27_19_44_05_eeg.csv,1759002246.393,1759002793.053,1759002246.36,1759002793.052,1759002246.446,1759002793.052,True,True,True,True
jy,2025_09_26_17_17_11,1,1,1,原始车辆数据/jy/Entity_Recording_2025_09_26_17_17_11_vehicle.csv,原始生理数据/jy/Entity_Recording_2025_09_26_17_17_11_physio.csv,原始脑电数据/jy/Entity_Recording_2025_09_26_17_17_11_eeg.csv,1758907031.3209999,1758907707.5459998,1758907031.319,1758907707.549,1758907031.336,1758907707.549,True,True,True,True
jy,2025_09_26_17_29_44,1,1,1,原始车辆数据/jy/Entity_Recording_2025_09_26_17_29_44_vehicle.csv,原始生理数据/jy/Entity_Recording_2025_09_26_17_29_44_physio.csv,原始脑电数据/jy/Entity_Recording_2025_09_26_17_29_44_eeg.csv,1758907784.685,1758908423.697,1758907784.677,1758908423.698,1758907784.6940002,1758908423.698,True,True,True,True
jy,2025_09_26_17_40_51,1,1,1,原始车辆数据/jy/Entity_Recording_2025_09_26_17_40_51_vehicle.csv,原始生理数据/jy/Entity_Recording_2025_09_26_17_40_51_physio.csv,原始脑电数据/jy/Entity_Recording_2025_09_26_17_40_51_eeg.csv,1758908451.852,1758909001.432,1758908451.85,1758909001.4329998,1758908451.8620002,1758909001.432,True,True,True,True
jy,2025_09_26_17_51_46,1,1,1,原始车辆数据/jy/Entity_Recording_2025_09_26_17_51_46_vehicle.csv,原始生理数据/jy/Entity_Recording_2025_09_26_17_51_46_physio.csv,原始脑电数据/jy/Entity_Recording_2025_09_26_17_51_46_eeg.csv,1758909106.4529998,1758909671.348,1758909106.445,1758909671.348,1758909106.463,1758909671.3470001,True,True,True,True
jy,2025_09_26_18_01_40,1,1,1,原始车辆数据/jy/Entity_Recording_2025_09_26_18_01_40_vehicle.csv,原始生理数据/jy/Entity_Recording_2025_09_26_18_01_40_physio.csv,原始脑电数据/jy/Entity_Recording_2025_09_26_18_01_40_eeg.csv,1758909700.7870002,1758910223.472,1758909700.782,1758910223.4750001,1758909700.795,1758910223.4750001,True,True,True,True
lx,2025_09_26_08_58_43,1,1,1,原始车辆数据/lx/Entity_Recording_2025_09_26_08_58_43_vehicle.csv,原始生理数据/lx/Entity_Recording_2025_09_26_08_58_43_physio.csv,原始脑电数据/lx/Entity_Recording_2025_09_26_08_58_43_eeg.csv,1758877123.804,1758877396.85,1758877123.811,1758877396.852,1758877123.8179998,1758877396.851,True,True,True,True
lx,2025_09_26_09_06_38,1,1,1,原始车辆数据/lx/Entity_Recording_2025_09_26_09_06_38_vehicle.csv,原始生理数据/lx/Entity_Recording_2025_09_26_09_06_38_physio.csv,原始脑电数据/lx/Entity_Recording_2025_09_26_09_06_38_eeg.csv,1758877598.6179998,1758877981.663,1758877598.608,1758877981.663,1758877598.627,1758877981.663,True,True,True,True
lx,2025_09_26_09_17_22,1,1,1,原始车辆数据/lx/Entity_Recording_2025_09_26_09_17_22_vehicle.csv,原始生理数据/lx/Entity_Recording_2025_09_26_09_17_22_physio.csv,原始脑电数据/lx/Entity_Recording_2025_09_26_09_17_22_eeg.csv,1758878242.5089998,1758878861.999,1758878242.5059998,1758878862.001,1758878242.524,1758878862.0,True,True,True,True
lxy,2025_09_28_17_55_52,1,1,1,原始车辆数据/lxy/Entity_Recording_2025_09_28_17_55_52_vehicle.csv,原始生理数据/lxy/Entity_Recording_2025_09_28_17_55_52_physio.csv,原始脑电数据/lxy/Entity_Recording_2025_09_28_17_55_52_eeg.csv,1759082153.163,1759082746.368,1759082153.152,1759082746.369,1759082153.187,1759082746.368,True,True,True,True
