sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rmse_delta_keypoint_minus_rbf,keypoint_better_rmse,selector_prob_keypoint,selector_threshold,selected_model
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,train,0.110131174325943,0,0,0.03760473057627679,0,0.03440990814738963,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,train,0.6611310243606567,0,0,0.04891511797904968,0,0.1577495224390443,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,train,0.6585130095481873,0,0,0.11209329962730408,0,0.5893779805758141,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,train,1.488070011138916,0,0,0.09853717684745789,0,0.5148843212311283,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,train,1.523326754570007,0,0,0.15737894177436834,0,0.6126501562747686,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,train,1.6385160684585571,1,0,0.19217592477798467,0,0.6218323417626453,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730,cwh,2025_09_26_20_06_19,train,1.178966999053955,0,0,0.17414221167564392,0,0.6067353531119668,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,train,0.1926840245723724,0,0,0.0930826775729656,0,0.022986266861047787,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845,gf,2025_09_26_10_18_49,train,1.8683719635009768,1,1,0.27321869134902954,0,0.49800865960880697,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375,gf,2025_09_26_10_18_49,train,0.4361581206321716,0,0,0.41295769065618515,0,0.7350382324387484,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,train,2.2230300903320312,1,1,0.21070554852485657,0,0.4737950476916748,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065,gf,2025_09_26_10_40_59,train,2.17851996421814,1,1,0.3465800881385802,0,0.6601706315873788,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,gzj,2025_09_27_11_41_47,train,1.095018982887268,0,0,0.11203844845294952,0,0.49208048406500143,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,gzj,2025_09_27_11_41_47,train,1.0971187353134155,0,0,0.05933675169944769,0,0.6599201754347748,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,gzj,2025_09_27_11_41_47,train,0.8555600047111511,0,0,-0.008272409439086914,1,0.9295416186092553,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,gzj,2025_09_27_11_41_47,train,2.721312999725342,1,1,0.8612143993377686,0,0.32886262018378226,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340,gzj,2025_09_27_11_41_47,train,0.2635442018508911,0,0,0.1029033809900284,0,0.3931694175325659,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945,gzj,2025_09_27_11_53_25,train,0.8979719877243042,0,0,0.02444323897361761,0,0.5212455175718956,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210,gzj,2025_09_27_11_53_25,train,0.3433059155941009,0,0,-0.07037372887134549,1,0.845703924837638,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920,gzj,2025_09_27_11_53_25,train,0.4164358973503113,0,0,0.1754530668258667,0,0.6517414937805066,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025,gzj,2025_09_27_11_53_25,train,0.3851950168609619,0,0,0.046268314123153687,0,0.12016581856203522,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835,gzj,2025_09_27_12_04_23,train,1.7285699844360352,1,0,0.2236122488975525,0,0.30116717566480833,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790,gzj,2025_09_27_12_04_23,train,1.877449989318848,1,1,0.3004215359687805,0,0.004740220395529094,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350,gzj,2025_09_27_12_04_23,train,1.3058549165725708,0,0,-0.013701170682907104,1,0.5390956005259263,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140,gzj,2025_09_27_12_04_23,train,0.7712610363960266,0,0,0.08038915693759921,0,0.417643931462355,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385,gzj,2025_09_27_12_04_23,train,0.6428040266036987,0,0,0.5082576572895051,0,0.6264467544060673,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490,gzj,2025_09_27_12_28_14,train,1.5514259338378906,0,0,0.30126604437828064,0,0.10367668032462359,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075,gzj,2025_09_27_12_28_14,train,0.8056439161300659,0,0,0.06273153424263,0,0.6675398537810926,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480,gzj,2025_09_27_12_28_14,train,1.4226219654083252,0,0,0.12764456868171692,0,0.27295398032405266,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055,gzj,2025_09_27_12_28_14,train,1.182286024093628,0,0,-0.0736376941204071,1,0.7205593370681822,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425,gzj,2025_09_27_12_28_14,train,0.7747515439987183,0,0,0.04007667303085327,0,0.6893643843401658,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825,gzj,2025_09_27_12_28_14,train,0.9089670181274414,0,0,0.23758953809738154,0,0.6979801816788622,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230,hzh,2025_09_26_21_17_02,train,1.3772419691085815,0,0,0.2003712505102158,0,0.07771538225919766,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495,hzh,2025_09_26_21_17_02,train,1.5268155336380005,0,0,0.18986082077026373,0,0.16810143684656176,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775,hzh,2025_09_27_19_22_27,train,1.7856509685516355,1,1,0.2451431006193161,0,0.44752993573428584,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515,hzh,2025_09_27_19_22_27,train,1.2948600053787231,0,0,0.11376177519559859,0,0.5324148700078095,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710,hzh,2025_09_27_19_22_27,train,1.6920976638793943,1,0,-0.014985173940658625,1,0.7050213911863072,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360,hzh,2025_09_27_19_33_25,train,1.0082778930664062,0,0,0.11469948291778559,0,0.207020421877076,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300,hzh,2025_09_27_19_33_25,train,1.6500362157821655,1,0,0.05088981986045843,0,0.7125183567034943,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885,hzh,2025_09_27_19_33_25,train,0.9880310297012328,0,0,0.08133834600448608,0,0.8125683026019924,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405,hzh,2025_09_27_19_33_25,train,1.0478951930999756,0,0,0.1424248218536377,0,0.7217898541253087,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445,jy,2025_09_26_17_17_11,train,1.8395723104476929,1,1,-0.06068819761276245,1,0.571963574420922,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405,jy,2025_09_26_17_17_11,train,2.3631784915924072,1,1,0.7624826431274414,0,0.2180133440535191,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665,jy,2025_09_26_17_17_11,train,0.2883279919624328,0,0,0.15234939754009252,0,0.21332252703204854,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110,jy,2025_09_26_17_29_44,train,1.9676820039749143,1,1,0.12241396307945257,0,0.2084907568225883,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270,jy,2025_09_26_17_29_44,train,1.6941959857940674,1,0,0.2338301837444305,0,0.21274353826055764,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550,jy,2025_09_26_17_29_44,train,0.232304036617279,0,0,0.2755887508392334,0,0.05180081208329211,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950,jy,2025_09_26_17_29_44,train,0.9101839661598206,0,0,0.5158866383135319,0,0.4943891221888202,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905,jy,2025_09_26_17_40_51,train,1.167451024055481,0,0,0.18410940468311318,0,0.31152213489160274,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515,jy,2025_09_26_17_40_51,train,2.8728153705596924,1,1,0.27570217847824097,0,0.2722762194090045,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490,jy,2025_09_26_17_40_51,train,0.1183339953422546,0,0,0.05294916033744812,0,0.48932249108907205,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105,jy,2025_09_26_17_40_51,train,0.9201330542564392,0,0,0.13565132021903992,0,0.10204786187553909,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_51_46__000542335__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_51_46__000542335,jy,2025_09_26_17_51_46,train,0.3000220060348511,0,0,0.1444703564047813,0,0.08643571403611588,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000135315__pre3_label3_response_coverage,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000135315,lx,2025_09_26_09_17_22,train,1.2240021228790283,0,0,0.30086207389831543,0,0.014635883337713382,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000215535__pre3_label3_response_coverage,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000215535,lx,2025_09_26_09_17_22,train,0.907396912574768,0,0,0.03161740303039551,0,0.6289419693895885,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000385260__pre3_label3_response_coverage,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000385260,lx,2025_09_26_09_17_22,train,1.2409290075302124,0,0,0.126516044139862,0,0.2101989829563227,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000480490__pre3_label3_response_coverage,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000480490,lx,2025_09_26_09_17_22,train,2.146575927734375,1,1,0.4889495819807054,0,0.5073789724777285,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000089180__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000089180,lxy,2025_09_28_17_55_52,train,0.9592329859733582,0,0,0.10044476389884949,0,0.13158790758145286,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000357070__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000357070,lxy,2025_09_28_17_55_52,train,0.1610940098762512,0,0,0.2648593634366989,0,0.0580171066607883,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000380645__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000380645,lxy,2025_09_28_17_55_52,train,0.5267407894134521,0,0,0.0542528592050075,0,0.1897740552105567,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000448640__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000448640,lxy,2025_09_28_17_55_52,train,1.3461730480194092,0,0,0.1926367729902268,0,0.6969128377153495,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000541050__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000541050,lxy,2025_09_28_17_55_52,train,0.7265809774398804,0,0,0.1661679148674012,0,0.05914044935048034,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000057770__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000057770,lxy,2025_09_28_18_06_16,train,1.0580191612243652,0,0,0.3345777988433839,0,0.11206099341473093,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000084330__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000084330,lxy,2025_09_28_18_06_16,train,0.4202751815319061,0,0,0.002880796790122986,0,0.21347712293726315,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000133655__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000133655,lxy,2025_09_28_18_06_16,train,1.2969540357589722,0,0,0.38547913730144506,0,0.004409622570973001,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000250730__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000250730,lxy,2025_09_28_18_06_16,train,1.521754026412964,0,0,0.5258050411939622,0,0.5981268654023204,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000129055__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000129055,lxy,2025_09_28_18_19_35,train,1.9997968673706052,1,1,0.6513030827045441,0,0.014618836664328025,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000175350__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000175350,lxy,2025_09_28_18_19_35,train,1.2788029909133911,0,0,0.19123154878616333,0,0.5797103127393505,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000290870__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000290870,lxy,2025_09_28_18_19_35,train,1.879023551940918,1,1,0.1423579454421997,0,0.43611874588036137,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000320035__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000320035,lxy,2025_09_28_18_19_35,train,1.6603360176086426,1,0,0.36058190464973455,0,0.2441695339087272,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000334720__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000334720,lxy,2025_09_28_18_19_35,train,0.2790780067443847,0,0,0.18159298598766327,0,0.04131418051136646,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000402090__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000402090,lxy,2025_09_28_18_19_35,train,1.3334319591522217,0,0,0.20772141218185428,0,0.18292913591683757,0.55,rbf_kernel_ridge_context_no_subject
