sample_id,formal_rmse,gt_peak_abs,selected_rmse,delta_selected_minus_formal
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre2_label2_old_main,0.45152634382247925,1.2557679414749146,0.6532903909683228,0.2017640471458435
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635__pre2_label2_old_main,0.8431969881057739,1.3988850116729736,1.0138791799545288,0.17068219184875488
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000186415__pre2_label2_old_main,0.389957994222641,1.1744319200515747,0.8391975164413452,0.4492395222187042
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000198845__pre2_label2_old_main,0.38757091760635376,1.0356780290603638,0.09589343518018723,-0.29167748242616653
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605__pre2_label2_old_main,0.6589927673339844,0.8745843768119812,0.44541141390800476,-0.21358135342597961
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre2_label2_old_main,0.06394429504871368,0.15830004215240479,0.10936245322227478,0.045418158173561096
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000267185__pre2_label2_old_main,0.1720101684331894,0.01291540265083313,0.0116410618647933,-0.1603691065683961
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000337435__pre2_label2_old_main,0.8981170654296875,3.1211791038513184,1.2196071147918701,0.3214900493621826
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000374985__pre2_label2_old_main,0.5000887513160706,0.8304280042648315,0.26391172409057617,-0.23617702722549438
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000394695__pre2_label2_old_main,0.42435312271118164,0.32655006647109985,0.5531750917434692,0.1288219690322876
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000405010__pre2_label2_old_main,0.4242453873157501,0.6754416227340698,0.2623210549354553,-0.1619243323802948
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000449755__pre2_label2_old_main,0.2003711611032486,0.4405207931995392,0.23216862976551056,0.03179746866226196
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000455695__pre2_label2_old_main,0.20380540192127228,0.3176489770412445,0.18679004907608032,-0.017015352845191956
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000474655__pre2_label2_old_main,0.32156097888946533,0.646818995475769,0.30940529704093933,-0.012155681848526001
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000579225__pre2_label2_old_main,0.2356678992509842,0.9580110311508179,0.2984027862548828,0.06273488700389862
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000599030__pre2_label2_old_main,0.11193561553955078,0.1905902922153473,0.11057684570550919,-0.0013587698340415955
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000610365__pre2_label2_old_main,0.36260735988616943,0.3619828224182129,0.2975672483444214,-0.06504011154174805
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000616100__pre2_label2_old_main,0.10529948770999908,0.10559199750423431,0.03936169669032097,-0.06593779101967812
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000645790__pre2_label2_old_main,0.14290985465049744,0.6035345792770386,0.17008231580257416,0.02717246115207672
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre2_label2_old_main,0.6597217321395874,0.9698799848556519,0.595854640007019,-0.06386709213256836
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000691675__pre2_label2_old_main,0.18786907196044922,0.5338959693908691,0.13506130874156952,-0.0528077632188797
