review_label_uid,subject,session_stamp,vehicle_raw_absolute_path,source_event_uid,source_anchor,source_event_type,source_event_level,source_curvature_anchor,leakage_risk_anchor,causal_anchor_status,review_label_suffix,auto_event_role,event_start_rel_s,event_end_rel_s,anchor_rel_s,review_start_rel_s,review_end_rel_s,original_road_start_rel_s,original_road_end_rel_s,original_road_duration_s,direction_hint,pre_points,response_points,curve_points,steer_baseline,steer_delta_peak_signed,steer_delta_peak_abs,curve_peak_abs,curve_mean,speed_median,yaw_peak_abs,ay_peak_abs,roll_peak_abs,nearby_old_v400_count,nearby_dynamic_count,nearby_road_count,codex_review_score,codex_recommended_decision,codex_evidence_reason,codex_review_status
codex_hzh_2025_09_26_21_17_02_0004_exit,hzh,2025_09_26_21_17_02,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,raw_road_curvature_onset__hzh__2025_09_26_21_17_02__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0061647099630936,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,exit,curve_exit_or_return,566.505,578.505,566.505,556.505,586.505,541.0,578.505,37.505,right,400,4000,2400,0.416261,-0.696212,0.696212,0.00233874,-0.0018697363666666667,84.82525000000001,0.154331,3.37413,0.0478102,1,2,0,50.0,needs_human_review,road=curve_exit_or_return; score=50.0; curve_peak=0.002339; steer_delta_peak=0.6962; old=1; dynamic=2; speed=84.8,codex_auto_reviewed_not_human_verified
codex_hzh_2025_09_27_19_44_05_0004_exit,hzh,2025_09_27_19_44_05,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_44_05_vehicle.csv,raw_road_curvature_onset__hzh__2025_09_27_19_44_05__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0061675899272137,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,exit,curve_exit_or_return,474.57,486.57,474.57,464.57,494.57,454.555,486.57,32.015,right,400,4000,2400,0.53058,-0.8604470000000001,0.8604470000000001,0.00238622,-0.0019239607162500002,92.0719,0.510974,8.07029,0.116863,3,3,0,57.63768287526427,needs_human_review,road=curve_exit_or_return; score=57.6; curve_peak=0.002386; steer_delta_peak=0.8604; old=3; dynamic=3; speed=92.1,codex_auto_reviewed_not_human_verified
codex_jy_2025_09_26_17_29_44_0003_full,jy,2025_09_26_17_29_44,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_29_44_vehicle.csv,raw_road_curvature_onset__jy__2025_09_26_17_29_44__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010841599926565,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,355.14,357.33,355.14,340.235,372.235,355.14,357.33,2.19,left,400,3419,438,-0.206909,0.1370958,0.1370958,0.00108383,0.0009407506803652969,92.41745,0.655204,12.6146,0.654247,2,2,1,57.0,needs_human_review,road=curve_short; score=57.0; curve_peak=0.001084; steer_delta_peak=0.1371; old=2; dynamic=2; speed=92.4,codex_auto_reviewed_not_human_verified
codex_jy_2025_09_26_17_40_51_0003_full,jy,2025_09_26_17_40_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_40_51_vehicle.csv,raw_road_curvature_onset__jy__2025_09_26_17_40_51__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010812399986457,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,294.345,296.24,294.345,279.293,311.293,294.345,296.24,1.895,left,400,3390,379,-0.180118,-0.165632,0.165632,0.00108053,0.0009400510316622692,119.55250000000001,0.414801,15.4307,0.312997,4,0,1,45.0,needs_human_review,road=curve_short; score=45.0; curve_peak=0.001081; steer_delta_peak=0.1656; old=4; dynamic=0; speed=120,codex_auto_reviewed_not_human_verified
codex_jy_2025_09_26_17_40_51_0004_exit,jy,2025_09_26_17_40_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_40_51_vehicle.csv,raw_road_curvature_onset__jy__2025_09_26_17_40_51__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0061659866839444,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,exit,curve_exit_or_return,463.87,475.87,463.87,453.87,483.87,444.46,475.87,31.41,right,400,4000,2400,0.366868,-0.580322,0.580322,0.00233837,-0.0018847441033333335,85.8317,0.150925,3.22517,0.0445619,2,5,0,55.0,needs_human_review,road=curve_exit_or_return; score=55.0; curve_peak=0.002338; steer_delta_peak=0.5803; old=2; dynamic=5; speed=85.8,codex_auto_reviewed_not_human_verified
codex_jy_2025_09_26_17_51_46_0003_full,jy,2025_09_26_17_51_46,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_51_46_vehicle.csv,raw_road_curvature_onset__jy__2025_09_26_17_51_46__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010842499553711,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,281.725,283.89,281.725,266.808,298.808,281.725,283.89,2.165,left,400,3417,433,-0.24905850000000002,0.25010570000000004,0.25010570000000004,0.0010836,0.0009401821593533487,93.61945,0.257908,4.21697,0.272214,2,2,1,51.0,needs_human_review,road=curve_short; score=51.0; curve_peak=0.001084; steer_delta_peak=0.2501; old=2; dynamic=2; speed=93.6,codex_auto_reviewed_not_human_verified
codex_jy_2025_09_26_18_01_40_0003_full,jy,2025_09_26_18_01_40,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_18_01_40_vehicle.csv,raw_road_curvature_onset__jy__2025_09_26_18_01_40__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010811081437039,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,288.67,290.55,288.67,273.61,305.61,288.67,290.55,1.88,left,400,3388,376,-0.35072400000000004,0.36259220000000003,0.36259220000000003,0.00108117,0.0009400953590425532,106.999,0.168498,4.21597,0.0608297,2,2,1,51.0,needs_human_review,road=curve_short; score=51.0; curve_peak=0.001081; steer_delta_peak=0.3626; old=2; dynamic=2; speed=107,codex_auto_reviewed_not_human_verified
codex_lxy_2025_09_28_17_55_52_0003_full,lxy,2025_09_28_17_55_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv,raw_road_curvature_onset__lxy__2025_09_28_17_55_52__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010804500326149,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,325.655,327.42,325.655,310.538,342.538,325.655,327.42,1.765,left,400,3376,353,-0.2791655,0.6064145000000001,0.6064145000000001,0.00108117,0.0009399044674220963,111.058,0.308456,6.62715,0.0991187,6,3,1,57.685019873150104,needs_human_review,road=curve_short; score=57.7; curve_peak=0.001081; steer_delta_peak=0.6064; old=6; dynamic=3; speed=111,codex_auto_reviewed_not_human_verified
codex_rjy_2025_09_28_19_51_44_0003_full,rjy,2025_09_28_19_51_44,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_51_44_vehicle.csv,raw_road_curvature_onset__rjy__2025_09_28_19_51_44__00003,raw_road_curvature_onset,curve_left_or_positive,weak,0.0010809899887845,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,full,curve_short,322.5,324.555,322.5,307.528,339.528,322.5,324.555,2.055,left,401,3406,411,-0.181863,0.386416,0.386416,0.00108015,0.0009404014598540146,98.54135,0.279085,5.72472,0.0794173,7,3,1,56.46397293868922,needs_human_review,road=curve_short; score=56.5; curve_peak=0.00108; steer_delta_peak=0.3864; old=7; dynamic=3; speed=98.5,codex_auto_reviewed_not_human_verified
codex_tyy_2025_09_28_14_23_43_0004_exit,tyy,2025_09_28_14_23_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_23_43_vehicle.csv,raw_road_curvature_onset__tyy__2025_09_28_14_23_43__00004,raw_road_curvature_onset,curve_right_or_negative,extreme,-0.0061672299883267,low_if_road_context_available_before_response,codex_auto_reviewed_candidate,exit,curve_exit_or_return,824.01,836.01,824.01,814.01,844.01,789.155,836.01,46.855,right,400,4000,2400,0.09861110000000001,-0.4900881,0.4900881,0.0023381,-0.0018240470545833336,69.0507,0.0871319,1.51786,0.0220772,4,2,0,53.0,needs_human_review,road=curve_exit_or_return; score=53.0; curve_peak=0.002338; steer_delta_peak=0.4901; old=4; dynamic=2; speed=69.1,codex_auto_reviewed_not_human_verified
