subject,session_stamp,vehicle_raw_relative_path,read_status,read_error,duration_s,grid_rows
zx,2025_09_27_17_45_11,原始车辆数据/zx/Entity_Recording_2025_09_27_17_45_11_vehicle.csv,ok,,623.875,124776
zx,2025_09_27_17_56_42,原始车辆数据/zx/Entity_Recording_2025_09_27_17_56_42_vehicle.csv,ok,,169.59,33919
zx,2025_09_27_18_00_08,原始车辆数据/zx/Entity_Recording_2025_09_27_18_00_08_vehicle.csv,ok,,379.73,75947
zx,2025_09_27_18_07_01,原始车辆数据/zx/Entity_Recording_2025_09_27_18_07_01_vehicle.csv,ok,,601.765,120354
zx,2025_09_27_18_17_48,原始车辆数据/zx/Entity_Recording_2025_09_27_18_17_48_vehicle.csv,ok,,572.815,114564
zxy,2025_09_28_15_57_38,原始车辆数据/zxy/Entity_Recording_2025_09_28_15_57_38_vehicle.csv,ok,,200.775,40156
zxy,2025_09_28_16_01_55,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_01_55_vehicle.csv,ok,,562.755,112552
zxy,2025_09_28_16_12_11,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_12_11_vehicle.csv,ok,,613.9250000000001,122786
zxy,2025_09_28_16_25_33,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_25_33_vehicle.csv,ok,,2.235,448
zxy,2025_09_28_16_25_51,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_25_51_vehicle.csv,ok,,556.1750000000001,111236
zxy,2025_09_28_16_35_30,原始车辆数据/zxy/Entity_Recording_2025_09_28_16_35_30_vehicle.csv,ok,,798.6850000000001,159738
