event_uid,anchor_source,anchor_source_priority,subject,session_stamp,event_index_in_source,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,source_reference_path,anchor_time_rel_s,anchor_time_abs_s,event_start_rel_s,event_end_rel_s,event_duration_s,event_type,event_level,phase_type,road_type_anchor,curvature_anchor,trigger_type,anchor_signal,anchor_value,source_detail,leakage_risk_anchor,causal_anchor_status,raw_dynamic_peak_time_rel_s,raw_dynamic_peak_score
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00016,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,16,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,203.73000000000002,1759079355.62,203.73000000000002,204.525,0.7949999999999875,ay,medium,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,1.461009948443092,"{""steer_rate"": 1.3683322448484518, ""yaw_rate"": 0.056490599148619695, ""ay"": 1.461009948443092, ""roll_rate"": 0.05842283940293933}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,203.805,1.7104153060605647
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00017,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,17,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,211.665,1759079363.5549998,211.665,212.64000000000001,0.9750000000000227,ay,medium,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,2.2270399254971123,"{""steer_rate"": 1.857032249868562, ""yaw_rate"": 0.069492399871823, ""ay"": 2.2270399254971123, ""roll_rate"": 0.08903247718971152}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,212.12,2.3212903123357025
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00018,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,219.32,1759079371.2099998,219.32,220.6,1.2800000000000011,steer_rate,strong,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,3.5115800790452956,"{""steer_rate"": 3.5115800790452956, ""yaw_rate"": 0.11577199909207961, ""ay"": 3.313359648920053, ""roll_rate"": 0.1297481001189194}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,220.005,4.389475098806619
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00019,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,19,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,221.205,1759079373.0949998,221.205,228.1,6.894999999999982,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,14.479206070481759,"{""steer_rate"": 14.479206070481759, ""yaw_rate"": 0.5208309974898675, ""ay"": 8.03358988733023, ""roll_rate"": 0.703788426104934}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,222.42000000000002,18.099007588102197
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,20,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,231.405,1759079383.2949998,231.405,231.89000000000001,0.48500000000001364,ay,weak,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,1.545459993228751,"{""steer_rate"": 0.5934087042491882, ""yaw_rate"": 0.05666649999008154, ""ay"": 1.545459993228751, ""roll_rate"": 0.016906094262515367}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,231.615,1.1888153794067315
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00021,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,21,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,242.985,1759079394.8749998,242.985,246.27,3.2849999999999966,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,9.29200000000001,"{""steer_rate"": 9.29200000000001, ""yaw_rate"": 0.3200939913031045, ""ay"": 4.411599793067276, ""roll_rate"": 0.24520177937182894}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,245.88500000000002,11.615000000000013
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00022,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,22,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,257.595,1759079409.485,257.595,267.23,9.634999999999991,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,9.180308758103894,"{""steer_rate"": 9.180308758103894, ""yaw_rate"": 0.17814899972536116, ""ay"": 4.91930995132325, ""roll_rate"": 0.2642955647316843}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,266.09000000000003,11.475385947629867
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00023,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,23,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,267.72,1759079419.61,267.72,270.23,2.509999999999991,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,4.565742150003518,"{""steer_rate"": 4.565742150003518, ""yaw_rate"": 0.07783409977323223, ""ay"": 2.0355699789232755, ""roll_rate"": 0.11534326222922249}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,268.81,5.707177687504397
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00024,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,24,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,277.48,1759079429.37,277.48,278.48,1.0,ay,weak,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,ay,1.3582599969484577,"{""steer_rate"": 0.23735740347138878, ""yaw_rate"": 0.039746400565351614, ""ay"": 1.3582599969484577, ""roll_rate"": 0.012089959158104527}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,277.805,1.0448153822680444
raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00025,raw_vehicle_dynamic_onset,3,byx,2025_09_28_17_05_51,25,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,,299.21500000000003,1759079451.1049998,299.21500000000003,321.46500000000003,22.25,steer_rate,extreme,candidate,unknown_from_raw_dynamic,,raw_dynamic_threshold,steer_rate,13.606366025085714,"{""steer_rate"": 13.606366025085714, ""yaw_rate"": 0.4536809880062969, ""ay"": 11.823797100324002, ""roll_rate"": 0.9375683755403416}",high_response_derived_anchor_not_valid_for_event_trigger_claim,candidate_unverified,304.735,18.75136751080683
