oracle_best_index,oracle_best_model,oracle_sample_rmse,rbf_kernel_ridge_context_no_subject__sample_rmse,segment_abs_rf_piecewise__sample_rmse,segment_resid_rf_piecewise__sample_rmse,segment_abs_rf_blend_25__sample_rmse,segment_abs_rf_blend_50__sample_rmse,segment_resid_rf_blend_25__sample_rmse,segment_resid_rf_blend_50__sample_rmse,rbf_abs_keypoint_scaled__sample_rmse,rbf_resid_keypoint_scaled__sample_rmse,rbf_abs_keypoint_scaled_blend_50__sample_rmse,rbf_resid_keypoint_scaled_blend_50__sample_rmse,sample_id,split,gain_over_rbf
8,rbf_resid_keypoint_scaled,0.11453755,0.2730564,0.709991,0.8024339,0.35859346,0.46710494,0.33722365,0.47081122,0.398248,0.11453755,0.33518744,0.192288,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,train,0.15851884
7,rbf_abs_keypoint_scaled,0.07460612,0.10154416,0.13909128,0.18289237,0.10903837,0.11798846,0.11756225,0.13728501,0.07460612,0.09952924,0.08586646,0.10019694,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,train,0.026938036
0,rbf_kernel_ridge_context_no_subject,0.47415152,0.47415152,0.51871616,0.57304984,0.482365,0.49261472,0.49574,0.519614,0.52816314,0.61022025,0.49901807,0.5365385,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,train,0.0
7,rbf_abs_keypoint_scaled,0.15839058,0.22463864,0.21374229,0.3037638,0.20289935,0.19306448,0.22063833,0.23463982,0.15839058,0.24017051,0.18972342,0.23169035,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,train,0.06624806
7,rbf_abs_keypoint_scaled,0.08908233,0.1302984,0.18101782,0.24766546,0.12528509,0.13379416,0.14375392,0.17113672,0.08908233,0.13366672,0.106643006,0.1318792,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,train,0.041216075
8,rbf_resid_keypoint_scaled,0.10080828,0.44263792,0.4064813,0.19012116,0.39505193,0.37102792,0.31580138,0.20256901,0.38435435,0.10080828,0.41330764,0.2142845,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,train,0.34182966
8,rbf_resid_keypoint_scaled,0.30044568,0.3590277,0.53315413,0.5059909,0.39199585,0.43336603,0.37617964,0.40853664,0.36186957,0.30044568,0.35984075,0.32721144,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,train,0.058582038
2,segment_resid_rf_piecewise,0.35789356,0.5710827,0.4229559,0.35789356,0.49679437,0.442516,0.4757262,0.40004265,0.4385707,0.44276375,0.4799268,0.46433342,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,train,0.21318915
5,segment_resid_rf_blend_25,0.40247387,0.40255773,0.46258458,0.42151535,0.41293225,0.42660105,0.40247387,0.40566793,0.4197807,0.4383408,0.41106528,0.4199987,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,train,8.3863735e-05
7,rbf_abs_keypoint_scaled,0.16416068,0.1706415,0.2795652,0.2944708,0.16930076,0.19153029,0.17502567,0.20183712,0.16416068,0.17543152,0.1651651,0.17193717,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,train,0.006480813
8,rbf_resid_keypoint_scaled,0.11080137,0.15737459,0.21007816,0.12516934,0.15621772,0.16586357,0.13686793,0.123308375,0.15881945,0.11080137,0.1580961,0.13210087,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,train,0.04657322
7,rbf_abs_keypoint_scaled,0.3586793,0.51949924,0.51150703,0.503462,0.48171774,0.46697912,0.48171458,0.46551538,0.3586793,0.37187576,0.42616296,0.43630823,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,test,0.16081995
4,segment_abs_rf_blend_50,0.6131798,0.63960946,0.6243014,0.72116846,0.62184054,0.6131798,0.6388288,0.6528912,0.7034633,0.7412538,0.66975987,0.68674517,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,test,0.026429653
0,rbf_kernel_ridge_context_no_subject,0.28884906,0.28884906,0.6664931,0.57142866,0.36579707,0.45905185,0.34130573,0.40990776,0.49276906,0.42110872,0.3854785,0.35129502,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,test,0.0
8,rbf_resid_keypoint_scaled,0.35645586,0.36934575,0.41697073,0.40939587,0.37189558,0.38102195,0.3728908,0.38094983,0.36018872,0.35645586,0.36421612,0.3624433,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,test,0.012889892
10,rbf_resid_keypoint_scaled_blend_50,0.46776766,0.47861418,0.6260324,0.62561417,0.48832572,0.51839465,0.49172652,0.52257985,0.49890032,0.5120837,0.46845844,0.46776766,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,test,0.010846525
2,segment_resid_rf_piecewise,0.41216925,0.5106278,0.5733956,0.41216925,0.5197277,0.5334628,0.4804079,0.45350397,0.7128695,0.51781493,0.60891163,0.5141788,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,test,0.09845856
8,rbf_resid_keypoint_scaled,0.95109946,1.0713049,0.9585657,0.9564611,1.0373167,1.0069734,1.0314095,0.9985139,0.97639817,0.95109946,1.0223178,1.0031078,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,test,0.12020546
1,segment_abs_rf_piecewise,0.30934423,0.51392895,0.30934423,0.38764903,0.457137,0.40313748,0.47750866,0.4438504,0.42072955,0.46163297,0.4641145,0.48699245,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,test,0.20458472
2,segment_resid_rf_piecewise,0.21351683,0.29655987,0.26265,0.21351683,0.28258735,0.27202532,0.26784587,0.24347396,0.32712695,0.23512305,0.3107846,0.26578996,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,test,0.08304304
8,rbf_resid_keypoint_scaled,0.19955395,0.30120876,0.603968,0.618567,0.34401408,0.4162056,0.34908718,0.42531163,0.22711985,0.19955395,0.22957635,0.23277138,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,train,0.10165481
1,segment_abs_rf_piecewise,0.3488902,0.3706358,0.3488902,0.42454392,0.35779342,0.34970006,0.3682241,0.37701386,0.39789045,0.46327463,0.38343212,0.41268572,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,train,0.021745622
0,rbf_kernel_ridge_context_no_subject,0.47253588,0.47253588,0.6332301,0.67521304,0.49170572,0.5268311,0.50936866,0.55702984,0.5832122,0.60024935,0.51689595,0.5198033,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,train,0.0
8,rbf_resid_keypoint_scaled,0.2545077,0.35855603,0.32670727,0.33089155,0.31797433,0.2971845,0.31638798,0.29569492,0.25654396,0.2545077,0.2931818,0.28462937,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,train,0.10404834
7,rbf_abs_keypoint_scaled,0.4727252,0.5689505,0.53478116,0.5622953,0.54999685,0.53771883,0.55976254,0.555538,0.4727252,0.5004875,0.5108867,0.53014505,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,train,0.09622526
10,rbf_resid_keypoint_scaled_blend_50,0.22361197,0.25521904,0.5626758,0.5077821,0.2981166,0.37242043,0.27953076,0.33850947,0.25815108,0.25300658,0.23692791,0.22361197,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,train,0.031607077
4,segment_abs_rf_blend_50,0.27175653,0.36668804,0.34878698,0.29130676,0.30100617,0.27175653,0.33848986,0.315722,0.43734205,0.34681773,0.39076066,0.35378823,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,test,0.09493151
0,rbf_kernel_ridge_context_no_subject,0.32304978,0.32304978,0.70241773,0.62825453,0.41038403,0.50458354,0.39254263,0.46803457,0.42367396,0.432184,0.37063062,0.3738348,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,test,0.0
8,rbf_resid_keypoint_scaled,0.06178279,0.17232157,0.12837015,0.08593157,0.16104572,0.14993359,0.13453276,0.10254478,0.12715514,0.06178279,0.14950682,0.09465944,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,test,0.11053878
1,segment_abs_rf_piecewise,0.5800422,0.6568684,0.5800422,0.6804157,0.633708,0.61301273,0.6518155,0.6541463,0.5907621,0.66140074,0.62002593,0.6590237,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,test,0.076826215
8,rbf_resid_keypoint_scaled,0.34897503,0.35762912,0.48055637,0.525804,0.38376486,0.41340908,0.39110792,0.43137327,0.35165313,0.34897503,0.3544963,0.35158485,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,test,0.008654088
0,rbf_kernel_ridge_context_no_subject,0.66069776,0.66069776,0.90543264,0.8957923,0.71582896,0.7756214,0.71358824,0.770989,0.72066665,0.67063636,0.6893,0.66558385,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,test,0.0
7,rbf_abs_keypoint_scaled,0.6499768,0.657525,1.1037337,0.82850236,0.76508516,0.87598073,0.6945537,0.7358258,0.6499768,0.6992191,0.65341043,0.67429924,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,test,0.007548213
4,segment_abs_rf_blend_50,0.27858073,0.37773642,0.30811068,0.286922,0.3159837,0.27858073,0.34231234,0.31403068,0.369133,0.35500613,0.3077989,0.3660067,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,test,0.099155694
0,rbf_kernel_ridge_context_no_subject,0.19699311,0.19699311,0.30942178,0.2855151,0.21353845,0.23948292,0.19906579,0.21683998,0.25171003,0.2474582,0.21900599,0.21177974,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,train,0.0
7,rbf_abs_keypoint_scaled,0.18331017,0.2477251,0.27377996,0.2662316,0.21679388,0.21089055,0.21842961,0.21152937,0.18331017,0.18691432,0.20287938,0.19896188,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,train,0.06441493
6,segment_resid_rf_blend_50,0.2068273,0.2498363,0.39463824,0.21320648,0.25288954,0.28287506,0.2231767,0.2068273,0.49036977,0.2903298,0.31402037,0.25590417,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,train,0.043008998
5,segment_resid_rf_blend_25,0.08541296,0.08940011,0.21770382,0.2194938,0.0984459,0.12971158,0.08541296,0.117305435,0.11122034,0.103159286,0.09764386,0.08624954,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,train,0.003987156
7,rbf_abs_keypoint_scaled,0.08566232,0.28908187,0.15902804,0.26504365,0.2107361,0.14711818,0.27180058,0.26158097,0.08566232,0.206344,0.15307693,0.24723515,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,train,0.20341955
8,rbf_resid_keypoint_scaled,0.21676534,0.2561657,0.3292396,0.31973147,0.26826018,0.2849691,0.26356193,0.27721375,0.22913864,0.21676534,0.24219438,0.23288415,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,train,0.03940037
8,rbf_resid_keypoint_scaled,0.35562584,0.48824212,0.47825006,0.521089,0.43945727,0.42003244,0.45741218,0.45280603,0.36812913,0.35562584,0.41816577,0.41680524,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,train,0.13261628
4,segment_abs_rf_blend_50,0.116923414,0.15416946,0.15324792,0.18950005,0.12740007,0.116923414,0.1503846,0.1557401,0.1695869,0.15239143,0.1522605,0.14944132,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,train,0.03724604
7,rbf_abs_keypoint_scaled,0.1284508,0.17678432,0.28818154,0.25858423,0.18083887,0.20449615,0.17711753,0.1932497,0.1284508,0.14004552,0.14287929,0.15727465,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,train,0.048333526
8,rbf_resid_keypoint_scaled,0.19637378,0.26457497,0.41920206,0.37653714,0.2906212,0.32695976,0.27131006,0.294577,0.27072442,0.19637378,0.26763877,0.22804481,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,test,0.0682012
7,rbf_abs_keypoint_scaled,0.23768854,0.27901196,0.38263655,0.39740422,0.2937634,0.31708127,0.2957934,0.32257742,0.23768854,0.24201322,0.25004503,0.25000367,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre3_label3_response_coverage,test,0.041323423
8,rbf_resid_keypoint_scaled,0.24751724,0.5038023,0.37477273,0.37862483,0.4396799,0.39275765,0.41725707,0.35933602,0.26786703,0.24751724,0.36880687,0.35680768,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,test,0.25628507
7,rbf_abs_keypoint_scaled,0.22093983,0.23600979,0.29462466,0.34104726,0.24064294,0.25264403,0.24909994,0.2725245,0.22093983,0.2278324,0.22505231,0.22458471,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre3_label3_response_coverage,test,0.015069962
0,rbf_kernel_ridge_context_no_subject,0.4599532,0.4599532,0.9221293,0.7728975,0.5582454,0.6719072,0.52495223,0.6010128,0.5961083,0.50147814,0.5025342,0.4737919,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,test,0.0
8,rbf_resid_keypoint_scaled,0.29708874,0.3613468,0.34819338,0.36291197,0.3490414,0.34257928,0.33268863,0.32286328,0.37822336,0.29708874,0.3671375,0.32183093,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,test,0.06425807
2,segment_resid_rf_piecewise,0.58207077,0.7811084,0.59082985,0.58207077,0.71535075,0.6598614,0.7095891,0.65019864,0.58360136,0.60958093,0.64539075,0.66841996,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,train,0.19903761
7,rbf_abs_keypoint_scaled,0.13155164,0.30207458,0.99881536,1.0069933,0.3976664,0.5757594,0.4009879,0.5811796,0.13155164,0.14659856,0.21098654,0.22010729,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,train,0.17052294
