track_id,model_name,candidate_family,route_status,source_table,n_samples,rmse_steer,delta_vs_rbf__rmse_steer,wrong_side_rate,delta_vs_rbf__wrong_side_rate,large_response_recall,delta_vs_rbf__large_response_recall,peak_amp_mae,delta_vs_rbf__peak_amp_mae,severe_amp_under_rate,delta_vs_rbf__severe_amp_under_rate,peak_time_mae_s,delta_vs_rbf__peak_time_mae_s,tail_abs_error_mean,delta_vs_rbf__tail_abs_error_mean,tail_drift_risk_rate,delta_vs_rbf__tail_drift_risk_rate,reversal_count_exact_match_rate,delta_vs_rbf__reversal_count_exact_match_rate,difficult_top20_rmse,delta_vs_rbf__difficult_top20_rmse,physical_metric_gain_count_vs_rbf,physical_metric_regression_count_vs_rbf
B_response3s_strict_core,formal_ridge_vehicle_context_no_subject,ridge_reference,no_go_current_form,structured_vehicle_transformer,40,0.6523924662460296,0.11872577680707264,0.15,-0.07500000000000001,0.125,-0.625,0.8260058525949716,0.4165016427636146,0.75,0.625,0.426500004529953,-0.00824999064207077,0.183897180238273,0.0021462384727783945,0.05,0.0,0.05,0.05,0.9757145615664984,0.2968075972289078,3,6
B_response3s_strict_core,topk_vehicle_transformer_branch2_no_subject,multi_hypothesis_or_selector,no_go_current_form,topk_vehicle_transformer,40,0.6852535646207177,0.15158687518176073,0.15,-0.07500000000000001,0.625,-0.125,0.5808885291218757,0.17138431929051873,0.2,0.07500000000000001,0.4900000020861625,0.05525000691413873,0.4551352670416236,0.273384325276129,0.325,0.275,0.2,0.2,0.7227680027959508,0.0438610384583602,2,8
B_response3s_strict_core,peak_scaled_template_context_no_subject,other_vehicle_reference,no_go_current_form,structured_vehicle_transformer,40,0.6885973667109297,0.15493067727197274,0.2,-0.024999999999999994,0.875,0.125,0.4050167109817266,-0.0044874988496304,0.05,-0.075,0.4581249967217445,0.02337500154972072,0.1884683397220214,0.006717397956526788,0.075,0.024999999999999994,0.0,0.0,0.7395625117726926,0.06065554743510204,4,5
B_response3s_strict_core,direction_gated_knn_template_no_subject,template_reference,no_go_current_form,structured_vehicle_transformer,40,0.6934965829193556,0.15982989348039855,0.2,-0.024999999999999994,0.875,0.125,0.418515631603077,0.009011421771719985,0.1,-0.024999999999999994,0.4648749887943267,0.03012499362230292,0.1869178419176023,0.00516690015210769,0.05,0.0,0.0,0.0,0.7303580269705259,0.05145106263293531,3,5
B_response3s_strict_core,zero_response_hold_current,nonlearning_reference,no_go_current_form,structured_vehicle_transformer,40,0.7757451900414308,0.24207850060247382,0.575,0.35,0.0,-0.75,1.169846086204052,0.760341876372695,1.0,0.875,1.5416250064969064,1.1068750113248826,0.187251896597445,0.0055009548319504,0.075,0.024999999999999994,0.025,0.025,1.2280494181365456,0.549142453798955,1,9
B_response3s_strict_core,train_mean_all,nonlearning_reference,no_go_current_form,structured_vehicle_transformer,40,0.7764011561159192,0.2427344666769622,0.425,0.19999999999999998,0.0,-0.75,1.055760818719864,0.6462566088885069,0.925,0.8,0.976625008881092,0.5418750137090682,0.187539135129191,0.005788193363696376,0.075,0.024999999999999994,0.0,0.0,1.23038410563295,0.5514771412953595,0,9
B_response3s_strict_core,train_mean_by_event_type,nonlearning_reference,no_go_current_form,structured_vehicle_transformer,40,0.7769074725115026,0.2432407830725456,0.4,0.17500000000000002,0.0,-0.75,0.9565712690353394,0.5470670592039824,0.9,0.775,0.5920000046491622,0.15725000947713846,0.1854900406236993,0.003739098858204698,0.075,0.024999999999999994,0.025,0.025,1.261035100268856,0.5821281359312654,1,9
B_response3s_strict_core,history_trend_500ms,nonlearning_reference,no_go_current_form,structured_vehicle_transformer,40,1.3760175481114687,0.8423508586725117,0.825,0.6,0.875,0.125,0.4868401419284055,0.07733593209704853,0.075,-0.05,1.4583749935030936,1.02362499833107,1.351638281912892,1.1698873401473975,0.925,0.875,0.025,0.025,1.8873507912618812,1.2084438269242908,3,7
B_response3s_strict_core,ridge_rich_context_no_subject,ridge_reference,reference_or_no_go,structured_vehicle_transformer,40,0.536450450516907,0.0027837610779499755,0.175,-0.05000000000000002,0.5,-0.25,0.5529706440865993,0.14346643425524236,0.35,0.22499999999999998,0.4195000097155571,-0.015249985456466664,0.1883128815432428,0.006561939777748188,0.075,0.024999999999999994,0.025,0.025,0.7571023760780592,0.07819541174046862,3,7
B_response3s_strict_core,ridge_rich_history_no_subject,ridge_reference,reference_or_no_go,structured_vehicle_transformer,40,0.538776040937721,0.005109351498764014,0.175,-0.05000000000000002,0.5,-0.25,0.5651419721543789,0.1556377623230219,0.35,0.22499999999999998,0.4292500227689743,-0.005499972403049502,0.1892954831324459,0.007544541366951291,0.075,0.024999999999999994,0.0,0.0,0.7702127368939254,0.09130577255633487,2,7
B_response3s_strict_core,topk_top1_rbf_fallback_logreg_no_subject,multi_hypothesis_or_selector,reference_or_no_go,topk_reliability_selector,40,0.5420713665739044,0.008404677134947414,0.225,0.0,0.75,0.0,0.4228115770965814,0.013307367265224412,0.125,0.0,0.426249997317791,-0.008499997854232777,0.1876071452861651,0.005856203520670483,0.075,0.024999999999999994,0.025,0.025,0.6789069643375906,0.0,2,4
B_response3s_strict_core,oracle_best_of_rbf_plus_topk_upper_bound,upper_bound_oracle,research_signal_not_deployable,topk_reliability_selector,40,0.4156523607028385,-0.1180143287361185,0.075,-0.15000000000000002,0.875,0.125,0.332915298640728,-0.076588911190629,0.1,-0.024999999999999994,0.3461250051856041,-0.08862498998641971,0.2468077427474782,0.06505680098198358,0.075,0.024999999999999994,0.2,0.2,0.6043694225919283,-0.0745375417456623,8,2
B_response3s_strict_core,oracle_best_of_rbf_keypoint_upper_bound,upper_bound_oracle,research_signal_not_deployable,rbf_keypoint_selector,40,0.4750953400294432,-0.058571349409513807,0.2,-0.024999999999999994,0.875,0.125,0.4188615206629038,0.009357310831546783,0.175,0.04999999999999999,0.4402499958872795,0.005500000715255693,0.1914472732052672,0.009696331439772582,0.05,0.0,0.0,0.0,0.648367710695391,-0.03053925364219956,4,4
B_response3s_strict_core,topk_vehicle_transformer_best_of_3_oracle,upper_bound_oracle,research_signal_not_deployable,topk_vehicle_transformer,40,0.4775343692699205,-0.05613232016903652,0.025,-0.2,0.875,0.125,0.407978144660592,-0.0015260651707649786,0.175,0.04999999999999999,0.3131250038743019,-0.12162499129772186,0.3096106485230848,0.12785970675759017,0.2,0.15000000000000002,0.25,0.25,0.6341906019412851,-0.0447163623963055,7,3
B_response3s_strict_core,selector_logreg_rbf_keypoint_no_subject,keypoint_residual_or_selector,weak_candidate_continue,rbf_keypoint_selector,40,0.5339115762154282,0.00024488677647116486,0.2,-0.024999999999999994,0.875,0.125,0.3866422098129988,-0.022862000018358197,0.1,-0.024999999999999994,0.4158750012516975,-0.018874993920326266,0.1897892170760314,0.008038275310536802,0.075,0.024999999999999994,0.025,0.025,0.648367710695391,-0.03053925364219956,7,3
B_response3s_strict_core,keypoint_residual_vehicle_transformer_no_subject,keypoint_residual_or_selector,weak_no_go_current_form,rbf_keypoint_selector,40,0.5489935187678284,0.015326829328871416,0.125,-0.1,0.875,0.125,0.4458335902541875,0.036329380422830515,0.2,0.07500000000000001,0.4764999940991402,0.041749998927116394,0.1953311695717275,0.013580227806232886,0.075,0.024999999999999994,0.025,0.025,0.7288664061847274,0.049959441847136854,3,7
