sample_id,split,gt_peak_abs,gt_peak_signed,gt_peak_time_s,gt_onset_time_s,gt_tail_signed,gt_tail_abs_ratio,direction_mode,amplitude_mode,peak_timing,tail_mode,reversal_count,zero_crossing,correction_mode,response_family,threshold_small_peak_train_p40,threshold_large_peak_train_p75,threshold_very_large_peak_train_p90,threshold_peak_time_train_median,rbf_sample_rmse,deployable_oracle_rmse,deployable_oracle_gain_over_rbf,deployable_oracle_best_model,deployable_oracle_uses_non_rbf,candidate_spread_mean,candidate_spread_peak,rbf_kernel_ridge_context_no_subject__sample_rmse,keypoint_residual_vehicle_transformer_no_subject__sample_rmse,topk_vehicle_transformer_branch0_no_subject__sample_rmse,topk_vehicle_transformer_branch1_no_subject__sample_rmse,topk_vehicle_transformer_branch2_no_subject__sample_rmse,event_uid,subject,session_stamp,event_type,event_level,road_type_anchor,road_design_module_name,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,train,0.6585130095481873,0.6585130095481873,2.140000104904175,0.08500000089406967,0.15358835458755493,0.23323511056058485,positive,small,late_peak,return_near_zero,2,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.15102059,0.15102059,0.0,rbf_kernel_ridge_context_no_subject,0,0.294929,0.449144,0.15102059,0.26311168,0.4566616,0.6293924,0.37609974,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,instability_ay_roll,strong_active,straight,middle_section,section3,design_regular_road,low
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,train,1.488070011138916,-1.488070011138916,1.7050000429153442,0.24500000476837158,-0.23282694816589355,0.1564623615979574,negative,medium,late_peak,return_near_zero,4,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.3531014,0.24832186,0.10477954,topk_vehicle_transformer_branch2_no_subject,1,0.21287978,0.32884425,0.3531014,0.45163506,0.3772877,0.6773637,0.24832186,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,train,1.5233267545700073,-1.5233267545700073,1.4299999475479126,0.23000000417232513,0.14067354798316956,0.092346272761997,negative,medium,early_peak,return_near_zero,4,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.3621476,0.3621476,0.0,rbf_kernel_ridge_context_no_subject,0,0.20651937,0.2722641,0.3621476,0.5195239,0.3672338,0.47616807,0.4012389,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,instability_ay_roll,strong_active,straight,middle_section,section5,design_regular_road,very_low
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130__pre3_label3_response_coverage,val,0.8892450332641602,-0.8892450332641602,1.6100000143051147,0.13500000536441803,0.12898001074790955,0.14504439825147114,negative,small,late_peak,return_near_zero,2,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.3376335,0.19202095,0.14561254,topk_vehicle_transformer_branch2_no_subject,1,0.26121756,0.37064415,0.3376335,0.25114498,0.39538088,0.7285566,0.19202095,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130,cwh,2025_09_26_19_56_16,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365__pre3_label3_response_coverage,val,1.358564019203186,1.358564019203186,1.1399999856948853,0.41999998688697815,-0.024260014295578003,0.017857100550776245,positive,medium,early_peak,return_near_zero,2,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.3582754,0.3582754,0.0,rbf_kernel_ridge_context_no_subject,0,0.19533566,0.33768767,0.3582754,0.3760926,0.3655611,0.554833,0.44435212,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365,cwh,2025_09_26_19_56_16,instability_ay_roll,strong_active,straight,curve2,curve2,design_curve_context,very_low
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785__pre3_label3_response_coverage,val,1.5020259618759155,-1.5020259618759155,1.225000023841858,0.11999999731779099,0.02443501353263855,0.016268036740271177,negative,medium,early_peak,return_near_zero,3,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.83484614,0.57155,0.26329613,topk_vehicle_transformer_branch1_no_subject,1,0.17585477,0.23539847,0.83484614,0.794781,0.7715885,0.57155,0.9138136,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785,cwh,2025_09_26_19_56_16,instability_ay_roll,strong_active,straight,middle_section,section5,design_regular_road,very_low
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180__pre3_label3_response_coverage,val,0.9496341347694397,0.9496341347694397,1.2699999809265137,0.5550000071525574,-0.24172788858413696,0.25454844106127855,positive,small,early_peak,return_near_zero,2,1,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.3551464,0.27154762,0.08359879,topk_vehicle_transformer_branch2_no_subject,1,0.19719636,0.42531094,0.3551464,0.4642359,0.31871054,0.54294044,0.27154762,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180,cwh,2025_09_26_19_56_16,instability_ay_roll,medium_active,straight,middle_section,section6,design_regular_road,very_low
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,train,1.6385160684585571,1.6385160684585571,1.309999942779541,0.8899999856948853,-0.38187798857688904,0.23306331620912502,positive,large,early_peak,return_near_zero,4,1,multi_segment,large|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.34374702,0.34374702,0.0,rbf_kernel_ridge_context_no_subject,0,0.2014136,0.31997037,0.34374702,0.5359215,0.44542482,0.658076,0.43392575,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,instability_ay_roll,strong_active,straight,fix_road,fix_road,design_special_event_segment,low
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,train,1.178966999053955,-1.178966999053955,1.090000033378601,0.1550000011920929,-0.09634249657392502,0.08171772123497405,negative,medium,early_peak,return_near_zero,3,1,multi_segment,medium|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.33743438,0.25140575,0.086028636,topk_vehicle_transformer_branch1_no_subject,1,0.18756214,0.27837846,0.33743438,0.51157343,0.43461066,0.25140575,0.6210384,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730,cwh,2025_09_26_20_06_19,instability_ay_roll,strong_active,straight,middle_section,section5,design_regular_road,very_low
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,train,0.19268402457237244,-0.19268402457237244,0.9750000238418579,0.1899999976158142,-0.02513200044631958,0.13043115796494048,negative,small,early_peak,return_near_zero,2,0,multi_segment,small|return_near_zero|multi_segment,0.9891481995582581,1.633541226387024,1.9869728088378906,1.5825000405311584,0.0073422827,0.0073422827,0.0,rbf_kernel_ridge_context_no_subject,0,0.09227429,0.13700369,0.0073422827,0.100426964,0.07535133,0.15865238,0.13996434,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,instability_ay_roll,instability_medium,design_high_risk_surface,differentmu_road,mu1,design_high_risk_surface,very_low
