window_config_id,group_name,group_value,n_samples,sample_rmse_mean,sample_rmse_median,wrong_side_rate,severe_under_rate,large_response_recall,peak_amp_ratio_mean,tail_abs_error_mean,reversal_exact_rate
pre2_label2_old_main,is_large_response,1,22,0.5252786075527017,0.45229892432689667,0.09090909090909091,0.45454545454545453,0.5454545454545454,0.5382605059623801,0.6696341507644816,0.0
pre2_label2_old_main,is_difficult_peak_top20,0,48,0.18054037859352925,0.15406610071659088,0.22916666666666666,0.20833333333333334,0.041666666666666664,1.3014395910756111,0.23561543955778083,0.041666666666666664
pre2_label2_old_main,is_difficult_peak_top20,1,19,0.5716496721694344,0.5146896243095398,0.05263157894736842,0.47368421052631576,0.5263157894736842,0.5341492290247849,0.741260817862655,0.0
pre3_label3_response_coverage,event_type,curve_left_or_positive,37,0.46580040696504954,0.3573596775531769,0.2972972972972973,0.40540540540540543,0.1891891891891892,0.610971777137901,0.5217444388434995,0.0
pre3_label3_response_coverage,event_type,curve_right_or_negative,30,0.21946904845535756,0.19821437448263168,0.1,0.3,0.03333333333333333,0.9024793780934601,0.23311558812856675,0.0
pre3_label3_response_coverage,event_level,extreme,53,0.3883957311089309,0.302755206823349,0.2641509433962264,0.3584905660377358,0.1320754716981132,0.7827731204434248,0.43624167267742725,0.0
pre3_label3_response_coverage,event_level,weak,14,0.2309794830424445,0.16678322106599808,0.0,0.35714285714285715,0.07142857142857142,0.5852401223860448,0.22694308779734587,0.0
pre3_label3_response_coverage,gt_peak_abs_bin,0-0.25,9,0.1590612650745445,0.1538083404302597,0.2222222222222222,0.1111111111111111,0.0,1.4655001041993432,0.1659495977477895,0.0
pre3_label3_response_coverage,gt_peak_abs_bin,0.25-0.5,20,0.1941534008830786,0.16428153961896896,0.3,0.15,0.0,0.8092674006957357,0.18834395743906499,0.0
pre3_label3_response_coverage,gt_peak_abs_bin,0.5-1.0,21,0.28198763799099696,0.24717704951763153,0.047619047619047616,0.5238095238095238,0.0,0.5495291789204051,0.33505589517188217,0.0
pre3_label3_response_coverage,gt_peak_abs_bin,1.0-2.0,15,0.6309303800264995,0.5839733481407166,0.26666666666666666,0.5333333333333333,0.4666666666666667,0.5155398985468296,0.63061334976616,0.0
pre3_label3_response_coverage,gt_peak_abs_bin,>=2.0,2,1.55918550491333,1.55918550491333,0.5,0.5,0.5,0.5161384548331951,2.2711061537265778,0.0
pre3_label3_response_coverage,gt_reversal_count_bin,0,3,0.13931908706823984,0.11686041206121445,0.0,0.3333333333333333,0.0,0.8521099738316424,0.1946582943201065,0.0
pre3_label3_response_coverage,gt_reversal_count_bin,1,9,0.1999916641248597,0.19591771066188812,0.0,0.4444444444444444,0.0,0.7388072509676317,0.1896140912754668,0.0
pre3_label3_response_coverage,gt_reversal_count_bin,2-3,29,0.3893318038819165,0.3250137269496918,0.3103448275862069,0.3448275862068966,0.13793103448275862,0.7281344109035695,0.42336592413806196,0.0
pre3_label3_response_coverage,gt_reversal_count_bin,>=4,26,0.39654546001782787,0.29206734895706177,0.19230769230769232,0.34615384615384615,0.15384615384615385,0.7445709230961158,0.45114993756242955,0.0
pre3_label3_response_coverage,is_large_response,0,50,0.22472719602286817,0.19821437448263168,0.18,0.3,0.0,0.8182992341807461,0.2459319865424186,0.0
pre3_label3_response_coverage,is_large_response,1,17,0.740136865307303,0.7290575504302979,0.29411764705882354,0.5294117647058824,0.47058823529411764,0.5156103169334607,0.8236125031732681,0.0
pre3_label3_response_coverage,is_difficult_peak_top20,0,51,0.23177123822125734,0.20051103830337524,0.17647058823529413,0.29411764705882354,0.0196078431372549,0.8296552793721689,0.24910289046409376,0.0
pre3_label3_response_coverage,is_difficult_peak_top20,1,16,0.7498970851302147,0.742944210767746,0.3125,0.5625,0.4375,0.46049486555784536,0.8496102792123565,0.0
