subject,session_stamp,vehicle_raw_relative_path,mapping_status,sampled_point_count,t_start_rel_s,t_end_rel_s,median_nearest_dist_m,p90_nearest_dist_m,high_point_ratio,medium_or_better_point_ratio,dominant_instance_name
rjy,2025_09_28_20_02_20,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_02_20_vehicle.csv,ok,7279,0.0,727.805,271.446,776.613,0.1851,0.3779,curve1
rjy,2025_09_28_20_15_42,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_15_42_vehicle.csv,ok,5990,0.0,598.9,280.155,918.523,0.2359,0.2728,mu1
txj,2025_09_27_08_39_31,原始车辆数据/txj/Entity_Recording_2025_09_27_08_39_31_vehicle.csv,ok,65,0.0,6.4,8.497,8.497,1.0,1.0,section1
txj,2025_09_27_08_40_46,原始车辆数据/txj/Entity_Recording_2025_09_27_08_40_46_vehicle.csv,ok,7368,0.0,736.705,282.395,973.963,0.2581,0.293,mu1
txj,2025_09_27_08_53_44,原始车辆数据/txj/Entity_Recording_2025_09_27_08_53_44_vehicle.csv,ok,6781,0.0,678.0,283.153,935.646,0.2187,0.251,mu1
txj,2025_09_27_09_06_19,原始车辆数据/txj/Entity_Recording_2025_09_27_09_06_19_vehicle.csv,ok,6299,0.0,629.805,282.393,936.035,0.2192,0.2627,mu1
txj,2025_09_27_09_17_11,原始车辆数据/txj/Entity_Recording_2025_09_27_09_17_11_vehicle.csv,ok,6183,0.0,618.2,279.503,920.134,0.2688,0.3235,curve1
tyy,2025_09_28_14_23_43,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_23_43_vehicle.csv,ok,9035,0.0,903.4,280.566,981.521,0.1923,0.2227,curve2
tyy,2025_09_28_14_40_01,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_40_01_vehicle.csv,ok,1856,0.0,185.5,4.404,51.438,0.8739,0.9256,curve1
tyy,2025_09_28_14_44_09,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_44_09_vehicle.csv,ok,5747,0.0,574.605,2959.215,5755.191,0.2723,0.324,curve1
tyy,2025_09_28_14_57_17,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_57_17_vehicle.csv,ok,4467,0.0,446.605,279.404,931.783,0.3468,0.37,curve1
xst,2025_09_26_11_34_18,原始车辆数据/xst/Entity_Recording_2025_09_26_11_34_18_vehicle.csv,ok,7429,0.0,742.805,272.507,977.248,0.1945,0.3286,curve1
yyl,2025_09_28_09_14_23,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_14_23_vehicle.csv,ok,7790,0.0,778.9,272.174,914.558,0.2661,0.3086,curve1
yyl,2025_09_28_09_29_01,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_29_01_vehicle.csv,ok,5718,0.0,571.7,280.96,939.097,0.2557,0.2898,mu1
yyl,2025_09_28_09_39_01,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_39_01_vehicle.csv,ok,5716,0.0,571.5,280.549,940.148,0.2488,0.2824,mu1
yyl,2025_09_28_09_49_11,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_49_11_vehicle.csv,ok,5429,0.0,542.805,282.433,940.579,0.2435,0.2809,mu1
yzy,2025_09_27_14_13_03,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_13_03_vehicle.csv,ok,6950,0.0,694.9,280.897,987.686,0.2606,0.2911,mu1
yzy,2025_09_27_14_26_04,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_26_04_vehicle.csv,ok,6153,0.0,615.2,280.123,929.942,0.2526,0.3052,mu1
yzy,2025_09_27_14_37_08,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_37_08_vehicle.csv,ok,5950,0.0,594.9,280.089,922.113,0.3013,0.3363,mu1
yzy,2025_09_27_15_04_26,原始车辆数据/yzy/Entity_Recording_2025_09_27_15_04_26_vehicle.csv,ok,1135,0.0,113.4,7.291,26.534,0.6106,1.0,section1
