instability_event_uid,subject,session_stamp,anchor_time_rel_s,recommended_decision,instability_role,instability_review_score,road_guided_instability_score,old_v400_min_abs_anchor_gap_s,old_v400_road_type_mode,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,road_design_nearest_dist_m,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,steering_delta_peak_post3s,nearest_module_boundary_time_rel_s,nearest_module_boundary_type,nearest_module_boundary_delta_s,active_module_name_at_old_anchor,active_instance_name_at_old_anchor,active_module_reliability_at_old_anchor,active_module_risk_class_cn,nearest_boundary_instance_name,nearest_boundary_reliability
vehicle_instability_onset__rjy__2025_09_28_19_33_26__000189485,rjy,2025_09_28_19_33_26,189.485,hybrid_accept_medium,instability_ay_only,46.03,75.96,0.125,straight,curve1,design_curve_context,medium,24.450807,3.81992,0.079181,0.180157,0.8998,225.805,exit,36.32,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__rjy__2025_09_28_19_33_26__000245340,rjy,2025_09_28_19_33_26,245.34,hybrid_accept_medium,instability_ay_only,48.37,76.85,0.03,straight,section3,design_regular_road,low,279.632997,3.98974,0.15063,0.163215,0.718639,225.905,entry,-19.435,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__rjy__2025_09_28_19_33_26__000351705,rjy,2025_09_28_19_33_26,351.705,hybrid_accept_medium,instability_ay_only,50.95,71.63,0.065,curve,section4,design_regular_road,low,278.474858,3.70068,0.144067,0.151761,0.517141,355.405,exit,3.7,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__rjy__2025_09_28_19_33_26__000428885,rjy,2025_09_28_19_33_26,428.885,hybrid_reject_low_evidence,instability_ay_only,29.51,36.96,0.05,straight,section5,design_regular_road,very_low,967.193893,2.05142,0.097114,0.078016,0.395928,443.0,exit,14.115,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__rjy__2025_09_28_19_33_26__000517100,rjy,2025_09_28_19_33_26,517.1,hybrid_accept_high,instability_ay_only,54.32,86.4,0.635,straight,section6,design_regular_road,very_low,743.871612,1.34719,0.266961,0.198704,1.208988,519.0,exit,1.9,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__rjy__2025_09_28_19_33_26__000543530,rjy,2025_09_28_19_33_26,543.53,hybrid_reject_low_evidence,instability_ay_only,30.44,32.07,,none,mu1,design_high_risk_surface,very_low,678.556393,1.52004,0.134753,0.076329,0.230295,519.105,entry,-24.425,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__rjy__2025_09_28_19_33_26__000560115,rjy,2025_09_28_19_33_26,560.115,hybrid_accept_medium,instability_ay_only,60.23,78.14,,none,mu1,design_high_risk_surface,very_low,623.740717,6.34935,0.093169,0.225648,0.249931,519.105,entry,-41.01,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__rjy__2025_09_28_19_33_26__000624645,rjy,2025_09_28_19_33_26,624.645,hybrid_accept_high,instability_ay_only,65.32,93.25,0.595,curve,mu1,design_high_risk_surface,very_low,1092.404567,11.504,0.189471,0.241943,0.463036,646.805,exit,22.16,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__rjy__2025_09_28_19_44_42__000098445,rjy,2025_09_28_19_44_42,98.445,hybrid_accept_high,instability_ay_only,75.95,100.0,1.78,straight,curve1,design_curve_context,high,4.811925,1.41178,0.855024,0.29847,0.413469,94.9,entry,-3.545,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__rjy__2025_09_28_19_49_06__000020700,rjy,2025_09_28_19_49_06,20.7,hybrid_reject_low_evidence,instability_ay_only,27.98,30.29,1.045,straight,longstraight,design_regular_road,high,3.410745,1.39973,0.089693,0.098202,0.484852,22.805,exit,2.105,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__rjy__2025_09_28_19_51_44__000056300,rjy,2025_09_28_19_51_44,56.3,hybrid_accept_medium,instability_ay_only,41.81,64.97,1.045,straight,longstraight,design_regular_road,high,3.231884,1.40178,0.16536,0.153726,0.417133,57.9,exit,1.6,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__rjy__2025_09_28_19_51_44__000147875,rjy,2025_09_28_19_51_44,147.875,hybrid_accept_medium,instability_ay_only,53.87,71.34,,none,curve1,design_curve_context,low,252.562309,3.93299,0.106422,0.25669,1.013859,168.305,exit,20.43,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__rjy__2025_09_28_19_51_44__000320535,rjy,2025_09_28_19_51_44,320.535,hybrid_accept_medium,instability_ay_only,51.04,65.24,0.145,curve,curve2,design_curve_context,low,233.829395,1.7166,0.100195,0.220305,0.376293,306.0,entry,-14.535,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__rjy__2025_09_28_19_51_44__000457270,rjy,2025_09_28_19_51_44,457.27,hybrid_accept_medium,instability_ay_only,40.19,60.17,0.155,straight,section6,design_regular_road,very_low,747.709618,2.05656,0.204957,0.144272,0.473508,461.305,exit,4.035,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__rjy__2025_09_28_19_51_44__000494785,rjy,2025_09_28_19_51_44,494.785,hybrid_reject_low_evidence,instability_ay_only,33.22,35.72,,none,mu1,design_high_risk_surface,very_low,651.922771,1.55962,0.047739,0.108054,0.123046,461.4,entry,-33.385,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__rjy__2025_09_28_19_51_44__000498795,rjy,2025_09_28_19_51_44,498.795,hybrid_accept_high,instability_ay_only,65.22,82.82,,none,mu1,design_high_risk_surface,very_low,629.469213,6.26266,0.085955,0.226367,0.448026,461.4,entry,-37.395,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__rjy__2025_09_28_19_51_44__000531740,rjy,2025_09_28_19_51_44,531.74,hybrid_accept_medium,instability_ay_only,39.49,64.64,0.015,straight,mu1,design_high_risk_surface,medium,104.595274,2.84048,0.114746,0.123373,0.875283,583.805,exit,52.065,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000034270,rjy,2025_09_28_20_02_20,34.27,hybrid_reject_low_evidence,instability_ay_only,25.6,33.6,0.485,straight,section1,design_regular_road,high,5.138293,1.50871,0.063729,0.057617,0.355523,48.405,exit,14.135,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000059725,rjy,2025_09_28_20_02_20,59.725,hybrid_accept_medium,instability_ay_only,56.29,69.85,0.115,straight,longstraight,design_regular_road,high,3.653563,2.87245,0.224922,0.253762,0.555539,61.2,exit,1.475,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000174350,rjy,2025_09_28_20_02_20,174.35,hybrid_reject_low_evidence,instability_roll_only,16.42,13.12,,none,curve1,design_curve_context,medium,81.797864,0.214108,0.555141,0.042112,2.521307,100.5,entry,-73.85,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000213225,rjy,2025_09_28_20_02_20,213.225,hybrid_accept_medium,instability_roll_only,31.8,56.53,2.055,curve,curve1,design_curve_context,medium,44.803738,0.318878,0.526313,0.096381,1.22104,304.305,exit,91.08,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000217205,rjy,2025_09_28_20_02_20,217.205,hybrid_reject_low_evidence,instability_roll_only,30.86,37.86,0.06,curve,curve1,design_curve_context,medium,40.086891,0.396652,0.526313,0.096381,0.19827,304.305,exit,87.1,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000233825,rjy,2025_09_28_20_02_20,233.825,hybrid_reject_low_evidence,instability_roll_only,33.87,30.28,,none,curve1,design_curve_context,medium,38.948551,0.433374,0.553969,0.11438,0.071905,304.305,exit,70.48,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000237755,rjy,2025_09_28_20_02_20,237.755,hybrid_reject_low_evidence,instability_roll_only,32.44,30.13,,none,curve1,design_curve_context,medium,40.622325,0.160018,0.553969,0.11438,0.0247,304.305,exit,66.55,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000254040,rjy,2025_09_28_20_02_20,254.04,hybrid_review_conflict_or_medium,instability_ay_only,30.8,45.38,,none,curve1,design_curve_context,medium,45.481569,0.56076,0.537218,0.141237,0.26668,304.305,exit,50.265,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000277245,rjy,2025_09_28_20_02_20,277.245,hybrid_accept_medium,instability_ay_only,37.11,58.49,4.84,curve,curve1,design_curve_context,low,175.876506,1.81133,0.112102,0.167313,0.215199,304.305,exit,27.06,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000311765,rjy,2025_09_28_20_02_20,311.765,hybrid_accept_medium,instability_ay_only,47.16,76.74,0.6,straight,section3,design_regular_road,low,281.655181,3.34636,0.09621,0.128542,0.87633,304.405,entry,-7.36,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000409690,rjy,2025_09_28_20_02_20,409.69,hybrid_accept_high,instability_ay_only,62.49,84.45,1.765,straight,section4,design_regular_road,low,279.156992,1.68443,0.257917,0.22831,1.041089,415.605,exit,5.915,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000422680,rjy,2025_09_28_20_02_20,422.68,hybrid_accept_high,instability_ay_only,78.94,100.0,0.075,curve,curve2,design_curve_context,low,176.327161,5.05213,0.434358,0.356592,1.136036,415.7,entry,-6.98,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__rjy__2025_09_28_20_02_20__000721365,rjy,2025_09_28_20_02_20,721.365,hybrid_review_conflict_or_medium,instability_ay_only,38.83,54.1,2.355,curve,curve1,design_curve_context,low,270.684987,2.76276,0.080347,0.157235,0.629017,727.805,exit,6.44,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000072470,rjy,2025_09_28_20_15_42,72.47,hybrid_reject_low_evidence,instability_ay_only,29.22,35.92,0.09,straight,section2,design_regular_road,high,2.982062,2.03109,0.099643,0.073089,0.482758,88.6,exit,16.13,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000207755,rjy,2025_09_28_20_15_42,207.755,hybrid_accept_high,instability_ay_only,63.11,100.0,1.46,straight,section3,design_regular_road,low,279.436102,1.38268,0.364732,0.26663,1.360138,209.3,exit,1.545,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000221270,rjy,2025_09_28_20_15_42,221.27,hybrid_accept_high,instability_ay_only,88.6,100.0,0.64,straight,fix_road,design_special_event_segment,low,283.582681,15.4751,0.99325,1.05486,0.684605,209.4,entry,-11.87,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000243190,rjy,2025_09_28_20_15_42,243.19,hybrid_accept_medium,instability_roll_only,53.86,80.59,3.33,straight,fix_road,design_special_event_segment,low,264.853613,2.16974,2.28061,0.141832,0.90435,209.4,entry,-33.79,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000253560,rjy,2025_09_28_20_15_42,253.56,hybrid_accept_medium,instability_ay_only,47.27,69.83,,none,fix_road,design_special_event_segment,low,284.686054,1.48329,1.24919,0.219517,0.113975,209.4,entry,-44.16,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000367705,rjy,2025_09_28_20_15_42,367.705,hybrid_reject_low_evidence,instability_ay_only,26.93,29.51,0.21,straight,curve2,design_curve_context,very_low,682.291058,1.46703,0.080672,0.069706,0.259008,381.9,exit,14.195,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000378840,rjy,2025_09_28_20_15_42,378.84,hybrid_accept_high,instability_ay_only,70.63,100.0,2.335,straight,curve2,design_curve_context,very_low,935.712621,1.35539,0.592413,0.378046,0.199666,381.9,exit,3.06,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000507485,rjy,2025_09_28_20_15_42,507.485,hybrid_reject_low_evidence,instability_ay_only,37.73,43.29,,none,mu1,design_high_risk_surface,very_low,644.772487,6.1578,0.036347,0.101552,0.136485,472.5,entry,-34.985,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000552760,rjy,2025_09_28_20_15_42,552.76,hybrid_accept_high,instability_ay_only,48.63,86.39,0.03,straight,mu1,design_high_risk_surface,low,339.463136,3.95759,0.178985,0.147172,0.865509,598.9,exit,46.14,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__rjy__2025_09_28_20_15_42__000564795,rjy,2025_09_28_20_15_42,564.795,hybrid_accept_medium,instability_ay_only,60.68,73.78,0.775,straight,mu1,design_high_risk_surface,very_low,666.173732,2.98336,0.281435,0.170803,0.747874,598.9,exit,34.105,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000009985,txj,2025_09_27_08_40_46,9.985,hybrid_reject_low_evidence,instability_roll_only,33.87,37.48,,none,section1,design_regular_road,high,8.493388,0.17809,0.541737,0.03411,0.432842,0.0,entry,-9.985,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__txj__2025_09_27_08_40_46__000052065,txj,2025_09_27_08_40_46,52.065,hybrid_reject_low_evidence,instability_ay_only,20.39,20.39,,none,section1,design_regular_road,high,3.149912,1.40475,0.045167,0.068327,0.255516,64.205,exit,12.14,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__txj__2025_09_27_08_40_46__000197070,txj,2025_09_27_08_40_46,197.07,hybrid_accept_high,instability_ay_only,60.82,99.29,0.43,straight,curve1,design_curve_context,high,17.147928,5.3312,0.212637,0.241351,1.247564,226.105,exit,29.035,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__txj__2025_09_27_08_40_46__000242810,txj,2025_09_27_08_40_46,242.81,hybrid_accept_medium,instability_ay_only,54.52,68.43,0.51,straight,section3,design_regular_road,low,280.965625,1.67749,0.259541,0.192432,0.402647,259.0,exit,16.19,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000250615,txj,2025_09_27_08_40_46,250.615,hybrid_review_conflict_or_medium,instability_ay_only,41.42,47.98,1.785,straight,section3,design_regular_road,low,278.685363,1.96972,0.131761,0.080266,0.368439,259.0,exit,8.385,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000300980,txj,2025_09_27_08_40_46,300.98,hybrid_accept_high,instability_ay_only,62.95,94.99,0.03,straight,fix_road,design_special_event_segment,low,279.26422,2.31471,0.335502,0.248242,0.512603,320.705,exit,19.725,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000349320,txj,2025_09_27_08_40_46,349.32,hybrid_accept_high,instability_ay_only,83.71,100.0,2.61,curve,section4,design_regular_road,low,279.061037,3.06526,0.982605,0.57924,0.833744,353.0,exit,3.68,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000421100,txj,2025_09_27_08_40_46,421.1,hybrid_reject_low_evidence,instability_ay_only,30.95,32.71,0.05,straight,section5,design_regular_road,very_low,1003.040206,1.65227,0.17161,0.105269,0.423242,419.905,entry,-1.195,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000469370,txj,2025_09_27_08_40_46,469.37,hybrid_accept_medium,instability_ay_only,36.65,58.28,1.165,straight,section5,design_regular_road,very_low,939.014608,1.48528,0.155902,0.162877,1.057491,472.0,exit,2.63,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000582870,txj,2025_09_27_08_40_46,582.87,hybrid_accept_high,instability_ay_only,84.1,100.0,2.835,straight,mu1,design_high_risk_surface,very_low,741.56661,11.2375,1.65201,0.987896,1.25333,570.105,entry,-12.765,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000610060,txj,2025_09_27_08_40_46,610.06,hybrid_reject_low_evidence,instability_ay_only,23.75,23.75,,none,mu1,design_high_risk_surface,very_low,694.89368,1.46986,0.067166,0.059329,0.3036,570.105,entry,-39.955,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000622220,txj,2025_09_27_08_40_46,622.22,hybrid_review_conflict_or_medium,instability_ay_only,39.25,50.59,0.56,straight,mu1,design_high_risk_surface,very_low,666.107143,2.32644,0.103765,0.09936,0.495674,570.105,entry,-52.115,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000646370,txj,2025_09_27_08_40_46,646.37,hybrid_accept_high,instability_ay_only,67.36,91.5,1.855,curve,mu1,design_high_risk_surface,low,372.632605,3.06453,0.264153,0.303438,0.484329,570.105,entry,-76.265,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000687315,txj,2025_09_27_08_40_46,687.315,hybrid_accept_medium,instability_ay_only,48.12,71.83,0.8,straight,mu1,design_high_risk_surface,very_low,669.240082,3.87642,0.16869,0.153765,0.950157,736.705,exit,49.39,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_40_46__000706970,txj,2025_09_27_08_40_46,706.97,hybrid_accept_high,instability_ay_only,63.6,82.81,0.755,curve,mu1,design_high_risk_surface,very_low,1181.608008,3.21124,0.281235,0.234964,0.413643,736.705,exit,29.735,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000009955,txj,2025_09_27_08_53_44,9.955,hybrid_reject_low_evidence,instability_roll_only,38.77,42.32,,none,section1,design_regular_road,high,8.494088,0.220308,0.531789,0.055371,0.185878,0.0,entry,-9.955,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__txj__2025_09_27_08_53_44__000039645,txj,2025_09_27_08_53_44,39.645,hybrid_accept_medium,instability_ay_only,37.45,60.48,2.645,straight,section1,design_regular_road,high,5.594209,1.40077,0.191939,0.129146,0.441743,52.7,exit,13.055,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__txj__2025_09_27_08_53_44__000066320,txj,2025_09_27_08_53_44,66.32,hybrid_accept_high,instability_ay_only,57.8,94.71,0.015,straight,section2,design_regular_road,high,4.689177,4.69799,0.287262,0.196975,1.243547,65.7,entry,-0.62,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__txj__2025_09_27_08_53_44__000113335,txj,2025_09_27_08_53_44,113.335,hybrid_reject_low_evidence,instability_ay_only,29.55,37.75,0.485,straight,curve1,design_curve_context,high,4.985563,2.09837,0.097537,0.090504,0.380132,106.905,entry,-6.43,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__txj__2025_09_27_08_53_44__000149055,txj,2025_09_27_08_53_44,149.055,hybrid_accept_high,instability_ay_only,56.72,94.47,1.545,straight,curve1,design_curve_context,medium,31.961858,1.37973,0.27924,0.331594,2.084972,177.305,exit,28.25,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__txj__2025_09_27_08_53_44__000156415,txj,2025_09_27_08_53_44,156.415,hybrid_accept_high,instability_ay_only,69.97,100.0,0.1,curve,curve1,design_curve_context,medium,96.34793,7.41662,0.27924,0.331594,2.071879,177.305,exit,20.89,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__txj__2025_09_27_08_53_44__000193915,txj,2025_09_27_08_53_44,193.915,hybrid_reject_low_evidence,instability_ay_only,24.06,33.16,,none,section3,design_regular_road,low,289.620755,0.490199,0.614608,0.132592,0.06999,177.405,entry,-16.51,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000204445,txj,2025_09_27_08_53_44,204.445,hybrid_reject_low_evidence,instability_ay_only,11.07,11.07,,none,section3,design_regular_road,low,289.452234,0.915721,0.246931,0.055766,0.385543,177.405,entry,-27.04,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000214100,txj,2025_09_27_08_53_44,214.1,hybrid_reject_low_evidence,instability_roll_only,29.89,27.17,,none,section3,design_regular_road,low,289.639814,0.288413,0.491275,0.020381,0.00192,177.405,entry,-36.695,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000229165,txj,2025_09_27_08_53_44,229.165,hybrid_accept_medium,instability_roll_only,56.57,81.62,2.895,straight,section3,design_regular_road,low,289.001103,0.639338,0.84313,0.369134,0.2693,274.305,exit,45.14,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000335260,txj,2025_09_27_08_53_44,335.26,hybrid_reject_low_evidence,instability_ay_only,25.16,33.16,0.435,straight,section4,design_regular_road,low,278.922743,1.43826,0.07798,0.061255,0.194779,320.7,entry,-14.56,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000338600,txj,2025_09_27_08_53_44,338.6,hybrid_reject_low_evidence,instability_ay_only,33.02,34.52,0.845,straight,section4,design_regular_road,low,278.782059,1.66934,0.076016,0.059182,0.317824,353.2,exit,14.6,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000349545,txj,2025_09_27_08_53_44,349.545,hybrid_accept_high,instability_ay_only,80.66,100.0,3.03,curve,section4,design_regular_road,low,278.75535,2.37909,0.990311,0.797319,0.479965,353.2,exit,3.655,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000367785,txj,2025_09_27_08_53_44,367.785,hybrid_accept_high,instability_ay_only,70.09,96.68,1.35,curve,curve2,design_curve_context,low,239.058825,2.55944,0.251944,0.243789,0.449946,353.305,entry,-14.48,curve2,curve2,very_low,弯道路段,curve2,very_low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000377635,txj,2025_09_27_08_53_44,377.635,hybrid_reject_low_evidence,instability_ay_only,22.33,13.83,0.445,straight,curve2,design_curve_context,low,425.268666,1.45483,0.081823,0.052955,0.274104,353.305,entry,-24.33,curve2,curve2,very_low,弯道路段,curve2,very_low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000422960,txj,2025_09_27_08_53_44,422.96,hybrid_reject_low_evidence,instability_ay_only,34.01,40.51,0.535,straight,section5,design_regular_road,very_low,996.938569,1.64905,0.078298,0.059865,0.291383,419.405,entry,-3.555,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000466505,txj,2025_09_27_08_53_44,466.505,hybrid_accept_medium,instability_ay_only,51.22,78.51,1.34,straight,section5,design_regular_road,very_low,938.061805,0.91547,0.683531,0.249071,0.531628,467.305,exit,0.8,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000553265,txj,2025_09_27_08_53_44,553.265,hybrid_accept_high,instability_ay_only,65.27,84.78,0.735,straight,mu1,design_high_risk_surface,very_low,707.964935,2.44286,0.345621,0.286097,0.651182,539.805,entry,-13.46,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000564000,txj,2025_09_27_08_53_44,564.0,hybrid_accept_medium,instability_ay_only,49.03,71.55,0.78,straight,mu1,design_high_risk_surface,very_low,677.928481,4.01223,0.195299,0.147169,0.438776,539.805,entry,-24.195,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000644550,txj,2025_09_27_08_53_44,644.55,hybrid_accept_medium,instability_ay_only,61.21,77.45,3.895,straight,mu1,design_high_risk_surface,very_low,763.079706,4.87188,0.246881,0.174591,0.231955,678.0,exit,33.45,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_08_53_44__000659640,txj,2025_09_27_08_53_44,659.64,hybrid_accept_medium,instability_ay_only,58.06,71.07,3.63,curve,mu1,design_high_risk_surface,very_low,1169.708293,2.54121,0.228583,0.274299,0.707732,678.0,exit,18.36,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__txj__2025_09_27_09_06_19__000001960,txj,2025_09_27_09_06_19,1.96,hybrid_review_conflict_or_medium,instability_roll_only,46.0,52.68,,none,section1,design_regular_road,high,8.50076,0.463861,1.00207,0.041612,0.304909,0.0,entry,-1.96,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__txj__2025_09_27_09_06_19__000032355,txj,2025_09_27_09_06_19,32.355,hybrid_accept_medium,instability_ay_only,48.68,75.0,0.015,straight,section1,design_regular_road,high,5.341305,3.96578,0.172538,0.152316,0.902248,43.105,exit,10.75,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__txj__2025_09_27_09_06_19__000053330,txj,2025_09_27_09_06_19,53.33,hybrid_accept_high,instability_ay_only,73.39,100.0,4.05,straight,longstraight,design_regular_road,high,2.041012,1.60589,0.624867,0.403678,0.253771,55.605,exit,2.275,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__txj__2025_09_27_09_06_19__000108815,txj,2025_09_27_09_06_19,108.815,hybrid_accept_high,instability_ay_only,84.11,100.0,1.015,straight,curve1,design_curve_context,high,12.130641,9.46256,1.87026,0.584854,1.273918,93.0,entry,-15.815,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__txj__2025_09_27_09_06_19__000147750,txj,2025_09_27_09_06_19,147.75,hybrid_accept_high,instability_ay_only,84.37,100.0,1.07,straight,curve1,design_curve_context,medium,28.413088,9.0279,0.915891,0.505961,1.570095,173.4,exit,25.65,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__txj__2025_09_27_09_06_19__000174820,txj,2025_09_27_09_06_19,174.82,hybrid_accept_high,instability_ay_only,84.76,100.0,0.03,straight,section3,design_regular_road,low,282.435872,9.58908,0.77664,1.70353,2.747148,173.5,entry,-1.32,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__txj__2025_09_27_09_06_19__000188350,txj,2025_09_27_09_06_19,188.35,hybrid_accept_high,instability_ay_only,70.16,100.0,4.865,straight,section3,design_regular_road,low,307.264384,3.86488,1.82284,0.343574,0.17087,173.5,entry,-14.85,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__txj__2025_09_27_09_06_19__000235560,txj,2025_09_27_09_06_19,235.56,hybrid_reject_low_evidence,instability_ay_only,25.89,29.89,,none,fix_road,design_special_event_segment,low,279.375296,1.57821,0.087003,0.078717,0.348542,227.305,entry,-8.255,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__txj__2025_09_27_09_06_19__000265420,txj,2025_09_27_09_06_19,265.42,hybrid_accept_medium,instability_ay_only,56.37,71.27,2.01,straight,fix_road,design_special_event_segment,low,281.900461,2.41584,0.201539,0.184094,0.425511,272.0,exit,6.58,fix_road,fix_road,low,特殊道路段,fix_road,low
