instability_event_uid,subject,session_stamp,anchor_time_rel_s,recommended_decision,instability_role,instability_review_score,road_guided_instability_score,old_v400_min_abs_anchor_gap_s,old_v400_road_type_mode,road_design_instance_name,road_design_risk_class,road_design_mapping_reliability,road_design_nearest_dist_m,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,steering_delta_peak_post3s,nearest_module_boundary_time_rel_s,nearest_module_boundary_type,nearest_module_boundary_delta_s,active_module_name_at_old_anchor,active_instance_name_at_old_anchor,active_module_reliability_at_old_anchor,active_module_risk_class_cn,nearest_boundary_instance_name,nearest_boundary_reliability
vehicle_instability_onset__byx__2025_09_28_17_15_52__000450690,byx,2025_09_28_17_15_52,450.69,hybrid_accept_medium,instability_ay_only,59.83,77.78,,none,mu1,design_high_risk_surface,very_low,635.304158,6.34356,0.074766,0.233116,0.1309,415.605,entry,-35.085,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000494150,byx,2025_09_28_17_15_52,494.15,hybrid_reject_low_evidence,instability_ay_only,34.56,35.41,,none,mu1,design_high_risk_surface,very_low,500.291824,1.75851,0.066052,0.066401,0.335453,533.705,exit,39.555,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000503065,byx,2025_09_28_17_15_52,503.065,hybrid_reject_low_evidence,instability_ay_only,21.54,28.85,1.39,straight,mu1,design_high_risk_surface,very_low,736.174992,1.40567,0.05208,0.055813,0.240331,533.705,exit,30.64,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_15_52__000517355,byx,2025_09_28_17_15_52,517.355,hybrid_accept_medium,instability_ay_only,58.4,71.4,,none,mu1,design_high_risk_surface,very_low,1126.040121,1.74694,0.066475,0.295027,0.2803,533.705,exit,16.35,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000014930,byx,2025_09_28_17_25_18,14.93,hybrid_reject_low_evidence,instability_ay_only,22.79,29.29,3.915,straight,section1,design_regular_road,high,6.423157,1.60877,0.05309,0.070442,0.349241,0.0,entry,-14.93,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,65.55,hybrid_accept_high,instability_ay_only,81.64,100.0,,none,section2,design_regular_road,medium,21.697211,5.73925,2.04694,0.355392,0.23003,53.605,entry,-11.945,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__byx__2025_09_28_17_25_18__000106340,byx,2025_09_28_17_25_18,106.34,hybrid_reject_low_evidence,instability_ay_only,24.6,31.89,0.12,straight,section2,design_regular_road,high,3.76636,1.66888,0.067239,0.069207,0.459196,121.805,exit,15.465,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__byx__2025_09_28_17_25_18__000125080,byx,2025_09_28_17_25_18,125.08,hybrid_review_conflict_or_medium,instability_ay_only,42.29,53.39,1.555,straight,curve1,design_curve_context,high,4.682285,1.43509,0.190754,0.141321,0.256912,121.905,entry,-3.175,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__byx__2025_09_28_17_25_18__000134250,byx,2025_09_28_17_25_18,134.25,hybrid_reject_low_evidence,instability_ay_only,33.99,42.97,0.06,straight,curve1,design_curve_context,high,2.598885,2.68149,0.074202,0.084631,0.510509,121.905,entry,-12.345,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__byx__2025_09_28_17_25_18__000148175,byx,2025_09_28_17_25_18,148.175,hybrid_accept_medium,instability_ay_only,47.43,69.24,0.2,straight,curve1,design_curve_context,high,3.818299,3.73756,0.172155,0.1573,0.889769,121.905,entry,-26.27,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__byx__2025_09_28_17_25_18__000163980,byx,2025_09_28_17_25_18,163.98,hybrid_accept_high,instability_ay_only,66.52,100.0,0.03,curve,curve1,design_curve_context,high,4.903114,5.27984,0.237569,0.26252,1.699254,190.7,exit,26.72,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__byx__2025_09_28_17_25_18__000181490,byx,2025_09_28_17_25_18,181.49,hybrid_accept_medium,instability_ay_only,52.7,72.14,0.845,curve,curve1,design_curve_context,low,283.995283,2.26797,0.105323,0.230849,0.349415,190.7,exit,9.21,curve1,curve1,medium,弯道路段,curve1,medium
vehicle_instability_onset__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,275.87,hybrid_accept_high,instability_ay_only,77.3,100.0,,none,fix_road,design_special_event_segment,low,257.249186,5.04404,2.40302,0.544172,0.03839,306.305,exit,30.435,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000359845,byx,2025_09_28_17_25_18,359.845,hybrid_reject_low_evidence,instability_ay_only,32.43,43.48,0.065,straight,curve2,design_curve_context,low,454.896909,1.77316,0.11017,0.099988,0.438427,336.805,entry,-23.04,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000363625,byx,2025_09_28_17_25_18,363.625,hybrid_accept_medium,instability_ay_only,43.71,61.97,1.16,straight,curve2,design_curve_context,very_low,536.35494,2.39654,0.181503,0.130886,0.579798,384.0,exit,20.375,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000372680,byx,2025_09_28_17_25_18,372.68,hybrid_review_conflict_or_medium,instability_ay_only,38.77,46.93,,none,curve2,design_curve_context,very_low,732.555791,1.69439,0.181503,0.130886,0.254818,384.0,exit,11.32,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,384.19,hybrid_accept_high,instability_ay_only,75.45,100.0,0.15,straight,section5,design_regular_road,very_low,1007.343508,5.9537,0.357119,0.309436,1.21728,384.105,entry,-0.085,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000401810,byx,2025_09_28_17_25_18,401.81,hybrid_accept_high,instability_ay_only,66.11,84.43,1.875,straight,section5,design_regular_road,very_low,959.889607,1.50386,0.449715,0.283907,0.538085,409.7,exit,7.89,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000438840,byx,2025_09_28_17_25_18,438.84,hybrid_reject_low_evidence,instability_ay_only,21.75,22.7,,none,stop,design_special_event_segment,very_low,842.873181,1.57385,0.061785,0.059608,0.261625,441.7,exit,2.86,stop,stop,very_low,特殊道路段,stop,very_low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000471220,byx,2025_09_28_17_25_18,471.22,hybrid_accept_medium,instability_ay_only,44.16,59.96,0.69,straight,section6,design_regular_road,very_low,770.372987,1.61664,0.1475,0.132783,0.348716,481.0,exit,9.78,middle_section,section6,very_low,普通连接段,section6,very_low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000499125,byx,2025_09_28_17_25_18,499.125,hybrid_review_conflict_or_medium,instability_ay_only,41.27,50.99,0.06,straight,mu1,design_high_risk_surface,very_low,693.353339,2.4971,0.125255,0.080308,0.62378,481.105,entry,-18.02,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000507245,byx,2025_09_28_17_25_18,507.245,hybrid_review_conflict_or_medium,instability_ay_only,41.07,47.33,,none,mu1,design_high_risk_surface,very_low,667.884482,10.6702,0.101332,0.083971,0.397062,481.105,entry,-26.14,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000553985,byx,2025_09_28_17_25_18,553.985,hybrid_review_conflict_or_medium,instability_ay_only,36.96,45.47,,none,mu1,design_high_risk_surface,low,467.735184,1.71018,0.088687,0.067496,0.324107,585.305,exit,31.32,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_25_18__000559015,byx,2025_09_28_17_25_18,559.015,hybrid_accept_medium,instability_ay_only,46.89,56.17,3.21,straight,mu1,design_high_risk_surface,very_low,626.868806,3.28723,0.141958,0.098576,0.50824,585.305,exit,26.29,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000019360,byx,2025_09_28_17_35_43,19.36,hybrid_review_conflict_or_medium,instability_roll_only,40.98,54.16,3.865,straight,section1,design_regular_road,high,8.492209,0.432894,1.00235,0.0684,0.2803,0.0,entry,-19.36,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__byx__2025_09_28_17_35_43__000047770,byx,2025_09_28_17_35_43,47.77,hybrid_accept_high,instability_ay_only,83.12,100.0,0.045,straight,section1,design_regular_road,high,7.710641,5.4152,0.854064,0.264083,1.236217,75.7,exit,27.93,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__byx__2025_09_28_17_35_43__000070085,byx,2025_09_28_17_35_43,70.085,hybrid_reject_low_evidence,instability_ay_only,36.08,44.88,0.135,straight,section1,design_regular_road,high,3.896603,1.65667,0.098197,0.126577,0.689318,75.7,exit,5.615,middle_section,section1,high,普通连接段,section1,high
vehicle_instability_onset__byx__2025_09_28_17_35_43__000084125,byx,2025_09_28_17_35_43,84.125,hybrid_accept_high,instability_ay_only,61.97,92.76,2.24,straight,longstraight,design_regular_road,high,6.478976,1.8317,0.223202,0.268254,1.937923,75.805,entry,-8.32,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__byx__2025_09_28_17_35_43__000089125,byx,2025_09_28_17_35_43,89.125,hybrid_accept_high,instability_ay_only,62.22,88.74,1.735,straight,longstraight,design_regular_road,high,5.055534,1.79643,0.223202,0.268254,1.052608,95.305,exit,6.18,longstraight,longstraight,high,长直线路段,longstraight,high
vehicle_instability_onset__byx__2025_09_28_17_35_43__000097805,byx,2025_09_28_17_35_43,97.805,hybrid_accept_high,instability_ay_only,63.01,86.92,0.015,straight,section2,design_regular_road,high,7.916138,3.9359,0.635552,0.210213,1.043532,95.405,entry,-2.4,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__byx__2025_09_28_17_35_43__000118155,byx,2025_09_28_17_35_43,118.155,hybrid_accept_high,instability_ay_only,63.19,87.45,1.76,straight,section2,design_regular_road,high,6.201263,3.43197,0.285891,0.226469,0.724311,132.105,exit,13.95,middle_section,section2,high,普通连接段,section2,high
vehicle_instability_onset__byx__2025_09_28_17_35_43__000138055,byx,2025_09_28_17_35_43,138.055,hybrid_accept_medium,instability_ay_only,45.44,58.01,0.87,straight,curve1,design_curve_context,high,6.638944,1.41758,0.241617,0.170348,0.306567,132.2,entry,-5.855,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000150605,byx,2025_09_28_17_35_43,150.605,hybrid_accept_medium,instability_ay_only,47.29,62.75,0.045,straight,curve1,design_curve_context,high,5.412553,3.13816,0.162406,0.11898,0.675792,132.2,entry,-18.405,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000165905,byx,2025_09_28_17_35_43,165.905,hybrid_accept_high,instability_ay_roll,93.74,100.0,2.1,straight,curve1,design_curve_context,medium,53.077322,11.6352,1.95637,1.83063,0.840023,132.2,entry,-33.705,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000193100,byx,2025_09_28_17_35_43,193.1,hybrid_accept_high,instability_ay_only,85.84,100.0,0.77,curve,curve1,design_curve_context,low,158.535675,6.2909,2.69105,0.46838,3.250505,228.605,exit,35.505,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000206460,byx,2025_09_28_17_35_43,206.46,hybrid_accept_high,instability_ay_only,82.51,100.0,0.49,curve,curve1,design_curve_context,low,160.763476,5.5938,0.677636,0.327348,1.099994,228.605,exit,22.145,curve1,curve1,low,弯道路段,curve1,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000237520,byx,2025_09_28_17_35_43,237.52,hybrid_accept_high,instability_ay_only,67.08,99.77,1.065,straight,section3,design_regular_road,low,285.086501,1.86428,0.477411,0.309186,0.318697,228.7,entry,-8.82,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000240960,byx,2025_09_28_17_35_43,240.96,hybrid_accept_high,instability_ay_only,76.84,100.0,1.055,straight,section3,design_regular_road,low,280.684134,3.82215,0.477411,0.309186,0.307003,228.7,entry,-12.26,middle_section,section3,low,普通连接段,section3,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000270535,byx,2025_09_28_17_35_43,270.535,hybrid_accept_high,instability_ay_only,60.79,94.96,1.285,straight,fix_road,design_special_event_segment,low,282.177174,1.58413,0.329333,0.277592,0.570723,261.805,entry,-8.73,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000300105,byx,2025_09_28_17_35_43,300.105,hybrid_reject_low_evidence,instability_ay_only,24.59,35.66,0.065,straight,fix_road,design_special_event_segment,low,280.900794,1.72461,0.057254,0.061809,0.386154,302.7,exit,2.595,fix_road,fix_road,low,特殊道路段,fix_road,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000304585,byx,2025_09_28_17_35_43,304.585,hybrid_reject_low_evidence,instability_ay_only,28.5,36.59,4.765,straight,section4,design_regular_road,low,283.874549,1.46017,0.10225,0.078411,0.321228,302.805,entry,-1.78,middle_section,section4,low,普通连接段,section4,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000354690,byx,2025_09_28_17_35_43,354.69,hybrid_accept_medium,instability_ay_only,56.95,70.4,1.04,straight,curve2,design_curve_context,low,351.171099,1.56836,0.298383,0.196002,0.298102,335.405,entry,-19.285,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000380470,byx,2025_09_28_17_35_43,380.47,hybrid_reject_low_evidence,instability_ay_only,29.2,21.09,1.18,straight,curve2,design_curve_context,very_low,939.952971,1.98214,0.077687,0.055808,0.333183,383.105,exit,2.635,curve2,curve2,low,弯道路段,curve2,low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000392240,byx,2025_09_28_17_35_43,392.24,hybrid_reject_low_evidence,instability_ay_only,31.14,39.2,0.795,straight,section5,design_regular_road,very_low,978.696016,2.33644,0.073161,0.071654,0.50248,383.2,entry,-9.04,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000397655,byx,2025_09_28_17_35_43,397.655,hybrid_accept_high,instability_ay_only,74.94,90.76,,none,section5,design_regular_road,very_low,957.780348,1.58065,0.388775,0.279767,0.290771,405.7,exit,8.045,middle_section,section5,very_low,普通连接段,section5,very_low
vehicle_instability_onset__byx__2025_09_28_17_35_43__000478895,byx,2025_09_28_17_35_43,478.895,hybrid_accept_high,instability_ay_only,84.25,100.0,,none,mu1,design_high_risk_surface,very_low,719.719569,1.86747,0.648751,0.419334,0.463036,470.5,entry,-8.395,differentmu_road,mu1,very_low,高风险路面,mu1,very_low
