sample_id,model_name,split,subject,session_stamp,v0_3_category,v0_3_category_cn,condition_context_cn,sample_rmse,gt_peak_signed,pred_peak_signed,gt_peak_abs,pred_peak_abs,large_response,wrong_side_large,severe_amp_under_large
V03_cwh_2025_09_26_19_45_40_0004,zero_delta,train,cwh,2025_09_26_19_45_40,manual_review,待人工复核,低附着,0.05020361898394698,-0.09267699718475342,0.0,0.09267699718475342,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_N000,zero_delta,train,cwh,2025_09_26_19_56_16,normal_control,正常驾驶/普通弯道对照,普通驾驶对照,0.04500399991891479,0.09180479496717453,0.0,0.09180479496717453,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_0000,zero_delta,train,cwh,2025_09_26_19_56_16,manual_review,待人工复核,低附着,0.0646408122656795,-0.12098587304353714,0.0,0.12098587304353714,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_N001,zero_delta,train,cwh,2025_09_26_19_56_16,normal_control,正常驾驶/普通弯道对照,普通驾驶对照,0.04373810715047479,-0.06178499758243561,0.0,0.06178499758243561,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_0001,zero_delta,train,cwh,2025_09_26_19_56_16,excluded,排除样本,低附着,0.3535103981938361,0.7314679622650146,0.0,0.7314679622650146,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_0002,zero_delta,train,cwh,2025_09_26_19_56_16,delayed_or_no_steer,延迟或无明显转向响应,低附着,0.7262790906532706,1.6310100555419922,0.0,1.6310100555419922,0.0,True,True,True
V03_cwh_2025_09_26_19_56_16_0003,zero_delta,train,cwh,2025_09_26_19_56_16,excluded,排除样本,低附着,0.498304965895372,0.9121130108833313,0.0,0.9121130108833313,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_0004,zero_delta,train,cwh,2025_09_26_19_56_16,excluded,排除样本,低附着,0.3554778045507177,-0.5403534173965454,0.0,0.5403534173965454,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_0005,zero_delta,train,cwh,2025_09_26_19_56_16,excluded,排除样本,低附着,0.49421130492843585,1.2814199924468994,0.0,1.2814199924468994,0.0,True,True,True
V03_cwh_2025_09_26_19_56_16_0006,zero_delta,train,cwh,2025_09_26_19_56_16,manual_review,待人工复核,低附着,0.1357772973849418,0.2679084837436676,0.0,0.2679084837436676,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_0007,zero_delta,train,cwh,2025_09_26_19_56_16,excluded,排除样本,低附着,0.5695970829511271,-0.8313702344894409,0.0,0.8313702344894409,0.0,False,False,False
V03_cwh_2025_09_26_19_56_16_0008,zero_delta,train,cwh,2025_09_26_19_56_16,excluded,排除样本,低附着,0.5728124408128773,-1.0466045141220093,0.0,1.0466045141220093,0.0,False,False,False
