instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,vehicle_read_status,vehicle_read_error,event_index_in_session,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,old_v400_near_count,old_v400_overlap_count,old_v400_primary_count,old_v400_active_count,old_v400_max_primary_score,old_v400_max_trigger_score,old_v400_max_level_rank,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,old_v400_nearest_event_uid,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_s,road_design_curvature,road_design_nearest_dist_m,road_design_vehicle_time_gap_s,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,manual_label_anchor_rel_s,manual_label_start_rel_s,manual_label_end_rel_s,manual_label_confidence_max,manual_label_match_type,road_guided_instability_score,road_guided_recommended_decision,road_guided_decision_reasons,event_uid,event_type,event_level,road_type_anchor,curvature_anchor,is_curve,anchor_idx_oldcode,future_rows_available_oldcode,history_full_3s_oldcode,future_full_2s_oldcode,oldcode_usable,oldcode_drop_reason,random_event_split,session_key,session_level_split,subject_level_split
vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000002235,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_38_49,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_38_49_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_38_49_vehicle.csv,2d4cad799d77f98918a1c812fd09c6e76e5162a9f6d1c35864615069858fde16,2.235,2.235,15.61,13.375,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,3,5,6,allraw_nonsteering_seed__gzj__2025_09_27_11_38_49__00001;allraw_nonsteering_seed__gzj__2025_09_27_11_38_49__00002;allraw_nonsteering_seed__gzj__2025_09_27_11_38_49__00003;allraw_nonsteering_seed__gzj__2025_09_27_11_38_49__00004;allraw_nonsteering_seed__gzj__2025_09_27_11_38_49__00005;allraw_nonsteering_seed__gzj__2025_09_27_11_38_49__00006,roll_rate;roll_rate;roll_rate;roll_rate;roll_rate;ay,extreme;medium;weak;medium;weak;weak,1.810382,36.207639,ok,,1,2048,2676,5.621738,-5.621738,5.621738,1.810382,0.446809,3.285998,1e-08,60.726199,-0.740543,1.960183,1.960183,92.45,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section1,33.624693,0.0,7.890443,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=92.45; ay_support=+7.2; roll_rate_support=+8.0; yaw_rate_support=+5; lateral_support=+0.9; post_steering_response=+5.0; multi_second_dynamic_episode=+4,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000002235,instability_ay_roll,instability_extreme,design_regular_road,0.0,0,447,16789.0,False,True,False,history_underflow_for_3s_oldcode,train,gzj__2025_09_27_11_38_49,test,test
vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_38_49,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_38_49_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_38_49_vehicle.csv,2d4cad799d77f98918a1c812fd09c6e76e5162a9f6d1c35864615069858fde16,51.595,51.595,57.165,5.57,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__gzj__2025_09_27_11_38_49__00012;allraw_nonsteering_seed__gzj__2025_09_27_11_38_49__00013,roll_rate;ay,extreme;weak,1.758399,11.478673,ok,,6,2601,1115,6.09634,6.09634,6.09634,0.573934,0.393093,3.24148,0.0,135.07,-0.161967,1.503777,1.503777,88.1,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,1,2,5.112501,65.158733,4,extreme_active,straight,secondary,0.145,old_v400_context__gzj__2025_09_27_11_38_49__00010,ok,middle_section,section2,1632.516895,-0.0,5.313616,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=88.10; ay_support=+8.0; roll_rate_support=+3.8; yaw_rate_support=+5; lateral_support=+0.9; post_steering_response=+4.4; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+3.2,vehicle_instability_allraw__gzj__2025_09_27_11_38_49__000051595,instability_ay_roll,extreme_active,straight,-0.0,0,10319,6917.0,True,True,True,,train,gzj__2025_09_27_11_38_49,test,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000058475,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,58.475,58.475,69.095,10.62,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,3,3,3,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00006;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00007;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00008,roll_rate;ay;roll_rate,strong;medium;extreme,3.11738,11.924191,ok,,6,2601,2125,6.17654,6.17654,6.17654,0.59621,0.406674,3.10178,0.0,138.976,-0.221657,0.676839,0.676839,87.99,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,0,1.232511,14.6608,1,weak,straight,secondary,0.08,old_v400_context__gzj__2025_09_27_11_41_47__00009,ok,longstraight,longstraight,1391.624693,0.0,4.739633,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=87.99; ay_support=+8.0; roll_rate_support=+4.0; yaw_rate_support=+5; lateral_support=+0.7; post_steering_response=+0.9; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000058475,instability_ay_roll,weak,straight,0.0,0,11695,116619.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000091070,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,91.07,91.07,101.55,10.48,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00010,roll_rate,extreme,0.673316,13.466316,ok,,8,2601,2097,5.96907,-5.96907,5.96907,0.673316,0.37879,2.822969,0.0,128.496,-0.15516,1.40953,1.40953,90.56,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,3,3,0,3,6.44374,53.756,4,extreme_active,straight,secondary,0.085,old_v400_context__gzj__2025_09_27_11_41_47__00015,ok,middle_section,section2,2581.516895,0.0,5.589411,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=90.56; ay_support=+7.9; roll_rate_support=+4.5; yaw_rate_support=+5; lateral_support=+0.4; post_steering_response=+4.0; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+4.0,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000091070,instability_ay_roll,extreme_active,straight,0.0,0,18214,110100.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000115240,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,115.24,115.24,120.28,5.04,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00011,roll_rate,strong,0.20376,4.075204,ok,,9,2601,1009,3.84358,-3.84358,3.84358,0.238094,0.161538,2.080887,1.1e-07,135.449001,-0.173137,0.858877,0.858877,59.98,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,1,1,1.439153,49.451333,3,strong_active,straight,primary,0.095,old_v400_context__gzj__2025_09_27_11_41_47__00020,ok,curve1,curve1,3455.141588,-0.0,6.465003,0.0,high,design_curve_context,0,none,,,,,nearest_or_exact,91.37,hybrid_accept_high,base_dynamic_score=59.98; ay_support=+3.7; yaw_rate_support=+5; post_steering_response=+1.7; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5; old_v400_strong=+4; curve_context_kept_because_dynamic_response_is_strong,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000115240,instability_ay_roll,strong_active,straight,-0.0,1,23048,105266.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000132845,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,132.845,132.845,156.335,23.49,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00012;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00013,roll_rate;roll_rate,extreme;extreme,1.161738,23.234757,ok,,10,2601,4699,6.18894,6.18894,9.346269,0.788024,0.372964,3.365979,0.0112165,88.443796,-0.178547,3.171433,-3.171433,95.45,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,1,2,8.079075,72.26,4,extreme_active,straight,secondary,0.105,old_v400_context__gzj__2025_09_27_11_41_47__00023,ok,curve1,curve1,4163.140276,-0.00729802,16.604813,0.0,high,design_curve_context,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=95.45; ay_support=+8.0; roll_rate_support=+5.3; yaw_rate_support=+5; lateral_support=+1.0; post_steering_response=+5.0; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_primary=+5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+5.0; curve_context_kept_because_dynamic_response_is_strong,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000132845,instability_ay_roll,extreme_active,straight,-0.00729802,1,26569,101745.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000165625,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,165.625,165.625,173.165,7.54,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,3,3,3,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00014;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00015;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00016,roll_rate;roll_rate;roll_rate,medium;extreme;extreme,0.317547,6.350937,ok,,11,2601,1509,5.187469,-5.187469,5.187469,0.317547,0.243032,3.17411,0.00015972,125.648,-0.302815,1.25751,1.25751,72.9,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,1,2.659627,18.384,4,extreme_active,straight,secondary,0.18,old_v400_context__gzj__2025_09_27_11_41_47__00030,ok,middle_section,section3,4623.57442,-0.0,281.835457,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=72.90; ay_support=+6.4; yaw_rate_support=+5; lateral_support=+0.8; post_steering_response=+3.4; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+1.7,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000165625,instability_ay_roll,extreme_active,straight,-0.0,0,33125,95189.0,True,True,True,,val,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,180.015,180.015,189.145,9.13,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00017;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00018,roll_rate;roll_rate,extreme;strong,0.284766,5.695315,ok,,12,2601,1827,4.404,-4.404,4.404,0.284766,0.182276,3.01817,0.0,135.44,-0.103847,0.902859,0.902859,65.25,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,2,2.329913,27.808667,3,strong_active,straight,secondary,0.085,old_v400_context__gzj__2025_09_27_11_41_47__00033,ok,middle_section,section3,5146.57442,0.0,282.785457,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,95.02,hybrid_accept_high,base_dynamic_score=65.25; ay_support=+4.8; yaw_rate_support=+5; lateral_support=+0.6; post_steering_response=+1.9; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+1.5,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,instability_ay_roll,strong_active,straight,0.0,0,36003,92311.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000193365,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,193.365,193.365,206.565,13.2,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,3,4,4,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00019;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00020;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00021;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00022,roll_rate;roll_rate;roll_rate;roll_rate,strong;extreme;medium;weak,0.418421,8.368428,ok,,13,2601,2641,5.4041,5.4041,5.4041,0.418421,0.247079,2.92118,0.0,135.201,-0.112923,0.970578,0.970578,76.84,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,3,3,1,2,3.311771,15.358667,4,extreme_active,straight,secondary,0.115,old_v400_context__gzj__2025_09_27_11_41_47__00037,ok,middle_section,section3,5648.57442,0.0,281.153192,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=76.84; ay_support=+6.8; roll_rate_support=+2.8; yaw_rate_support=+5; lateral_support=+0.5; post_steering_response=+2.2; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_primary=+5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+2.1,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000193365,instability_ay_roll,extreme_active,straight,0.0,0,38673,89641.0,True,True,True,,test,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,211.485,211.485,214.92,3.435,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00023,roll_rate,strong,0.22338,4.467602,ok,,14,2601,688,3.96491,3.96491,3.96491,0.22338,0.141856,3.16067,0.0,126.668,-0.238936,0.810884,-0.810884,59.69,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,2,2.438883,25.423893,3,strong_active,straight,secondary,0.15,old_v400_context__gzj__2025_09_27_11_41_47__00042,ok,fix_road,fix_road,6308.199113,-0.0,280.711411,0.0,low,design_special_event_segment,0,none,,,,,nearest_or_exact,88.44,hybrid_accept_high,base_dynamic_score=59.69; ay_support=+3.9; yaw_rate_support=+5; lateral_support=+0.8; post_steering_response=+1.5; old_v400_nearby=+3.0; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+1.5; design_special_segment=+4,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,instability_ay_roll,strong_active,straight,-0.0,0,42297,86017.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000221595,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,221.595,221.595,226.055,4.46,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,2,2,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00025;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00026,ay;roll_rate,weak;strong,1.61262,4.291114,ok,,16,2601,893,3.643479,-3.643479,3.643479,0.214556,0.164524,1.99758,0.0,133.758,-0.241205,0.770738,0.770738,58.14,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,1,1.982494,15.1262,2,medium_active,straight,secondary,0.12,old_v400_context__gzj__2025_09_27_11_41_47__00045,ok,fix_road,fix_road,6670.199113,0.0,281.97018,0.0,low,design_special_event_segment,0,none,,,,,nearest_or_exact,83.76,hybrid_accept_high,base_dynamic_score=58.14; ay_support=+3.3; yaw_rate_support=+5; post_steering_response=+1.3; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_active=+5; design_special_segment=+4,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000221595,instability_ay_roll,medium_active,straight,0.0,0,44319,83995.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,260.065,260.065,282.505,22.44,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,3,3,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00030;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00031;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00032,roll_rate;roll_rate;roll_rate,extreme;extreme;weak,0.891033,17.820654,ok,,20,2601,4489,6.25535,-6.25535,12.023993,0.371216,0.243744,3.19073,0.00578828,137.749,-0.144164,0.59795,-0.59795,78.7,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,1,2.418876,21.991333,3,strong_active,straight,secondary,0.83,old_v400_context__gzj__2025_09_27_11_41_47__00049,ok,middle_section,section4,8080.25558,-0.0,282.52382,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=78.70; ay_support=+8.0; roll_rate_support=+2.5; yaw_rate_support=+5; lateral_support=+0.8; post_steering_response=+0.6; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+1.5; curve_context_kept_because_dynamic_response_is_strong,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,instability_ay_roll,strong_active,straight,-0.0,0,52013,76301.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000291210,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,291.21,291.21,309.815,18.605,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,3,3,3,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00033;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00034;allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00035,roll_rate;roll_rate;roll_rate,extreme;medium;strong,0.460718,9.214362,ok,,21,2601,3722,5.17379,5.17379,5.59595,0.249972,0.197446,2.929849,2.3e-07,109.499,-0.206647,1.149123,-1.149123,69.56,auto_accept_instability_medium,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,0,1,2.237145,13.380667,3,strong_active,straight,secondary,0.09,old_v400_context__gzj__2025_09_27_11_41_47__00058,ok,curve2,curve2,8879.880274,0.0,401.388238,0.0,low,design_curve_context,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=69.56; ay_support=+6.3; yaw_rate_support=+5; lateral_support=+0.5; post_steering_response=+2.9; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5; old_v400_active=+5; old_v400_strong=+4; old_primary_score=+1.4; curve_context_kept_because_dynamic_response_is_strong,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000291210,instability_ay_roll,strong_active,straight,0.0,1,58242,70072.0,True,True,True,,test,gzj__2025_09_27_11_41_47,train,test
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000314960,vehicle_instability_all_raw_rescreen_v0_1,gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,314.96,314.96,322.76,7.8,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__gzj__2025_09_27_11_41_47__00036,roll_rate,extreme,0.811619,16.232389,ok,,22,2601,1561,7.80185,7.80185,7.80185,0.811619,0.551527,3.24211,0.0,139.931,-0.134216,1.895774,-1.895774,94.66,auto_accept_instability_high,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,3,3,1,3,6.338818,49.623495,4,extreme_active,straight,secondary,0.12,old_v400_context__gzj__2025_09_27_11_41_47__00064,ok,curve2,curve2,9517.880274,-7.961e-05,940.400186,0.0,very_low,design_curve_context,0,none,,,,,nearest_or_exact,100.0,hybrid_accept_high,base_dynamic_score=94.66; ay_support=+8.0; roll_rate_support=+5.4; yaw_rate_support=+5; lateral_support=+0.9; post_steering_response=+5.0; multi_second_dynamic_episode=+4; old_v400_nearby=+4.5; old_v400_primary=+5; old_v400_active=+5; old_v400_extreme=+6; old_primary_score=+4.0; curve_context_kept_because_dynamic_response_is_strong,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000314960,instability_ay_roll,extreme_active,straight,-7.961e-05,1,62992,65322.0,True,True,True,,train,gzj__2025_09_27_11_41_47,train,test
