raw_vehicle_file,clean_vehicle_file,subject,status,rows,duration_s,source_map,missing_required_outputs,nan_after_clean
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_17_12_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gzj\Entity_Recording_2025_09_27_12_17_12_vehicle.csv,gzj,ok,122951,614.7490000724792,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_28_14_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\gzj\Entity_Recording_2025_09_27_12_28_14_vehicle.csv,gzj,ok,125498,627.4849998950958,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_20_50_27_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\hzh\Entity_Recording_2025_09_26_20_50_27_vehicle.csv,hzh,ok,146233,731.1600000858307,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_03_19_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\hzh\Entity_Recording_2025_09_26_21_03_19_vehicle.csv,hzh,ok,119717,598.5810000896454,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,hzh,ok,132919,664.5899999141693,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_22_27_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\hzh\Entity_Recording_2025_09_27_19_22_27_vehicle.csv,hzh,ok,115391,576.9519999027252,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_33_25_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\hzh\Entity_Recording_2025_09_27_19_33_25_vehicle.csv,hzh,ok,113092,565.4560000896454,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_44_05_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\hzh\Entity_Recording_2025_09_27_19_44_05_vehicle.csv,hzh,ok,109333,546.6600000858307,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_17_11_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\jy\Entity_Recording_2025_09_26_17_17_11_vehicle.csv,jy,ok,135246,676.2249999046326,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_29_44_vehicle.csv,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\03_processed_datasets\vehicle_instability_allraw_highconf_v0_1\oldcode_deep_vehicle_csv_v0_1\jy\Entity_Recording_2025_09_26_17_29_44_vehicle.csv,jy,ok,127803,639.0120000839233,"{'zx|roll': 'zx|roll', 'zx|SteeringWheel': 'zx|SteeringWheel', 'zx|vyaw': 'zx|vyaw', 'zx|vx': 'zx|vx', 'zx|z': 'zx|z', 'zx|ay': 'zx|ay', 'zx|ax': 'zx|ax', 'zx1|lanecurvatureXY': 'zx1|lanecurvatureXY', 'zx|yaw': 'zx|yaw'}",[],0
