seed,fold,population,model,channel,windows,mae,rmse,endpoint_mae
20260904,1,release_v3_historical_2323,hold,steer_deg,730,25.63962745666504,40.9254264831543,39.765892028808594
20260904,1,release_v3_historical_2323,linear,steer_deg,730,36.06099319458008,54.93734359741211,78.80657958984375
20260904,1,release_v3_historical_2323,extra_trees,steer_deg,730,18.17861557006836,28.466293334960938,28.17782974243164
20260904,1,release_v3_historical_2323,transformer,steer_deg,730,18.09916877746582,29.40206718444824,27.910669326782227
20260904,1,release_v3_historical_2323,et_transformer_residual,steer_deg,730,17.51041603088379,27.743654251098636,27.59434700012207
20260904,2,all_continuous,hold,steer_deg,101916,9.222911834716797,20.50787353515625,15.210086822509766
20260904,2,all_continuous,hold,brake,101916,0.0106169488281011,0.0516849271953105,0.0179744623601436
20260904,2,all_continuous,hold,accelerator,101916,0.0532144010066986,0.1052355840802192,0.0767965018749237
20260904,2,all_continuous,hold,speed_kmh,101916,1.222720503807068,2.373476028442383,2.300454616546631
20260904,2,all_continuous,hold,action_macro,101916,1.0404024124145508,2.7277133464813232,1.6458121538162231
20260904,2,all_continuous,linear,steer_deg,101916,13.695425033569336,31.084203720092773,26.77815818786621
20260904,2,all_continuous,linear,brake,101916,0.0379399806261062,0.0680790394544601,0.0475220121443271
20260904,2,all_continuous,linear,accelerator,101916,0.0691510364413261,0.1274200826883316,0.1106704026460647
20260904,2,all_continuous,linear,speed_kmh,101916,0.4360333979129791,1.4701712131500244,0.9624417424201964
20260904,2,all_continuous,linear,action_macro,101916,1.6269687414169312,3.958003520965576,2.839826822280884
20260904,2,all_continuous,extra_trees,steer_deg,101916,7.102577686309815,14.907113075256348,10.99282169342041
20260904,2,all_continuous,extra_trees,brake,101916,0.0145242065191268,0.0469843968749046,0.0244865622371435
20260904,2,all_continuous,extra_trees,accelerator,101916,0.0581495836377143,0.0991136282682418,0.0851838663220405
20260904,2,all_continuous,extra_trees,speed_kmh,101916,0.381511241197586,1.0425275564193726,0.8402091860771179
20260904,2,all_continuous,extra_trees,action_macro,101916,0.9579967856407166,2.1370770931243896,1.4639910459518433
20260904,2,all_continuous,transformer,steer_deg,101916,7.158027172088623,15.35050106048584,11.152791023254396
20260904,2,all_continuous,transformer,brake,101916,0.0128185171633958,0.0484674759209156,0.0203759036958217
20260904,2,all_continuous,transformer,accelerator,101916,0.0563265420496463,0.1020390316843986,0.0801461935043335
20260904,2,all_continuous,transformer,speed_kmh,101916,0.4610142707824707,1.2747058868408203,0.9510960578918456
20260904,2,all_continuous,transformer,action_macro,101916,0.938168168067932,2.2007532119750977,1.4136667251586914
20260904,2,all_continuous,et_transformer_residual,steer_deg,101916,7.030013561248779,14.79652500152588,10.885455131530762
20260904,2,all_continuous,et_transformer_residual,brake,101916,0.012550575658679,0.0469176545739173,0.019770361483097
20260904,2,all_continuous,et_transformer_residual,accelerator,101916,0.0543389990925788,0.1005931124091148,0.0791927799582481
20260904,2,all_continuous,et_transformer_residual,speed_kmh,101916,0.3873887956142425,1.0329875946044922,0.8122730851173401
20260904,2,all_continuous,et_transformer_residual,action_macro,101916,0.9145984053611756,2.1358511447906494,1.3854514360427856
20260904,2,distance_v2_305,hold,steer_deg,92,13.1896390914917,21.63368797302246,30.052719116210938
20260904,2,distance_v2_305,hold,brake,92,0.0202148351818323,0.0590542778372764,0.0383002012968063
20260904,2,distance_v2_305,hold,accelerator,92,0.0729416981339454,0.1368798315525055,0.1311285644769668
20260904,2,distance_v2_305,hold,speed_kmh,92,1.5112086534500122,2.6941239833831787,2.8337595462799072
20260904,2,distance_v2_305,hold,action_macro,92,1.5003527402877808,3.0337026119232178,3.133039712905884
20260904,2,distance_v2_305,linear,steer_deg,92,16.833086013793945,28.418581008911133,36.559871673583984
20260904,2,distance_v2_305,linear,brake,92,0.0479310415685176,0.0771041363477706,0.0727148652076721
20260904,2,distance_v2_305,linear,accelerator,92,0.0816842392086982,0.1554749310016632,0.1522159129381179
20260904,2,distance_v2_305,linear,speed_kmh,92,0.652010440826416,1.3923017978668213,1.5346896648406982
20260904,2,distance_v2_305,linear,action_macro,92,1.9863076210021973,3.844980716705322,3.93686318397522
20260904,2,distance_v2_305,extra_trees,steer_deg,92,10.722372055053713,18.411453247070312,25.41908073425293
20260904,2,distance_v2_305,extra_trees,brake,92,0.0212558656930923,0.0508179552853107,0.0405228659510612
20260904,2,distance_v2_305,extra_trees,accelerator,92,0.07853814214468,0.127966970205307,0.1437199860811233
20260904,2,distance_v2_305,extra_trees,speed_kmh,92,0.4076853990554809,0.8376452922821045,0.9864768385887146
20260904,2,distance_v2_305,extra_trees,action_macro,92,1.3801182508468628,2.6547107696533203,2.922891139984131
20260904,2,distance_v2_305,transformer,steer_deg,92,10.251910209655762,17.53730583190918,24.31887626647949
20260904,2,distance_v2_305,transformer,brake,92,0.0216759927570819,0.0552284270524978,0.0399873033165931
20260904,2,distance_v2_305,transformer,accelerator,92,0.078548640012741,0.1371394991874694,0.1431553363800048
20260904,2,distance_v2_305,transformer,speed_kmh,92,0.5459102988243103,1.489724040031433,1.245192289352417
20260904,2,distance_v2_305,transformer,action_macro,92,1.351624846458435,2.648600578308105,2.8422093391418457
20260904,2,distance_v2_305,et_transformer_residual,steer_deg,92,10.665775299072266,18.39566802978516,24.67456817626953
20260904,2,distance_v2_305,et_transformer_residual,brake,92,0.0206553265452384,0.0532978698611259,0.0380482338368892
20260904,2,distance_v2_305,et_transformer_residual,accelerator,92,0.076450727880001,0.1334056854248047,0.1409649103879928
20260904,2,distance_v2_305,et_transformer_residual,speed_kmh,92,0.3900058269500732,0.789616048336029,0.9394065737724304
20260904,2,distance_v2_305,et_transformer_residual,action_macro,92,1.358425498008728,2.695126533508301,2.8383922576904297
20260904,2,low_mu_v2_70,hold,steer_deg,22,4.7686448097229,7.739136695861816,6.635988235473633
20260904,2,low_mu_v2_70,hold,brake,22,0.0063254926353693,0.026673961430788,0.0114181721583008
20260904,2,low_mu_v2_70,hold,accelerator,22,0.046240746974945,0.0855644568800926,0.064329020678997
20260904,2,low_mu_v2_70,hold,speed_kmh,22,0.6019847393035889,0.9596379995346068,1.0916138887405396
20260904,2,low_mu_v2_70,hold,action_macro,22,0.6683512330055237,1.3673429489135742,0.9473804235458374
20260904,2,low_mu_v2_70,linear,steer_deg,22,8.001934051513672,13.141648292541504,13.564754486083984
20260904,2,low_mu_v2_70,linear,brake,22,0.0327549614012241,0.0353598035871982,0.032140739262104
20260904,2,low_mu_v2_70,linear,accelerator,22,0.0621906034648418,0.1067143827676773,0.0988286435604095
20260904,2,low_mu_v2_70,linear,speed_kmh,22,0.2594118416309356,0.6751592755317688,0.5572988986968994
20260904,2,low_mu_v2_70,linear,action_macro,22,1.1664327383041382,1.9969499111175537,1.7774460315704346
20260904,2,low_mu_v2_70,extra_trees,steer_deg,22,3.96292781829834,5.8563008308410645,4.917972087860107
20260904,2,low_mu_v2_70,extra_trees,brake,22,0.0100287282839417,0.0259719006717205,0.016557378694415
20260904,2,low_mu_v2_70,extra_trees,accelerator,22,0.0549339391291141,0.0878868624567985,0.0851146057248115
20260904,2,low_mu_v2_70,extra_trees,speed_kmh,22,0.2448995113372802,0.412383884191513,0.5002909898757935
