subject_alias,et_transformer_residual,extra_trees,hold,linear,transformer,reference_simple_model,extra_trees_improvement_pct_vs_simple,extra_trees_benefited_vs_simple,transformer_improvement_pct_vs_simple,transformer_benefited_vs_simple,et_transformer_residual_improvement_pct_vs_simple,et_transformer_residual_benefited_vs_simple,fusion_reference_single_model,fusion_improvement_pct_vs_best_single,fusion_benefited_vs_best_single
S018,0.6203098694483439,0.6566439668337504,0.651033341884613,0.99947851896286,0.6214524706204733,hold,-0.8618030119464666,False,4.543679925594746,True,4.71918570980263,True,transformer,0.18385978431923947,True
S019,0.9309254288673401,0.9726737340291342,1.0857800245285034,1.702777862548828,0.9468813339869181,hold,10.417053910020616,True,12.79252587114979,True,14.2620597324406,True,transformer,1.6851008195920831,True
S020,1.5718904733657837,1.6238335768381755,1.8119144439697263,2.7860350608825684,1.6107073227564495,hold,10.38022892071461,True,11.104670084336425,True,13.246981467738275,True,transformer,2.409925679374039,True
S021,0.6210478742917379,0.6583771308263143,0.6672211289405823,1.0655841827392578,0.6444276571273804,hold,1.325497309761533,True,3.416179557951577,True,6.920232685400496,True,transformer,3.6279918431590703,True
S022,0.6882918477058411,0.710716704527537,0.7911965847015381,1.2922173738479614,0.7002779046694437,hold,10.17191956210989,True,11.491288232290774,True,13.006216025883836,True,transformer,1.7116143296368194,True
S023,0.9011622667312622,0.9267086585362753,0.9882453680038452,1.660611629486084,0.9156680107116699,hold,6.226865458713743,True,7.344062481038908,True,8.811890659146927,True,transformer,1.5841706612786055,True
S024,0.6967287659645081,0.7504074772198995,0.7246550917625427,1.1202492713928225,0.7289424339930216,hold,-3.553743808619429,False,-0.5916390127130681,False,3.8537403677259543,True,transformer,4.419233471160762,True
S025,0.5299487312634786,0.5489842693010966,0.5903868079185486,0.9196869730949402,0.5693622430165609,hold,7.012781800362319,True,3.5611508624508903,True,10.23703034086225,True,transformer,6.922396459635956,True
S026,0.8660867611567179,0.8940033912658691,0.9139425158500672,1.3773082494735718,0.8793016870816549,hold,2.181660688544785,True,3.7902634101875172,True,5.236188694957278,True,transformer,1.5028887262569102,True
S027,0.47817090153694153,0.4898777902126312,0.522079348564148,0.8767075538635254,0.5108897089958191,hold,6.167943328936351,True,2.1432833149028463,True,8.41030145091276,True,transformer,6.404280000704676,True
S028,0.6122307578722636,0.6347022453943888,0.6346335411071777,1.014273166656494,0.6539914011955261,hold,-0.010825820376780303,False,-3.05024220033766,False,3.530034544948637,True,transformer,6.385503425109597,True
S029,0.615471621354421,0.6287570794423422,0.6303455829620361,1.0032411813735962,0.6472265720367432,hold,0.2520051797982765,True,-2.678053044392273,False,2.3596519131174643,True,transformer,4.906311337371886,True
S031,0.8836237986882528,0.925046463807424,1.0322104692459106,1.5659995079040527,0.9121078848838806,hold,10.381991718876499,True,11.635474347569048,True,14.39499743363473,True,transformer,3.1228856440873862,True
S032,0.8765417138735453,0.89494389295578,0.9781619906425476,1.537947177886963,0.8854814171791077,hold,8.507598790677013,True,9.474971870718338,True,10.388900585091093,True,transformer,1.0095867775567475,True
S033,0.9191433986028036,0.9419805606206256,1.0595595836639404,1.6209042072296145,0.9254465301831564,hold,11.096971312998594,True,12.657433857284667,True,13.252316077929274,True,transformer,0.6810908436930788,True
S034,1.0885590314865112,1.140358289082845,1.182432770729065,1.7796950340270996,1.1052118142445881,hold,3.5582980011859497,True,6.530684737100432,True,7.939033961708707,True,transformer,1.5067503390252015,True
S036,0.9717070659001669,1.025245189666748,1.0757964849472046,1.6439650058746338,0.99545685450236,hold,4.698964533513732,True,7.467920891077026,True,9.675567870269253,True,transformer,2.385817978426188,True
S037,1.2221518357594807,1.2782230774561565,1.3419411182403564,2.029771327972412,1.2739373445510864,hold,4.748199449149553,True,5.067567627590184,True,8.926567704993756,True,transformer,4.064996525386736,True
S038,0.7440328200658163,0.7782925963401794,0.8307905197143555,1.3230969905853271,0.7946629325548807,hold,6.319032551337489,True,4.348579612089966,True,10.442788836633385,True,transformer,6.37126892609501,True
S039,1.2511629263559978,1.3101042906443279,1.4060766696929932,2.242377758026123,1.2649361689885457,hold,6.825543806912051,True,10.037895069780548,True,11.017446393646493,True,transformer,1.0888488265428504,True
S040,0.7819060285886129,0.82863849401474,0.8347383737564087,1.3389023542404177,0.7877769271532694,hold,0.7307534831804382,True,5.625888072188167,True,6.329210064950624,True,transformer,0.7452488594546338,True
