population,model,driver_macro_mean,driver_macro_seed_sd,driver_macro_rmse_mean,driver_macro_endpoint_mae_mean,pooled_mean,pooled_rmse_mean,pooled_endpoint_mae_mean,represented_drivers,evaluated_windows,模型
high_dynamic_not_started,et_transformer_residual,1.2096724494507438,0.0014556118012788912,2.6428996829087272,2.0723078025406916,1.4184668815113828,3.396285308955992,2.499742974229145,38,6106,ExtraTrees+Transformer残差
high_dynamic_not_started,extra_trees,1.2685827461251042,0.005675785375562884,2.63517934110081,2.1819841027782676,1.4837810849893536,3.3583076034386856,2.6105497708577285,38,6106,ExtraTrees
high_dynamic_not_started,hold,1.1823123889534097,0.0,3.3212657492411766,2.3038307208763924,1.322068716087304,4.069978751524578,2.646914377549887,38,6106,当前值保持
high_dynamic_not_started,linear,1.320090546419746,0.0,3.3706435341584053,2.4991171626668227,1.4646767414166737,4.102760612632077,2.839783376918009,38,6106,线性趋势外推
high_dynamic_not_started,transformer,1.237845787353683,0.01964673574315771,2.7596009943568913,2.1338799914769964,1.4241683158906788,3.4642375390632867,2.5404125105437916,38,6106,小型Transformer
low_mu_v2_70,et_transformer_residual,0.6503591282349644,0.005875383131106342,1.1867262269511367,0.9024895027449186,0.634787624790555,1.3960042205211842,0.8596921744800748,22,70,ExtraTrees+Transformer残差
low_mu_v2_70,extra_trees,0.6905331383600379,0.0026086408524895136,1.2288753521261793,0.9650297135001783,0.6662831033979143,1.388029660002445,0.914267193135761,22,70,ExtraTrees
low_mu_v2_70,hold,0.6340001743625511,0.0,1.2127674357457594,0.8760678527707403,0.6502482056617737,1.5074043804804091,0.8851436359541757,22,70,当前值保持
low_mu_v2_70,linear,1.0758742676539854,0.0,1.7137814665382558,1.5156003521247345,1.1368265203067234,2.193492708502258,1.6706770760672434,22,70,线性趋势外推
low_mu_v2_70,transformer,0.664032681196025,0.01972021280172905,1.1760214603308476,0.8833577520016468,0.6516030453500293,1.390812386843531,0.8595851364589873,22,70,小型Transformer
ordinary,et_transformer_residual,0.5962265026673936,0.0011539614941211457,1.3862973378415695,0.9638720776951105,0.5914523840201203,1.4213440308369254,0.9566532346328612,38,49781,ExtraTrees+Transformer残差
ordinary,extra_trees,0.6514171228597039,0.0006867082150948935,1.388943704596737,1.0690863901063015,0.645450040628107,1.4202107913464685,1.0623965575352872,38,49781,ExtraTrees
ordinary,hold,0.5618472107146916,0.0,1.519630077638124,0.9500605275756434,0.5502812386047595,1.5499181758247964,0.92974834391635,38,49781,当前值保持
ordinary,linear,0.7919288026659114,0.0,1.6135462208798057,1.2720353148485486,0.7789147880772248,1.6368383957818846,1.2489386586315727,38,49781,线性趋势外推
ordinary,transformer,0.6166060514617385,0.010391709652135856,1.395561311851468,0.9763568069851188,0.6153590407540777,1.4303347457080011,0.9747549765994911,38,49781,小型Transformer
release_v3_historical_2323,et_transformer_residual,15.239118293479637,0.07352177541687537,23.10542970233493,23.7104377216763,15.940820104714222,24.71241845337236,25.265498371099635,18,2323,ExtraTrees+Transformer残差
release_v3_historical_2323,extra_trees,15.715852755087392,0.06137921042856852,23.620479389473246,23.936533309795237,16.44681263312084,25.248543017554212,25.449677074463576,18,2323,ExtraTrees
release_v3_historical_2323,hold,21.953639878167042,0.0,34.13205803765191,34.10405953725179,23.091343401425675,36.68838280242173,35.94358927168007,18,2323,当前值保持
release_v3_historical_2323,linear,33.62728500366211,0.0,48.87951321072049,73.92633946736653,34.98092267434247,51.71687497966096,77.17239818991744,18,2323,线性趋势外推
release_v3_historical_2323,transformer,15.843565728929306,0.07776444663868849,24.956874670805757,24.416906233187074,16.477325095150558,26.44296092518064,25.602148017439927,18,2323,小型Transformer
