recurrence_rank,event_uid,subject,session_stamp,possible_config_model_count,high_rmse_top20_count,high_rmse_top20_rate,mean_sample_rmse,max_sample_rmse,mean_gt_peak_abs,is_large_response_any,wrong_side_count,severe_amp_under_count,tail_drift_count,zero_crossing_mismatch_count,reversal_mismatch_count,multi_segment_mismatch_count,large_response_missed_count,peak_time_large_error_count,onset_delay_large_error_count,configs_in_bad_top20,models_in_bad_top20
11,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,zxy,2025_09_28_16_35_30,10,10,1.0,1.9632790327072143,2.686779499053955,2.9687198400497437,1,10,10,10,8,10,5,10,4,6,session_pre1;session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
12,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285,hzh,2025_09_27_19_33_25,10,10,1.0,1.2096067547798157,1.494550704956055,2.5556859970092773,1,2,10,8,0,9,0,10,2,7,random_main;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
13,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000160615,gzj,2025_09_27_11_53_25,10,10,1.0,1.3483807682991027,1.484468698501587,2.4432895183563232,1,0,10,6,3,10,0,10,3,0,random_main;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
14,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000228005,tyy,2025_09_28_14_44_09,10,10,1.0,1.0197885036468506,1.198208928108215,1.8401899337768555,1,4,6,6,0,10,0,6,3,2,session_pre1;session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
15,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,10,10,1.0,0.956884378194809,1.1960257291793823,2.145881175994873,1,0,9,1,9,9,4,9,4,8,session_pre1;session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
16,vehicle_instability_allraw__byx__2025_09_28_17_05_51__000087745,byx,2025_09_28_17_05_51,10,10,1.0,0.9467073202133178,1.1286354064941406,1.9746613502502437,1,0,10,6,0,10,0,10,0,10,random_main;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
17,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,15,9,0.6,0.740951399008433,1.3948676586151123,1.3070790767669678,0,10,5,6,3,14,0,0,5,6,session_pre1;session_pre3;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
18,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000148635,hzh,2025_09_26_20_50_27,15,9,0.6,0.797972293694814,1.106117844581604,1.3988850116729736,1,3,12,11,8,15,9,8,8,5,session_pre1;session_pre3;subject_main,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
19,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000195680,zx,2025_09_27_18_00_08,10,9,0.9,0.820193487405777,0.9994233846664428,1.3625800609588623,0,0,0,10,0,10,0,0,2,0,session_pre1;session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
20,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000151555,gzj,2025_09_27_12_28_14,10,8,0.8,1.2832012593746185,2.056183338165283,1.9486596584320068,1,2,5,9,8,10,10,5,6,1,random_main;subject_main,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
21,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000134505,hzh,2025_09_26_21_03_19,15,8,0.5333333333333333,0.6790449400742848,1.1107983589172363,1.2440659999847412,0,2,6,11,7,15,9,0,8,3,session_pre1;session_pre3;subject_main,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;rbf_kernel_ridge_context_no_subject
22,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700,hzh,2025_09_27_19_44_05,15,8,0.5333333333333333,0.6673911909262339,1.107648491859436,1.983918070793152,1,0,4,6,0,13,0,4,0,5,session_pre1;session_pre3;subject_main,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
23,vehicle_instability_allraw__yyl__2025_09_28_09_49_11__000062885,yyl,2025_09_28_09_49_11,10,7,0.7,0.7576716005802154,0.9159365296363832,1.0314900279045105,0,10,6,4,1,10,0,0,2,3,session_pre1;session_pre3,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
24,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000138490,gf,2025_09_26_10_30_12,10,6,0.6,0.7404150992631913,1.242457389831543,1.9250980615615845,1,0,6,4,0,10,5,6,4,2,session_pre1;session_pre3,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;rbf_kernel_ridge_context_no_subject
25,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,15,6,0.4,0.7068635205427806,1.1687065362930298,2.043076992034912,1,0,3,7,0,14,0,3,0,3,session_pre1;session_pre3;subject_main,formal_ridge_vehicle_context_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
26,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000503195,tyy,2025_09_28_14_44_09,10,6,0.6,0.7764625519514083,1.1598403453826904,0.6916792392730713,0,7,3,10,3,10,2,0,4,4,session_pre1;session_pre3,direction_gated_knn_template_no_subject;formal_ridge_vehicle_context_no_subject;peak_scaled_template_context_no_subject
27,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000134810,gf,2025_09_26_10_52_57,10,6,0.6,0.7132604897022248,1.09685480594635,0.672824963927269,0,9,2,10,8,10,0,0,8,8,session_pre1;session_pre3,direction_gated_knn_template_no_subject;knn_template_context_no_subject;peak_scaled_template_context_no_subject;rbf_kernel_ridge_context_no_subject
