robustness_config_id,window_config_id_check,split_strategy_check,window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,val,direction_gated_knn_template_no_subject,136,0.7182593322764822,0.7941176470588235,0.20588235294117646,0.5757575757575758,0.5271308166248834,1.8454427372199609,0.13970588235294118,0.3889338193351732,0.31705882378360806,0.7041651689009193,0.5514705882352942,0.25,0.0,0.7205882352941176,0.9926470588235294,1.2821019825865732
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,val,formal_ridge_vehicle_context_no_subject,136,0.7364376119169272,0.7647058823529411,0.23529411764705882,0.030303030303030304,0.7710638108718044,1.0687579957279203,0.625,0.5424632365431856,0.670183822615346,0.7380921584554017,0.6176470588235294,0.27205882352941174,0.125,0.7205882352941176,0.9411764705882353,1.3350360432095358
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,val,knn_template_context_no_subject,136,0.6873679338475983,0.7794117647058824,0.22058823529411764,0.36363636363636365,0.5474438078235835,1.2546381471672396,0.2426470588235294,0.4152205914039822,0.3622794125831741,0.6691064103506505,0.5882352941176471,0.21323529411764705,0.029411764705882353,0.7205882352941176,0.9632352941176471,1.234962650248169
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,val,peak_scaled_template_context_no_subject,136,0.7053933205151397,0.7941176470588235,0.20588235294117646,0.48484848484848486,0.531000309788129,1.3322826179468217,0.19117647058823528,0.413602946764406,0.3244485291515422,0.6936947282006526,0.5661764705882353,0.25,0.03676470588235294,0.7205882352941176,0.9264705882352942,1.2869811423549846
random_main,pre2_label2_old_main,random_event_split,pre2_label2_old_main,random_event_split,val,rbf_kernel_ridge_context_no_subject,136,0.6464772264047342,0.8382352941176471,0.16176470588235295,0.36363636363636365,0.5517545910552144,1.3432618601673554,0.25735294117647056,0.39253675378859043,0.3349999988396816,0.6606401506116313,0.5220588235294118,0.22794117647058823,0.007352941176470588,0.7205882352941176,1.0,1.1913917511082819
subject_main,pre2_label2_old_main,subject_level_split,pre2_label2_old_main,subject_level_split,test,direction_gated_knn_template_no_subject,239,0.6314875917448598,0.8158995815899581,0.18410041841004185,0.6428571428571429,0.46596109745517433,2.4133646501851667,0.08786610878661087,0.4042887052980926,0.35138075264116214,0.6077362172087366,0.4686192468619247,0.18828451882845187,0.029288702928870293,0.6652719665271967,0.9832635983263598,1.0694231567429864
subject_main,pre2_label2_old_main,subject_level_split,pre2_label2_old_main,subject_level_split,test,formal_ridge_vehicle_context_no_subject,239,0.6727879068913338,0.803347280334728,0.19665271966527198,0.03571428571428571,0.6963353964917082,1.232621956316601,0.602510460251046,0.4721757343124645,0.8105230131751573,0.6846889541826218,0.6359832635983264,0.200836820083682,0.08368200836820083,0.6652719665271967,0.9874476987447699,1.2456757364987208
subject_main,pre2_label2_old_main,subject_level_split,pre2_label2_old_main,subject_level_split,test,knn_template_context_no_subject,239,0.5979357894118985,0.8410041841004184,0.1589958158995816,0.5,0.4785807821665848,1.3338714250290307,0.20920502092050208,0.4390376558114295,0.3464016731805071,0.5443518069070067,0.46443514644351463,0.14644351464435146,0.016736401673640166,0.6652719665271967,0.9832635983263598,1.0686304913475198
subject_main,pre2_label2_old_main,subject_level_split,pre2_label2_old_main,subject_level_split,test,peak_scaled_template_context_no_subject,239,0.6269942416924928,0.8158995815899581,0.18410041841004185,0.5178571428571429,0.4644642336660349,2.0323406805544915,0.13389121338912133,0.4017364037336166,0.3140376554529288,0.6016647123797918,0.5146443514644351,0.200836820083682,0.03765690376569038,0.6652719665271967,0.9916317991631799,1.0957042020765895
subject_main,pre2_label2_old_main,subject_level_split,pre2_label2_old_main,subject_level_split,test,rbf_kernel_ridge_context_no_subject,239,0.6097916981485598,0.8242677824267782,0.17573221757322174,0.625,0.4612138339670991,1.1106566085969367,0.19246861924686193,0.47625523119790786,0.3611087864147943,0.5583760791472072,0.497907949790795,0.18828451882845187,0.03765690376569038,0.6652719665271967,0.9414225941422594,1.1050689313992366
