robustness_config_id,window_config_id_check,split_strategy_check,sample_id,event_uid,subject,session_stamp,window_config_id,split_strategy,split,model_name,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_abs_error,peak_amp_ratio_pred_over_gt,peak_direction_match,wrong_side,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,large_response_recalled,severe_amp_under,is_difficult_peak_top20
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000517355__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_15_52__000517355,byx,2025_09_28_17_15_52,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.3147106170654297,0.16022101044654846,0.606042742729187,0.44582173228263855,3.782542258597038,1,0,0.2849999666213989,0.04500000178813934,0.39017626643180847,1,0,3,8,0,1,1,0,0,0,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000065550,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.23811137676239014,0.10297000408172607,0.30320799350738525,0.20023798942565918,2.944624468177477,0,1,0.6700000762939453,0.03999999724328518,0.22740285098552704,1,1,1,16,0,0,1,0,0,0,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000164150,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,1.043819785118103,1.3885834217071533,0.2966027855873108,1.0919806361198425,0.21360098424814922,1,0,0.375,0.2500000149011612,1.3389292620122433,1,1,2,6,0,1,1,1,0,1,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000191805__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000191805,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.3320712447166443,0.3572689890861511,0.5574107766151428,0.2001417875289917,1.5601991598569165,1,0,0.33500003814697266,0.3649999797344208,0.1800634264945984,1,0,5,1,0,1,0,0,0,0,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000225005__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000225005,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.18899378180503845,0.5108580589294434,0.5754870176315308,0.0646289587020874,1.1265105983402204,1,0,0.06999993324279785,0.11000001430511475,0.056630849838256836,0,0,5,1,0,1,0,0,0,0,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000248265,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,1.2572064399719238,2.4600415229797363,0.394141286611557,2.0659002363681793,0.16021733085795706,1,0,0.25,1.875,1.0225249081850052,0,0,2,12,0,1,1,1,0,1,1
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000265825__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000265825,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.14267048239707947,1.1597799062728882,0.5776932835578918,0.5820866227149963,0.4981059599613072,1,0,0.0,0.07499992847442627,0.5830872654914856,1,1,0,17,0,0,1,0,0,1,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000275870,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.3291127383708954,0.007510185241699219,0.5192937254905701,0.5117835402488708,69.14526190476191,0,1,0.5149999856948853,1.9600000008940697,0.5108190774917603,1,0,0,52,0,0,1,0,0,0,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000384190,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.6151524782180786,1.3728759288787842,0.4596964716911316,0.9131794571876526,0.3348419635170978,1,0,0.4099999666213989,0.7949999570846558,0.19959774613380432,0,0,2,2,1,1,1,1,0,1,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000401810__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000401810,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.12435318529605865,0.5010839700698853,0.23492157459259033,0.2661623954772949,0.4688267608317749,1,0,0.690000057220459,0.3399999737739563,0.3891523480415344,1,0,1,2,0,0,1,0,0,1,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000477025__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_25_18__000477025,byx,2025_09_28_17_25_18,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.2573850452899933,1.1794936656951904,0.545764684677124,0.6337289810180664,0.462710992479516,1,0,0.15999996662139893,0.3850000500679016,0.6706973910331726,1,0,1,4,0,0,1,0,0,1,0
random_main,pre2_label2_old_main,random_event_split,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000048035__pre2_label2_old_main,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000048035,byx,2025_09_28_17_35_43,pre2_label2_old_main,random_event_split,train,formal_ridge_vehicle_context_no_subject,0.32450196146965027,0.8002340197563171,0.6125168800354004,0.18771713972091675,0.7654221951497646,1,0,0.15500009059906006,0.03999999910593033,0.2705705761909485,0,0,2,2,1,1,1,0,0,0,0
