window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,source_artifact,comparison_source,model_order,display_name,source_group,uses_subject_id,uses_physio,uses_eeg,uses_continuous_style,multi_segment_rate_abs_gap
pre3_label3_response_coverage,session_level_split,test,knn_template_context_no_subject,40,0.6258290902785323,0.825,0.175,0.75,0.4456664647907019,0.8862115362530432,0.175,0.4134999968111515,0.436000001989305,0.1710383423545863,0.05,0.1,0.0,0.95,1.0,0.7100143976557005,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,peak_scaled_template_context_no_subject,40,0.6885973667109297,0.8,0.2,0.875,0.4050167109817266,1.1445583775417607,0.05,0.4581249967217445,0.3442500000819564,0.1884683397220214,0.075,0.075,0.0,0.95,1.0,0.7395625117726926,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.2576249981299042,0.1817509417654946,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,ridge_rich_context_no_subject,40,0.536450450516907,0.825,0.175,0.5,0.5529706440865993,1.1007266648812437,0.35,0.4195000097155571,0.3861249987967312,0.1883128815432428,0.075,0.025,0.025,0.95,1.0,0.7571023760780592,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,ridge_rich_history_no_subject,40,0.538776040937721,0.825,0.175,0.5,0.5651419721543789,0.9545783741751028,0.35,0.4292500227689743,0.4378750019706786,0.1892954831324459,0.075,0.025,0.0,0.95,1.0,0.7702127368939254,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,ridge_vehicle_history_no_subject,40,0.5652097313197472,0.8,0.2,0.375,0.6021612919867039,1.0375420901441823,0.45,0.4687500014901161,0.680249996483326,0.1922662463301094,0.075,0.05,0.0,0.95,1.0,0.7736038231140744,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,train_mean_all,40,0.7764011561159192,0.575,0.425,0.0,1.055760818719864,0.1672947471837916,0.925,0.976625008881092,2.3238750021904706,0.187539135129191,0.075,0.05,0.0,0.95,1.0,1.23038410563295,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,train_mean_by_event_type,40,0.7769074725115026,0.6,0.4,0.0,0.9565712690353394,0.2597255607571683,0.9,0.5920000046491622,1.8745000045746565,0.1854900406236993,0.075,0.05,0.025,0.95,1.0,1.261035100268856,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,vehicle_transformer_context_no_subject,40,0.566011200471459,0.775,0.225,0.625,0.5508254997432231,0.9638105479674371,0.3,0.5376249924302101,0.8521249985322357,0.2988018655683845,0.175,0.275,0.05,0.95,0.0,0.7705063470520028,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
pre3_label3_response_coverage,session_level_split,test,zero_response_hold_current,40,0.7757451900414308,0.425,0.575,0.0,1.169846086204052,0.0,1.0,1.5416250064969064,2.7225000012665985,0.187251896597445,0.075,0.95,0.025,0.95,0.0,1.2280494181365456,B_response3s_strict_core,clean_task_vehicle_transformer_v0_1,,,,,,,,,
