window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,policy_name,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,42,0.5818335582411566,0.8809523809523809,0.11904761904761904,0.5,0.5258398822375706,3.244707264891221,0.21428571428571427,0.5276190461147399,0.46559523462894414,0.20641891782482466,0.047619047619047616,0.16666666666666666,0.07142857142857142,0.9285714285714286,0.9285714285714286,0.9109325436974252,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.55,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.01035133346064876,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,40,0.5558686766206292,0.775,0.225,0.75,0.45228532142937183,1.3371015570709759,0.125,0.4398749962449074,0.2834999984363094,0.19740283840801562,0.075,0.125,0.025,0.95,0.875,0.6408695998149389,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,0.5336666894389569,0.225,0.75,0.6789069643375906,0.022201987181672322,0.0,0.0,-0.03803736452265172
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,188,0.33327551642368464,0.9308510638297872,0.06914893617021277,0.9148936170212766,0.31362411859346195,0.9521777086796818,0.031914893617021274,0.3101861653651329,0.20103723201108106,0.11740124600839133,0.026595744680851064,0.0797872340425532,0.06914893617021277,0.925531914893617,0.9361702127659575,0.5177720817352436,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.0031645565718889657,0.010638297872340427,0.0,-0.0029200170407773784
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,42,0.5827726820732326,0.8809523809523809,0.11904761904761904,0.5,0.527099222654388,3.240480159670624,0.19047619047619047,0.5254761881771541,0.46214285608203637,0.20496406375120083,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.65,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.01129045729272482,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,40,0.5637154686039013,0.775,0.225,0.75,0.4581054214388132,1.3343893379255038,0.125,0.43337499648332595,0.3012499978998676,0.19092019961681214,0.075,0.1,0.025,0.95,0.9,0.6789069643375906,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,0.5336666894389569,0.225,0.75,0.6789069643375906,0.030048779164944417,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,188,0.330478893470287,0.9361702127659575,0.06382978723404255,0.9148936170212766,0.3157266767576654,0.9555740447446545,0.026595744680851064,0.29843084696442523,0.19811170068668557,0.10968714125146045,0.015957446808510637,0.06914893617021277,0.06914893617021277,0.925531914893617,0.9574468085106383,0.5203998251513025,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.0003679336184913562,0.0053191489361702066,0.0,-0.0002922736247185087
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,42,0.5827726820732326,0.8809523809523809,0.11904761904761904,0.5,0.527099222654388,3.240480159670624,0.19047619047619047,0.5254761881771541,0.46214285608203637,0.20496406375120083,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core,logreg_balanced_c0_2__fallback_rbf_conf_lt_0.75,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.01129045729272482,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c1,40,0.5734587773079705,0.875,0.125,0.625,0.46037315502762793,1.337406325342849,0.15,0.3598750039935112,0.491375001356937,0.2334144228254445,0.1,0.225,0.125,0.95,0.5,0.6609067714600487,B_response3s_strict_core,logreg_balanced_c1,0.5336666894389569,0.225,0.75,0.6789069643375906,0.03979208786901356,-0.1,-0.125,-0.018000192877541843
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c1,188,0.4048117986139839,0.9095744680851063,0.09042553191489362,0.8936170212765957,0.31792948246398506,1.013139426934002,0.06914893617021277,0.40119680278795833,0.30436170143768826,0.24153000702264105,0.14361702127659576,0.15425531914893617,0.19680851063829788,0.925531914893617,0.6542553191489362,0.5683331196746982,B_response3s_strict_core,logreg_balanced_c1,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.07470083876218825,0.03191489361702128,-0.021276595744680882,0.04764102089867728
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c1,42,0.6266060772708686,0.9285714285714286,0.07142857142857142,0.5,0.5247925236111596,2.353950056577553,0.16666666666666666,0.53642856719948,0.44119047475535245,0.27954857331323657,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.9285714285714286,0.7619047619047619,0.8389194330886692,B_response3s_strict_core,logreg_balanced_c1,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.05512385249036078,-0.047619047619047616,0.0,-0.07201311060875593
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c1__fallback_rbf_conf_lt_0.35,40,0.5693269093704143,0.875,0.125,0.625,0.45040907636284827,1.3454388083902842,0.15,0.364375002682209,0.47737500092480334,0.2364045866415836,0.1,0.225,0.125,0.95,0.55,0.6609067714600487,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.35,0.5336666894389569,0.225,0.75,0.6789069643375906,0.035660219931457404,-0.1,-0.125,-0.018000192877541843
pre3_label3_response_coverage,session_level_split,train,logreg_balanced_c1__fallback_rbf_conf_lt_0.35,188,0.39932067809809363,0.9148936170212766,0.0851063829787234,0.8936170212765957,0.32092969494059365,1.0147458065919563,0.06914893617021277,0.38034573918644415,0.2863829786928886,0.2246889405997787,0.1276595744680851,0.15425531914893617,0.18085106382978725,0.925531914893617,0.6808510638297872,0.574068541311803,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.35,0.33011095985179567,0.05851063829787234,0.9148936170212766,0.520692098776021,0.06920971824629796,0.02659574468085106,-0.021276595744680882,0.053376442535782
pre3_label3_response_coverage,session_level_split,val,logreg_balanced_c1__fallback_rbf_conf_lt_0.35,42,0.6218685453725243,0.9285714285714286,0.07142857142857142,0.5,0.5240278357551211,2.3417051584642805,0.16666666666666666,0.5345238071112406,0.4313095225730822,0.28502520506957635,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.9285714285714286,0.7619047619047619,0.8386448360263999,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.35,0.5714822247805078,0.11904761904761904,0.5,0.9109325436974252,0.05038632059201653,-0.047619047619047616,0.0,-0.07228770767102521
pre3_label3_response_coverage,session_level_split,test,logreg_balanced_c1__fallback_rbf_conf_lt_0.45,40,0.5681634798048036,0.875,0.125,0.625,0.4726818211376667,1.3468880802405319,0.175,0.3828750029206276,0.39299999999348073,0.23640440452145411,0.1,0.175,0.1,0.95,0.65,0.6305621611704668,B_response3s_strict_core,logreg_balanced_c1__fallback_rbf_conf_lt_0.45,0.5336666894389569,0.225,0.75,0.6789069643375906,0.03449679036584674,-0.1,-0.125,-0.04834480316712375
