policy_name,split,n_samples,oracle_match_rate,rbf_selected_rate,keypoint_selected_rate,branch_selected_rate,unique_selected_models
logreg_balanced_c1,test,40,0.275,0.325,0.175,0.5,5
logreg_balanced_c1,train,188,0.5797872340425532,0.2978723404255319,0.09042553191489362,0.6117021276595744,5
logreg_balanced_c1,val,42,0.21428571428571427,0.40476190476190477,0.07142857142857142,0.5238095238095238,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.35,test,40,0.3,0.375,0.175,0.45,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.35,train,188,0.6063829787234043,0.3617021276595745,0.0851063829787234,0.5531914893617021,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.35,val,42,0.23809523809523808,0.4523809523809524,0.07142857142857142,0.47619047619047616,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.45,test,40,0.275,0.55,0.1,0.35,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.45,train,188,0.6223404255319149,0.5212765957446809,0.06914893617021277,0.4095744680851064,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.45,val,42,0.23809523809523808,0.5952380952380952,0.047619047619047616,0.35714285714285715,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.55,test,40,0.275,0.775,0.025,0.2,4
logreg_balanced_c1__fallback_rbf_conf_lt_0.55,train,188,0.6542553191489362,0.6914893617021277,0.05851063829787234,0.25,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.55,val,42,0.2857142857142857,0.8333333333333334,0.023809523809523808,0.14285714285714285,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.65,test,40,0.25,0.825,0.025,0.15,3
logreg_balanced_c1__fallback_rbf_conf_lt_0.65,train,188,0.6329787234042553,0.8138297872340425,0.03723404255319149,0.14893617021276595,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.65,val,42,0.2857142857142857,0.8333333333333334,0.023809523809523808,0.14285714285714285,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.75,test,40,0.25,0.9,0.0,0.1,2
logreg_balanced_c1__fallback_rbf_conf_lt_0.75,train,188,0.6329787234042553,0.9095744680851063,0.015957446808510637,0.07446808510638298,5
logreg_balanced_c1__fallback_rbf_conf_lt_0.75,val,42,0.2857142857142857,0.8809523809523809,0.023809523809523808,0.09523809523809523,4
rf_depth3_balanced,test,40,0.25,0.275,0.025,0.7,5
rf_depth3_balanced,train,188,0.5957446808510638,0.2872340425531915,0.05851063829787234,0.6542553191489362,5
rf_depth3_balanced,val,42,0.21428571428571427,0.2857142857142857,0.023809523809523808,0.6904761904761905,5
rf_depth3_balanced__fallback_rbf_conf_lt_0.35,test,40,0.3,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.35,train,188,0.6542553191489362,0.9521276595744681,0.015957446808510637,0.031914893617021274,4
rf_depth3_balanced__fallback_rbf_conf_lt_0.35,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.45,test,40,0.3,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.45,train,188,0.6063829787234043,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.45,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.55,test,40,0.3,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.55,train,188,0.6063829787234043,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.55,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.65,test,40,0.3,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.65,train,188,0.6063829787234043,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.65,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.75,test,40,0.3,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.75,train,188,0.6063829787234043,1.0,0.0,0.0,1
rf_depth3_balanced__fallback_rbf_conf_lt_0.75,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth4_balanced,test,40,0.225,0.35,0.025,0.625,5
rf_depth4_balanced,train,188,0.7925531914893617,0.4627659574468085,0.031914893617021274,0.5053191489361702,5
rf_depth4_balanced,val,42,0.23809523809523808,0.40476190476190477,0.0,0.5952380952380952,4
rf_depth4_balanced__fallback_rbf_conf_lt_0.35,test,40,0.275,0.975,0.0,0.025,2
rf_depth4_balanced__fallback_rbf_conf_lt_0.35,train,188,0.75,0.8457446808510638,0.02127659574468085,0.13297872340425532,5
rf_depth4_balanced__fallback_rbf_conf_lt_0.35,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.45,test,40,0.3,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.45,train,188,0.6276595744680851,0.9787234042553191,0.010638297872340425,0.010638297872340425,3
rf_depth4_balanced__fallback_rbf_conf_lt_0.45,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.55,test,40,0.3,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.55,train,188,0.6063829787234043,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.55,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.65,test,40,0.3,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.65,train,188,0.6063829787234043,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.65,val,42,0.35714285714285715,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.75,test,40,0.3,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.75,train,188,0.6063829787234043,1.0,0.0,0.0,1
rf_depth4_balanced__fallback_rbf_conf_lt_0.75,val,42,0.35714285714285715,1.0,0.0,0.0,1
topk_top1_non_oracle,test,40,0.175,0.0,0.0,1.0,3
topk_top1_non_oracle,train,188,0.13297872340425532,0.0,0.0,1.0,3
topk_top1_non_oracle,val,42,0.23809523809523808,0.0,0.0,1.0,3
