sample_id,event_uid,subject,session_stamp,split,top1_branch,best_branch_oracle,top1_matches_best,top1_prob,prob_margin,branch_spread_mean,branch_spread_peak,rmse_branch0,rmse_branch1,rmse_branch2,rmse_bestk,rmse_top1_branch
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,train,0,2,0,0.37202737,0.028909326,0.223392,0.37626886,0.5294288,0.8051637,0.2856638,0.2856638,0.5294288
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,train,1,0,0,0.33579746,0.0035363734,0.10828057,0.2337506,0.06168752,0.10082067,0.23740953,0.06168752,0.10082067
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,train,0,0,1,0.3727099,0.010231286,0.28225514,0.45467237,0.43801522,0.5507201,0.6469067,0.43801522,0.43801522
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,train,2,0,0,0.37996763,0.008308053,0.17651887,0.30221394,0.14387329,0.17546847,0.34667316,0.14387329,0.34667316
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000095580,byx,2025_09_28_17_46_00,test,2,1,0,0.36830828,0.00018432736,0.22615218,0.39130604,0.39409694,0.34528863,0.61411065,0.34528863,0.61411065
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_46_00__000215315,byx,2025_09_28_17_46_00,test,0,0,1,0.37908798,0.0104237795,0.23279728,0.39670983,0.1774505,0.428247,0.34316716,0.1774505,0.1774505
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,train,2,2,1,0.38279283,0.02766049,0.26625866,0.4074883,0.5348662,0.827506,0.45310524,0.45310524,0.45310524
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,train,1,2,0,0.35343444,0.004479587,0.20506802,0.38483462,0.3344978,0.5909622,0.1341228,0.1341228,0.5909622
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,train,0,0,1,0.39034575,0.019184709,0.10668581,0.21350132,0.09318156,0.14450248,0.19330394,0.09318156,0.09318156
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,train,0,2,0,0.4036337,0.050680786,0.11231437,0.17599078,0.10939096,0.24658705,0.08131385,0.08131385,0.10939096
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,train,0,2,0,0.3568418,0.029863745,0.2177532,0.37042648,0.32177308,0.59912044,0.099903926,0.099903926,0.32177308
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,train,0,2,0,0.36552778,0.015587062,0.2598056,0.4646088,0.45666975,0.6293968,0.37611228,0.37611228,0.45666975
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,train,2,2,1,0.38211775,0.017614365,0.23358078,0.4166828,0.3772226,0.6773018,0.24835166,0.24835166,0.24835166
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,train,0,0,1,0.38415486,0.035464257,0.19455655,0.26952043,0.36722177,0.47613892,0.40125513,0.36722177,0.36722177
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000205130,cwh,2025_09_26_19_56_16,val,2,2,1,0.37239432,0.009030014,0.24779963,0.37236992,0.3953337,0.72851205,0.19201145,0.19201145,0.19201145
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000309365,cwh,2025_09_26_19_56_16,val,0,0,1,0.3532639,0.010529369,0.21057044,0.37000775,0.36554882,0.554799,0.44439387,0.36554882,0.36554882
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000329785,cwh,2025_09_26_19_56_16,val,0,1,0,0.37923667,0.020810306,0.20058429,0.29376462,0.7716184,0.5715766,0.91384417,0.5715766,0.7716184
vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_56_16__000388180,cwh,2025_09_26_19_56_16,val,0,2,0,0.34987003,0.024502248,0.17552388,0.3121687,0.3186825,0.54291385,0.2715666,0.2715666,0.3186825
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,train,2,2,1,0.3699522,0.018674493,0.21315284,0.376826,0.44539872,0.6580308,0.43395665,0.43395665,0.43395665
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730,cwh,2025_09_26_20_06_19,train,0,1,0,0.3767611,0.027611554,0.20857981,0.2952686,0.43464014,0.2514097,0.6210758,0.2514097,0.43464014
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,train,0,0,1,0.40148318,0.04746571,0.10784178,0.17013505,0.07536923,0.1586353,0.13998286,0.07536923,0.07536923
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845,gf,2025_09_26_10_18_49,train,2,1,0,0.34631103,0.00036123395,0.24900663,0.4270287,0.5976433,0.41423655,0.83486974,0.41423655,0.83486974
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375,gf,2025_09_26_10_18_49,train,0,2,0,0.36315504,0.021498293,0.1798232,0.3475213,0.20351097,0.3745597,0.19561496,0.19561496,0.20351097
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000223260,gf,2025_09_26_10_30_12,test,0,0,1,0.35382432,0.021796972,0.23062326,0.39521202,0.35928416,0.45489764,0.44708186,0.35928416,0.35928416
vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_30_12__000425785,gf,2025_09_26_10_30_12,test,0,0,1,0.3844961,0.018297672,0.19893585,0.3629414,0.79727346,0.8826363,0.9241149,0.79727346,0.79727346
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,train,2,2,1,0.38284105,0.018785596,0.22216487,0.38770932,0.60364527,0.8321902,0.37722668,0.37722668,0.37722668
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065,gf,2025_09_26_10_40_59,train,0,1,0,0.363309,0.04416293,0.24964918,0.42349446,0.5702057,0.5681679,0.78887117,0.5681679,0.5702057
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000300870,gf,2025_09_26_10_52_57,test,2,1,0,0.3798946,0.015651494,0.19089802,0.35130143,0.40398562,0.18708633,0.6343371,0.18708633,0.6343371
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000471505,gf,2025_09_26_10_52_57,test,0,0,1,0.3569451,0.0156264,0.14433292,0.26047662,0.4276408,0.4634502,0.5905939,0.4276408,0.4276408
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,gzj,2025_09_27_11_41_47,train,0,0,1,0.3768273,0.010348111,0.2232373,0.3910801,0.35756496,0.45636603,0.4104711,0.35756496,0.35756496
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,gzj,2025_09_27_11_41_47,train,0,0,1,0.39602846,0.050788164,0.22564474,0.38437587,0.34625602,0.46675318,0.3647216,0.34625602,0.34625602
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,gzj,2025_09_27_11_41_47,train,0,2,0,0.37598112,0.012738407,0.21092543,0.30200636,0.28240812,0.569534,0.1547074,0.1547074,0.28240812
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,gzj,2025_09_27_11_41_47,train,2,2,1,0.38276684,0.029268146,0.2364648,0.43711174,0.7564117,0.9925296,0.64901674,0.64901674,0.64901674
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340,gzj,2025_09_27_11_41_47,train,1,1,1,0.3823351,0.03387496,0.15865761,0.31486517,0.13018565,0.09132853,0.39053807,0.09132853,0.09132853
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945,gzj,2025_09_27_11_53_25,train,2,1,0,0.38763613,0.025400579,0.21269809,0.38816372,0.46166053,0.4001168,0.62478536,0.4001168,0.62478536
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210,gzj,2025_09_27_11_53_25,train,0,2,0,0.40464345,0.0666613,0.18964764,0.33570507,0.20219952,0.38999224,0.18205167,0.18205167,0.20219952
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920,gzj,2025_09_27_11_53_25,train,0,0,1,0.38731927,0.03996849,0.23644799,0.3884897,0.10115251,0.33546516,0.3182647,0.10115251,0.10115251
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025,gzj,2025_09_27_11_53_25,train,1,2,0,0.35022953,0.019690216,0.24636964,0.42846185,0.5687998,0.8580299,0.27679834,0.27679834,0.8580299
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835,gzj,2025_09_27_12_04_23,train,0,2,0,0.39152902,0.02724731,0.21927662,0.39079732,0.5801142,0.7819421,0.391175,0.391175,0.5801142
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790,gzj,2025_09_27_12_04_23,train,0,2,0,0.39332387,0.051440954,0.26716867,0.5147182,0.7399472,1.0847156,0.46130857,0.46130857,0.7399472
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350,gzj,2025_09_27_12_04_23,train,0,2,0,0.35207924,0.017739207,0.21563348,0.40576744,0.498485,0.7747557,0.271867,0.271867,0.498485
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140,gzj,2025_09_27_12_04_23,train,0,2,0,0.38726115,0.040965617,0.20789813,0.3479141,0.38848382,0.6142695,0.19261299,0.19261299,0.38848382
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385,gzj,2025_09_27_12_04_23,train,0,1,0,0.37062043,0.0074155927,0.17272805,0.32647246,0.25831518,0.06696615,0.4699522,0.06696615,0.25831518
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000053185,gzj,2025_09_27_12_17_12,test,2,0,0,0.37530553,0.0006645024,0.26607415,0.4847102,0.50471836,0.6114286,0.7755172,0.50471836,0.7755172
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,test,0,1,0,0.3975999,0.042716384,0.20217459,0.34700912,0.54597944,0.42445773,0.69640976,0.42445773,0.54597944
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000175240,gzj,2025_09_27_12_17_12,test,0,1,0,0.39655197,0.03328204,0.25443012,0.44295144,0.6515349,0.57642037,0.9732036,0.57642037,0.6515349
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000186555,gzj,2025_09_27_12_17_12,test,0,0,1,0.36773938,0.033319503,0.18533754,0.36787122,0.35917893,0.5587086,0.38993463,0.35917893,0.35917893
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000273440,gzj,2025_09_27_12_17_12,test,2,0,0,0.37163982,0.0014916062,0.24495825,0.42617142,0.56432086,0.70662373,0.5791165,0.56432086,0.5791165
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000362460,gzj,2025_09_27_12_17_12,test,2,1,0,0.39222518,0.03251812,0.21831359,0.39510462,0.48007405,0.32296777,0.76110166,0.32296777,0.76110166
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000392590,gzj,2025_09_27_12_17_12,test,0,2,0,0.375863,0.019803315,0.23662332,0.4202023,1.1053461,1.185323,1.0572449,1.0572449,1.1053461
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000518180,gzj,2025_09_27_12_17_12,test,0,1,0,0.389004,0.008377761,0.09648467,0.15701781,0.40865582,0.35127202,0.42138228,0.35127202,0.40865582
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000585940,gzj,2025_09_27_12_17_12,test,0,2,0,0.34413707,0.010701984,0.1456291,0.2552856,0.34000647,0.5137624,0.21072486,0.21072486,0.34000647
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490,gzj,2025_09_27_12_28_14,train,2,0,0,0.3805475,0.017889798,0.26122877,0.4368398,0.4282262,0.46044952,0.611668,0.4282262,0.611668
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075,gzj,2025_09_27_12_28_14,train,0,1,0,0.3855132,0.029039472,0.22296026,0.37693045,0.37374184,0.21124159,0.5878312,0.21124159,0.37374184
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480,gzj,2025_09_27_12_28_14,train,2,0,0,0.37331635,0.0040812194,0.25246152,0.4552158,0.5319616,0.6674213,0.61392105,0.5319616,0.61392105
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055,gzj,2025_09_27_12_28_14,train,2,2,1,0.38591033,0.0273543,0.24099444,0.42910972,0.34518832,0.5523459,0.32658306,0.32658306,0.32658306
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425,gzj,2025_09_27_12_28_14,train,0,1,0,0.37342718,0.0052908957,0.20275056,0.32864273,0.5014199,0.29736957,0.67456204,0.29736957,0.5014199
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825,gzj,2025_09_27_12_28_14,train,0,2,0,0.36467096,0.0051840544,0.2311737,0.4215287,0.505297,0.7778323,0.341678,0.341678,0.505297
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605,hzh,2025_09_26_20_50_27,test,0,0,1,0.38173634,0.031645954,0.18155,0.32068202,0.17980532,0.3035949,0.3255141,0.17980532,0.17980532
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695,hzh,2025_09_26_20_50_27,test,0,1,0,0.4092612,0.056910306,0.2643615,0.43637604,0.81825477,0.73276764,1.164495,0.73276764,0.81825477
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880,hzh,2025_09_26_20_50_27,test,1,0,0,0.44738612,0.09526238,0.14882141,0.27822173,0.11730173,0.18096639,0.3036628,0.11730173,0.18096639
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250,hzh,2025_09_26_20_50_27,test,0,2,0,0.37379593,0.024496764,0.1026703,0.1924908,0.5997975,0.7235441,0.49050343,0.49050343,0.5997975
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260,hzh,2025_09_26_21_03_19,test,0,2,0,0.38245022,0.020625204,0.22279513,0.3723503,0.5512111,0.8441521,0.31523517,0.31523517,0.5512111
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,hzh,2025_09_26_21_03_19,test,0,1,0,0.3449312,0.0055505633,0.23372504,0.43557686,0.8888066,0.6342898,1.1465561,0.6342898,0.8888066
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200,hzh,2025_09_26_21_03_19,test,0,0,1,0.3688385,0.03488931,0.24334255,0.38746566,0.402232,0.46039307,0.6049898,0.402232,0.402232
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660,hzh,2025_09_26_21_03_19,test,2,0,0,0.41143984,0.048156857,0.20762922,0.37159425,0.5816053,0.6043096,0.68701357,0.5816053,0.68701357
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230,hzh,2025_09_26_21_17_02,train,2,2,1,0.38386428,0.023233145,0.2140209,0.3779017,0.3495926,0.5670734,0.2553123,0.2553123,0.2553123
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495,hzh,2025_09_26_21_17_02,train,2,2,1,0.3916318,0.037007153,0.23341297,0.41360897,0.3671186,0.5765428,0.30493954,0.30493954,0.30493954
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775,hzh,2025_09_27_19_22_27,train,1,1,1,0.3517996,0.0020765364,0.2196704,0.3782497,0.4385652,0.38732827,0.5905441,0.38732827,0.38732827
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515,hzh,2025_09_27_19_22_27,train,0,0,1,0.3644693,0.043286026,0.2059918,0.36052367,0.22331943,0.39915854,0.2813252,0.22331943,0.22331943
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710,hzh,2025_09_27_19_22_27,train,2,0,0,0.3788796,0.010997206,0.22601806,0.39942762,0.2123457,0.39938873,0.29570076,0.2123457,0.29570076
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360,hzh,2025_09_27_19_33_25,train,0,0,1,0.36797646,0.033364147,0.16528115,0.3236016,0.350308,0.4011997,0.40852782,0.350308,0.350308
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300,hzh,2025_09_27_19_33_25,train,0,2,0,0.40176806,0.05637431,0.21672751,0.36921704,0.5755683,0.8493203,0.31757218,0.31757218,0.5755683
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885,hzh,2025_09_27_19_33_25,train,2,2,1,0.38160384,0.014125586,0.22201209,0.37366962,0.30955344,0.5706852,0.16693449,0.16693449,0.16693449
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405,hzh,2025_09_27_19_33_25,train,2,2,1,0.37656334,0.006106138,0.20269425,0.36016908,0.2902379,0.48128513,0.24322842,0.24322842,0.24322842
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885,hzh,2025_09_27_19_44_05,test,0,2,0,0.38157427,0.008973628,0.21709104,0.38860112,0.47365943,0.6886543,0.28748536,0.28748536,0.47365943
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245,hzh,2025_09_27_19_44_05,test,0,0,1,0.37944296,0.0074956715,0.22191204,0.40117517,0.28818434,0.50106376,0.34137347,0.28818434,0.28818434
