window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,candidate_model,feature_set,selected_threshold_from_val,val_selector_rmse
pre3_label3_response_coverage,session_level_split,val,logreg_original_balanced,42,0.5611893623512285,0.8809523809523809,0.11904761904761904,0.6,0.5387830326756152,3.148484323487567,0.23809523809523808,0.5132142780792146,0.6201190462424642,0.2082655961429385,0.047619047619047616,0.21428571428571427,0.023809523809523808,0.9285714285714286,0.6190476190476191,0.8548437107071594,B_response3s_strict_core,logreg_original_balanced,original,0.55,0.5611893623512285
pre3_label3_response_coverage,session_level_split,test,logreg_engineered_balanced,40,0.5345446759116794,0.775,0.225,0.75,0.4166799072176218,1.1981436102902063,0.125,0.4468749985098839,0.28087499681860206,0.18609616865869608,0.075,0.1,0.025,0.95,0.95,0.6789069643375906,B_response3s_strict_core,logreg_engineered_balanced,engineered,0.8,0.5688608839244811
pre3_label3_response_coverage,session_level_split,train,logreg_engineered_balanced,188,0.33345885891801347,0.9361702127659575,0.06382978723404255,0.9148936170212766,0.31695827667383436,0.961660618896671,0.031914893617021274,0.3030585052960731,0.20061170083886765,0.10516867482688887,0.015957446808510637,0.10106382978723404,0.06914893617021277,0.925531914893617,0.9148936170212766,0.520692098776021,B_response3s_strict_core,logreg_engineered_balanced,engineered,0.8,0.5688608839244811
pre3_label3_response_coverage,session_level_split,val,logreg_engineered_balanced,42,0.5688608839244811,0.8809523809523809,0.11904761904761904,0.5,0.5140941867317783,3.1179956333270424,0.21428571428571427,0.5061904724155154,0.5014285711305482,0.20368348452454565,0.047619047619047616,0.19047619047619047,0.023809523809523808,0.9285714285714286,0.8571428571428571,0.9109325436974252,B_response3s_strict_core,logreg_engineered_balanced,engineered,0.8,0.5688608839244811
pre3_label3_response_coverage,session_level_split,test,logreg_engineered_conservative,40,0.5345446759116794,0.775,0.225,0.75,0.4166799072176218,1.1981436102902063,0.125,0.4468749985098839,0.28087499681860206,0.18609616865869608,0.075,0.1,0.025,0.95,0.95,0.6789069643375906,B_response3s_strict_core,logreg_engineered_conservative,engineered,0.2,0.5701314895657504
pre3_label3_response_coverage,session_level_split,train,logreg_engineered_conservative,188,0.33065973152043965,0.9361702127659575,0.06382978723404255,0.9148936170212766,0.31671360935619536,0.9534728875278732,0.031914893617021274,0.3003191436700364,0.2042553177143031,0.10529754727178167,0.015957446808510637,0.09574468085106383,0.06914893617021277,0.925531914893617,0.9308510638297872,0.520692098776021,B_response3s_strict_core,logreg_engineered_conservative,engineered,0.2,0.5701314895657504
pre3_label3_response_coverage,session_level_split,val,logreg_engineered_conservative,42,0.5701314895657504,0.8809523809523809,0.11904761904761904,0.5,0.5071559662421855,3.1066542009721028,0.21428571428571427,0.5164285692430678,0.5114285706409386,0.20678979074286602,0.047619047619047616,0.14285714285714285,0.023809523809523808,0.9285714285714286,0.9047619047619048,0.9109325436974252,B_response3s_strict_core,logreg_engineered_conservative,engineered,0.2,0.5701314895657504
pre3_label3_response_coverage,session_level_split,test,rf_engineered_shallow,40,0.5443558392873438,0.825,0.175,0.875,0.3922341253608465,1.2351160311227858,0.1,0.4016250059008598,0.47412499878555536,0.18191038268269036,0.075,0.425,0.025,0.95,0.375,0.659948768507552,B_response3s_strict_core,rf_engineered_shallow,engineered,0.35,0.5590176827815456
pre3_label3_response_coverage,session_level_split,train,rf_engineered_shallow,188,0.4082555751300814,0.9308510638297872,0.06914893617021277,0.9148936170212766,0.34375649682701903,1.0310286585604187,0.047872340425531915,0.3712499962049596,0.35202127393889937,0.12809626808689725,0.026595744680851064,0.2925531914893617,0.0797872340425532,0.925531914893617,0.4574468085106383,0.6271784114304416,B_response3s_strict_core,rf_engineered_shallow,engineered,0.35,0.5590176827815456
pre3_label3_response_coverage,session_level_split,val,rf_engineered_shallow,42,0.5590176827815456,0.8809523809523809,0.11904761904761904,0.5,0.5180524584594538,2.2637194535326777,0.23809523809523808,0.4742857210692905,0.6471428537652606,0.20364977276499469,0.07142857142857142,0.2619047619047619,0.023809523809523808,0.9285714285714286,0.3333333333333333,0.8307345704256023,B_response3s_strict_core,rf_engineered_shallow,engineered,0.35,0.5590176827815456
