sample_id,event_uid,subject,session_stamp,split,road_design_module_name,event_level,road_design_risk_class,gt_peak_abs,is_large_response,is_difficult_peak_top20,keypoint_better_rmse,rmse_delta_keypoint_minus_rbf,candidate_model,selector_prob_keypoint,selected_threshold_from_val,selected_model
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000078915,byx,2025_09_28_17_35_43,train,longstraight,medium_active,design_regular_road,0.761661171913147,0,0,0,0.0534956753253936,rf_engineered_shallow,0.376432179251469,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000199335,byx,2025_09_28_17_35_43,train,curve1,extreme_active,design_curve_context,0.0404901504516601,0,0,0,0.0634643014054746,rf_engineered_shallow,0.11989020958963262,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000231020,byx,2025_09_28_17_35_43,train,middle_section,extreme_active,design_regular_road,0.9894275069236756,0,0,0,0.286213755607605,rf_engineered_shallow,0.4030877639660396,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825__pre3_label3_response_coverage,vehicle_instability_allraw__byx__2025_09_28_17_35_43__000329825,byx,2025_09_28_17_35_43,train,middle_section,weak,design_regular_road,0.241902694106102,0,0,0,0.3326358571648597,rf_engineered_shallow,0.24714941494537102,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_27_21__000065145,cwh,2025_09_26_19_27_21,train,middle_section,extreme_active,design_regular_road,1.5481109619140625,0,0,0,0.1680342257022857,rf_engineered_shallow,0.3366906055499749,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000225295,cwh,2025_09_26_19_35_47,train,fix_road,strong_active,design_special_event_segment,0.6775369644165039,0,0,0,0.0060372054576873,rf_engineered_shallow,0.40028988479825517,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000453095,cwh,2025_09_26_19_35_47,train,differentmu_road,instability_extreme,design_high_risk_surface,0.0687659978866577,0,0,0,0.0398372393101452,rf_engineered_shallow,0.13132039409124696,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_35_47__000527630,cwh,2025_09_26_19_35_47,train,differentmu_road,weak,design_high_risk_surface,0.110131174325943,0,0,0,0.0376047305762767,rf_engineered_shallow,0.13717987267927623,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000089205,cwh,2025_09_26_19_45_40,train,middle_section,medium_active,design_regular_road,0.6611310243606567,0,0,0,0.0489151179790496,rf_engineered_shallow,0.360454050816735,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000165100,cwh,2025_09_26_19_45_40,train,middle_section,strong_active,design_regular_road,0.6585130095481873,0,0,0,0.112093299627304,rf_engineered_shallow,0.41376523448349467,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000214250,cwh,2025_09_26_19_45_40,train,fix_road,strong_active,design_special_event_segment,1.488070011138916,0,0,0,0.0985371768474578,rf_engineered_shallow,0.4567766824009521,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,train,middle_section,strong_active,design_regular_road,1.523326754570007,0,0,0,0.1573789417743683,rf_engineered_shallow,0.4608946802060242,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,train,fix_road,strong_active,design_special_event_segment,1.6385160684585571,1,0,0,0.1921759247779846,rf_engineered_shallow,0.5111623604901372,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730,cwh,2025_09_26_20_06_19,train,middle_section,strong_active,design_regular_road,1.178966999053955,0,0,0,0.1741422116756439,rf_engineered_shallow,0.49268994952643663,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,train,differentmu_road,instability_medium,design_high_risk_surface,0.1926840245723724,0,0,0,0.0930826775729656,rf_engineered_shallow,0.13291399966340325,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845,gf,2025_09_26_10_18_49,train,fix_road,strong_active,design_special_event_segment,1.8683719635009768,1,1,0,0.2732186913490295,rf_engineered_shallow,0.40121346326685037,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375,gf,2025_09_26_10_18_49,train,middle_section,strong_active,design_regular_road,0.4361581206321716,0,0,0,0.4129576906561851,rf_engineered_shallow,0.3597256707497511,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,train,middle_section,strong_active,design_regular_road,2.2230300903320312,1,1,0,0.2107055485248565,rf_engineered_shallow,0.1747379437661799,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065,gf,2025_09_26_10_40_59,train,fix_road,strong_active,design_special_event_segment,2.17851996421814,1,1,0,0.3465800881385802,rf_engineered_shallow,0.4394852450410244,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,gzj,2025_09_27_11_41_47,train,middle_section,strong_active,design_regular_road,1.095018982887268,0,0,0,0.1120384484529495,rf_engineered_shallow,0.31365855415798277,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,gzj,2025_09_27_11_41_47,train,fix_road,strong_active,design_special_event_segment,1.0971187353134155,0,0,0,0.0593367516994476,rf_engineered_shallow,0.42231571975619364,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,gzj,2025_09_27_11_41_47,train,middle_section,strong_active,design_regular_road,0.8555600047111511,0,0,1,-0.0082724094390869,rf_engineered_shallow,0.5696264897676052,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,gzj,2025_09_27_11_41_47,train,middle_section,extreme_active,design_regular_road,2.721312999725342,1,1,0,0.8612143993377686,rf_engineered_shallow,0.26649751768620006,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340,gzj,2025_09_27_11_41_47,train,middle_section,strong_active,design_regular_road,0.2635442018508911,0,0,0,0.1029033809900284,rf_engineered_shallow,0.455889029624751,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945,gzj,2025_09_27_11_53_25,train,middle_section,strong_active,design_regular_road,0.8979719877243042,0,0,0,0.0244432389736176,rf_engineered_shallow,0.39421814732873467,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210,gzj,2025_09_27_11_53_25,train,middle_section,strong_active,design_regular_road,0.3433059155941009,0,0,1,-0.0703737288713454,rf_engineered_shallow,0.5678593516002668,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920,gzj,2025_09_27_11_53_25,train,middle_section,extreme_active,design_regular_road,0.4164358973503113,0,0,0,0.1754530668258667,rf_engineered_shallow,0.38258473456897624,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000575025,gzj,2025_09_27_11_53_25,train,differentmu_road,extreme_active,design_high_risk_surface,0.3851950168609619,0,0,0,0.0462683141231536,rf_engineered_shallow,0.36761505953151424,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000095835,gzj,2025_09_27_12_04_23,train,middle_section,strong_active,design_regular_road,1.7285699844360352,1,0,0,0.2236122488975525,rf_engineered_shallow,0.2788595040478704,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000143790,gzj,2025_09_27_12_04_23,train,curve1,extreme_active,design_curve_context,1.877449989318848,1,1,0,0.3004215359687805,rf_engineered_shallow,0.17119785581282776,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000173350,gzj,2025_09_27_12_04_23,train,middle_section,strong_active,design_regular_road,1.3058549165725708,0,0,1,-0.0137011706829071,rf_engineered_shallow,0.623742253091964,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000215140,gzj,2025_09_27_12_04_23,train,fix_road,strong_active,design_special_event_segment,0.7712610363960266,0,0,0,0.0803891569375992,rf_engineered_shallow,0.2960785740804237,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_04_23__000297385,gzj,2025_09_27_12_04_23,train,middle_section,weak,design_regular_road,0.6428040266036987,0,0,0,0.5082576572895051,rf_engineered_shallow,0.18698601901951994,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490,gzj,2025_09_27_12_28_14,train,middle_section,extreme_active,design_regular_road,1.5514259338378906,0,0,0,0.3012660443782806,rf_engineered_shallow,0.3675136085871353,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075,gzj,2025_09_27_12_28_14,train,middle_section,strong_active,design_regular_road,0.8056439161300659,0,0,0,0.06273153424263,rf_engineered_shallow,0.5218861114231522,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480,gzj,2025_09_27_12_28_14,train,middle_section,extreme_active,design_regular_road,1.4226219654083252,0,0,0,0.1276445686817169,rf_engineered_shallow,0.4709392883003736,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055,gzj,2025_09_27_12_28_14,train,middle_section,extreme_active,design_regular_road,1.182286024093628,0,0,1,-0.0736376941204071,rf_engineered_shallow,0.5044738781056508,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425,gzj,2025_09_27_12_28_14,train,middle_section,medium_active,design_regular_road,0.7747515439987183,0,0,0,0.0400766730308532,rf_engineered_shallow,0.5179823570707613,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825,gzj,2025_09_27_12_28_14,train,curve2,strong_active,design_curve_context,0.9089670181274414,0,0,0,0.2375895380973815,rf_engineered_shallow,0.378697054665865,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230,hzh,2025_09_26_21_17_02,train,middle_section,medium_active,design_regular_road,1.3772419691085815,0,0,0,0.2003712505102158,rf_engineered_shallow,0.1802027434657626,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495,hzh,2025_09_26_21_17_02,train,middle_section,extreme_active,design_regular_road,1.5268155336380005,0,0,0,0.1898608207702637,rf_engineered_shallow,0.13229444641936375,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775,hzh,2025_09_27_19_22_27,train,longstraight,extreme_active,design_regular_road,1.7856509685516355,1,1,0,0.2451431006193161,rf_engineered_shallow,0.17472192071260434,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515,hzh,2025_09_27_19_22_27,train,middle_section,strong_active,design_regular_road,1.2948600053787231,0,0,0,0.1137617751955985,rf_engineered_shallow,0.45810334311213124,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710,hzh,2025_09_27_19_22_27,train,curve2,strong_active,design_curve_context,1.6920976638793943,1,0,1,-0.0149851739406586,rf_engineered_shallow,0.4857490168242678,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360,hzh,2025_09_27_19_33_25,train,middle_section,strong_active,design_regular_road,1.0082778930664062,0,0,0,0.1146994829177855,rf_engineered_shallow,0.17911920604585338,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300,hzh,2025_09_27_19_33_25,train,middle_section,strong_active,design_regular_road,1.6500362157821655,1,0,0,0.0508898198604584,rf_engineered_shallow,0.46693976856393027,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885,hzh,2025_09_27_19_33_25,train,curve2,strong_active,design_curve_context,0.9880310297012328,0,0,0,0.081338346004486,rf_engineered_shallow,0.4709859317568498,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405,hzh,2025_09_27_19_33_25,train,differentmu_road,strong_active,design_high_risk_surface,1.0478951930999756,0,0,0,0.1424248218536377,rf_engineered_shallow,0.1790855040218193,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445,jy,2025_09_26_17_17_11,train,fix_road,extreme_active,design_special_event_segment,1.8395723104476929,1,1,1,-0.0606881976127624,rf_engineered_shallow,0.529512350322163,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405,jy,2025_09_26_17_17_11,train,middle_section,extreme_active,design_regular_road,2.3631784915924072,1,1,0,0.7624826431274414,rf_engineered_shallow,0.2657938808253016,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665,jy,2025_09_26_17_17_11,train,differentmu_road,extreme_active,design_high_risk_surface,0.2883279919624328,0,0,0,0.1523493975400925,rf_engineered_shallow,0.14179805175139104,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110,jy,2025_09_26_17_29_44,train,middle_section,extreme_active,design_regular_road,1.9676820039749143,1,1,0,0.1224139630794525,rf_engineered_shallow,0.3273769154543934,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270,jy,2025_09_26_17_29_44,train,middle_section,medium_active,design_regular_road,1.6941959857940674,1,0,0,0.2338301837444305,rf_engineered_shallow,0.14516121193089848,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550,jy,2025_09_26_17_29_44,train,differentmu_road,instability_strong,design_high_risk_surface,0.232304036617279,0,0,0,0.2755887508392334,rf_engineered_shallow,0.10067821878146091,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950,jy,2025_09_26_17_29_44,train,differentmu_road,strong_active,design_high_risk_surface,0.9101839661598206,0,0,0,0.5158866383135319,rf_engineered_shallow,0.16091507885938752,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905,jy,2025_09_26_17_40_51,train,middle_section,strong_active,design_regular_road,1.167451024055481,0,0,0,0.1841094046831131,rf_engineered_shallow,0.43405738004526756,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515,jy,2025_09_26_17_40_51,train,fix_road,extreme_active,design_special_event_segment,2.8728153705596924,1,1,0,0.2757021784782409,rf_engineered_shallow,0.38344670492650507,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490,jy,2025_09_26_17_40_51,train,differentmu_road,strong_active,design_high_risk_surface,0.1183339953422546,0,0,0,0.0529491603374481,rf_engineered_shallow,0.34355494858973096,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105,jy,2025_09_26_17_40_51,train,differentmu_road,extreme_active,design_high_risk_surface,0.9201330542564392,0,0,0,0.1356513202190399,rf_engineered_shallow,0.2896815875432303,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__jy__2025_09_26_17_51_46__000542335__pre3_label3_response_coverage,vehicle_instability_allraw__jy__2025_09_26_17_51_46__000542335,jy,2025_09_26_17_51_46,train,differentmu_road,medium_active,design_high_risk_surface,0.3000220060348511,0,0,0,0.1444703564047813,rf_engineered_shallow,0.14125595963579796,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000135315__pre3_label3_response_coverage,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000135315,lx,2025_09_26_09_17_22,train,curve1,extreme_active,design_curve_context,1.2240021228790283,0,0,0,0.3008620738983154,rf_engineered_shallow,0.16029831202441736,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000215535__pre3_label3_response_coverage,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000215535,lx,2025_09_26_09_17_22,train,middle_section,strong_active,design_regular_road,0.907396912574768,0,0,0,0.0316174030303955,rf_engineered_shallow,0.5232232177958263,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000385260__pre3_label3_response_coverage,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000385260,lx,2025_09_26_09_17_22,train,middle_section,extreme_active,design_regular_road,1.2409290075302124,0,0,0,0.126516044139862,rf_engineered_shallow,0.36621131595132017,0.35,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__lx__2025_09_26_09_17_22__000480490__pre3_label3_response_coverage,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000480490,lx,2025_09_26_09_17_22,train,middle_section,strong_active,design_regular_road,2.146575927734375,1,1,0,0.4889495819807054,rf_engineered_shallow,0.15444998066663715,0.35,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000089180__pre3_label3_response_coverage,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000089180,lxy,2025_09_28_17_55_52,train,middle_section,medium_active,design_regular_road,0.9592329859733582,0,0,0,0.1004447638988494,rf_engineered_shallow,0.33325362311950835,0.35,rbf_kernel_ridge_context_no_subject
