sample_id,event_uid,subject,session_stamp,split,road_design_module_name,event_level,road_design_risk_class,gt_peak_abs,is_large_response,is_difficult_peak_top20,keypoint_better_rmse,rmse_delta_keypoint_minus_rbf,candidate_model,selector_prob_keypoint,selected_threshold_from_val,selected_model
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,train,middle_section,strong_active,design_regular_road,2.2230300903320312,1,1,0,0.2107055485248565,logreg_original_balanced,0.4737950477189822,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065,gf,2025_09_26_10_40_59,train,fix_road,strong_active,design_special_event_segment,2.17851996421814,1,1,0,0.3465800881385802,logreg_original_balanced,0.6601706315775157,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,gzj,2025_09_27_11_41_47,train,middle_section,strong_active,design_regular_road,1.095018982887268,0,0,0,0.1120384484529495,logreg_original_balanced,0.49208048408767835,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,gzj,2025_09_27_11_41_47,train,fix_road,strong_active,design_special_event_segment,1.0971187353134155,0,0,0,0.0593367516994476,logreg_original_balanced,0.6599201754199845,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000260065,gzj,2025_09_27_11_41_47,train,middle_section,strong_active,design_regular_road,0.8555600047111511,0,0,1,-0.0082724094390869,logreg_original_balanced,0.929541618610176,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000413415,gzj,2025_09_27_11_41_47,train,middle_section,extreme_active,design_regular_road,2.721312999725342,1,1,0,0.8612143993377686,logreg_original_balanced,0.32886262019356954,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000431340,gzj,2025_09_27_11_41_47,train,middle_section,strong_active,design_regular_road,0.2635442018508911,0,0,0,0.1029033809900284,logreg_original_balanced,0.3931694175161763,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000229945,gzj,2025_09_27_11_53_25,train,middle_section,strong_active,design_regular_road,0.8979719877243042,0,0,0,0.0244432389736176,logreg_original_balanced,0.5212455175888254,0.55,rbf_kernel_ridge_context_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000283210,gzj,2025_09_27_11_53_25,train,middle_section,strong_active,design_regular_road,0.3433059155941009,0,0,1,-0.0703737288713454,logreg_original_balanced,0.845703924835532,0.55,keypoint_residual_vehicle_transformer_no_subject
vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_53_25__000308920,gzj,2025_09_27_11_53_25,train,middle_section,extreme_active,design_regular_road,0.4164358973503113,0,0,0,0.1754530668258667,logreg_original_balanced,0.6517414937860841,0.55,keypoint_residual_vehicle_transformer_no_subject
