sample_id,event_uid,subject,session_stamp,road_type_anchor,event_level,instability_role,road_design_module_name,road_design_risk_class,road_design_mapping_reliability,old_v400_road_type_mode,old_v400_phase_mode,eval_label_morphology,sample_rmse,gt_peak_abs,pred_peak_abs,peak_amp_ratio_pred_over_gt,wrong_side,large_response_recalled,severe_amp_under,peak_time_abs_error_s,onset_delay_abs_error_s,tail_abs_error,tail_drift_risk,zero_crossing_mismatch,gt_reversal_count,pred_reversal_count,reversal_count_exact,gt_multi_segment,pred_multi_segment,is_large_response,is_difficult_peak_top20,high_rmse_top20pct,wrong_side_flag,large_response_missed_flag,severe_amp_under_flag,multi_segment_missed_flag,multi_segment_overpred_flag,multi_segment_mismatch_flag,reversal_mismatch_flag,tail_drift_flag,zero_crossing_mismatch_flag,peak_time_large_error_flag,onset_delay_large_error_flag,formal_error_flag_count,primary_error_type,old_deep_sample_rmse,old_deep_pred_peak_abs,old_deep_wrong_side,old_deep_large_response_recalled,old_deep_severe_amp_under,old_deep_tail_drift_risk,old_deep_reversal_count_exact,old_deep_pred_multi_segment,formal_minus_old_deep_rmse,formal_better_than_old_deep,shared_with_old_deep_bad_top20pct,old_deep_high_rmse_top20pct,high_rmse_threshold_test_p80,old_deep_high_rmse_threshold_test_p80
vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000078030__pre2_label2_old_main,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000078030,tyy,2025_09_28_14_44_09,straight,strong_active,instability_ay_roll,middle_section,design_regular_road,high,straight,secondary,multi_correction,0.7583597302436829,1.15540611743927,0.2456115037202835,0.212575907304899,1,0,1,0.7950000166893005,1.185000013560057,0.6052347272634506,1,0,3,8,0,1,1,0,0,True,True,False,True,False,False,False,True,True,False,True,True,7,01_wrong_side,0.9812058210372924,0.514186680316925,1,0,1,0,0,0,-0.2228460907936095,True,True,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795__pre2_label2_old_main,vehicle_instability_allraw__gf__2025_09_26_10_52_57__000066795,gf,2025_09_26_10_52_57,straight,strong_active,instability_ay_roll,middle_section,design_regular_road,high,straight,secondary,multi_correction,0.7498478293418884,0.9204869866371156,0.7490516901016235,0.8137558715937859,0,0,0,0.6650000214576721,0.445000022649765,1.1172415614128113,1,0,3,2,0,1,1,0,0,False,False,False,False,False,False,False,True,True,False,True,False,3,06_reversal_mismatch,0.5720536112785339,0.4181661903858185,0,0,1,1,0,0,0.1777942180633545,False,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700__pre2_label2_old_main,vehicle_instability_allraw__gzj__2025_09_27_12_17_12__000081700,gzj,2025_09_27_12_17_12,straight,strong_active,instability_ay_roll,middle_section,design_regular_road,high,straight,primary,multi_correction,0.726585865020752,1.3226046562194824,0.1319714486598968,0.099781478947097,0,0,1,0.0199999809265136,1.875,0.1029080711305141,0,0,2,16,0,1,1,0,0,False,False,False,True,False,False,False,True,False,False,False,True,3,03_severe_amp_under,0.6526393294334412,0.4791726469993591,0,0,1,0,0,0,0.07394653558731079,False,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390,hzh,2025_09_27_19_44_05,straight,extreme_active,instability_ay_roll,middle_section,design_regular_road,very_low,straight,secondary,multi_correction,0.7180445790290833,1.3761889934539795,0.3349701762199402,0.243404196526254,0,0,1,0.0450000762939453,0.9399999678134918,1.0384425818920135,1,0,2,1,0,1,0,1,0,False,False,True,True,True,False,True,True,True,False,False,True,7,02_large_response_missed,0.8324683308601379,0.0761364698410034,0,0,1,1,0,0,-0.11442375183105469,True,False,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505__pre2_label2_old_main,vehicle_instability_allraw__zx__2025_09_27_18_00_08__000173505,zx,2025_09_27_18_00_08,curve,strong_active,instability_ay_roll,curve1,design_curve_context,very_low,curve,primary,multi_correction,0.7163406610488892,1.1810654401779177,0.2126489579677581,0.1800484128430042,1,0,1,0.76500004529953,1.8550000041723247,0.6912081390619278,1,0,3,10,0,1,1,0,0,False,True,False,True,False,False,False,True,True,False,True,True,6,01_wrong_side,0.6741470694541931,0.5849862098693848,0,0,1,0,0,0,0.042193591594696045,False,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260,hzh,2025_09_26_21_03_19,straight,strong_active,instability_ay_roll,fix_road,design_special_event_segment,low,straight,primary,multi_correction,0.6982986927032471,1.102524995803833,0.2447065114974975,0.2219509874414103,0,0,1,0.2649999856948852,1.355000056326389,0.9463883489370346,1,0,2,24,0,1,1,0,0,False,False,False,True,False,False,False,True,True,False,False,True,4,03_severe_amp_under,0.8090734481811523,0.2725436389446258,0,0,1,1,0,0,-0.11077475547790527,True,False,True,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255,hzh,2025_09_27_19_44_05,straight,strong_active,instability_ay_roll,middle_section,design_regular_road,low,straight,primary,multi_correction,0.6659405827522278,1.1740800142288208,0.2089954763650894,0.178007864738559,0,0,1,0.024999976158142,1.840000003576279,0.9180543050169944,1,0,2,4,0,1,1,0,0,False,False,False,True,False,False,False,True,True,False,False,True,4,03_severe_amp_under,0.6825388073921204,0.516476035118103,0,0,1,0,0,0,-0.016598224639892578,True,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250,hzh,2025_09_26_20_50_27,straight,medium_active,instability_ay_roll,differentmu_road,design_high_risk_surface,very_low,straight,primary,multi_correction,0.6597217321395874,0.969879984855652,0.1045445501804351,0.1077912234635862,0,0,1,1.0850000381469729,1.864999994635582,0.8197300359606743,1,0,2,11,0,1,1,0,0,False,False,False,True,False,False,False,True,True,False,True,True,5,03_severe_amp_under,0.6503579616546631,0.0306824594736099,0,0,1,1,0,0,0.009363770484924316,False,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000221605,hzh,2025_09_26_20_50_27,straight,strong_active,instability_ay_roll,fix_road,design_special_event_segment,low,straight,secondary,reverse_correction,0.6589927673339844,0.8745843768119812,0.144476369023323,0.1651943172709826,0,0,1,0.4750000238418579,1.924999997019768,0.7644822038710117,1,0,1,10,0,0,1,0,0,False,False,False,True,False,True,True,True,True,False,False,True,6,03_severe_amp_under,0.5192587375640869,0.2883968353271484,0,0,1,1,0,0,0.13973402976989746,False,False,False,0.7532525897026062,0.7252965450286866
vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre2_label2_old_main,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860,hzh,2025_09_27_19_44_05,straight,extreme_active,instability_ay_roll,middle_section,design_regular_road,very_low,straight,secondary,multi_correction,0.6529093384742737,0.9915213584899902,0.1284171789884567,0.1295152927255405,0,0,1,0.3500000238418579,1.8849999979138372,0.3560125632211566,0,0,4,4,1,1,1,0,0,False,False,False,True,False,False,False,False,False,False,False,True,2,03_severe_amp_under,0.6728320121765137,0.3840284347534179,0,0,1,0,0,0,-0.01992267370223999,True,False,False,0.7532525897026062,0.7252965450286866
