episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn
rec_v1_byx_2025_09_28_17_35_43_0015,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,15,309.205,312.675,3.4700000000000273,309.71,309.705,,309.71,309.455,缺少一方起点,,极强,1,4.0,4.0,0.7974343535618484,无明显操作,坐标风险高,True,False,False,True,0.8,131.53167647058822,2.342155,0.07836603823529412,0.10255876470588235,0.03504607647058824,0.8464541176470588,1.9077742214542688,0.0,3.952352941176457,3.460645882352941,307.205,314.675,middle_section,连续超车负荷事件段,309.745,-1.1949999999999932,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_35_43_0018,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,18,399.09,400.87,1.7800000000000296,399.495,399.49,399.17,399.495,399.475,驾驶员先动,-0.3199999999999932,极强,1,4.0,4.0,2.8465100000000003,制动为主,坐标风险高,True,False,False,True,0.8,142.72408823529412,1.5064817647058824,0.05046494705882353,0.05171085294117647,0.020549129411764705,0.3609958764705882,0.7853384429047481,0.314651,18.5266470588235,3.4313547058823533,397.09,402.87,,,404.805,4.824999999999989,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_35_43_0020,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,20,458.72,459.96,1.2399999999999523,459.065,459.06,458.975,459.065,459.055,驾驶员先动,-0.08499999999997954,极强,1,4.0,4.0,1.1654609019835505,弱操作,坐标风险高,True,False,False,True,0.2,126.79760294117648,1.0139620588235294,0.09093368235294116,0.03398203235294117,0.013294991176470589,1.1812134705882353,2.78823737024343,0.0,0.2443235294117585,3.437301176470588,456.72,461.96,,,454.355,-4.985000000000014,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_35_43_0022,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,22,499.62,501.03,1.4099999999999682,499.92,499.895,499.905,499.92,499.93,车辆先变化,0.009999999999990905,极强,1,4.0,4.0,2.7058350236239637,方向盘快速操作,坐标风险高,False,False,False,True,1.0,114.8145,3.1906458823529413,0.12592173529411765,0.10521952941176471,0.044617161764705884,0.3888335588235293,6.473413494816949,0.242513,8.932264705882346,1.499468529411765,497.62,503.03,,,514.372,14.046999999999969,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_35_43_0025,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,25,530.165,533.17,3.0049999999999955,532.345,532.335,,532.345,532.26,缺少一方起点,,极强,1,4.0,4.0,0.5386307008904893,无明显操作,坐标风险高,True,False,False,True,0.8,128.1085,2.8225279411764705,0.08541818529411765,0.09837055882352941,0.041370288235294116,0.8173374705882352,1.2886148702433866,0.0,4.5613823529411945,1.8146859705882352,528.165,535.17,differentmu_road,低附着路段,532.365,0.6974999999999909,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_35_43_0027,byx,2025_09_28_17_35_43,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,27,568.56,585.865,17.305000000000064,575.575,570.495,568.575,575.575,581.65,驾驶员先动,-1.919999999999959,极强,5,4.0,4.0,4.0,方向盘快速操作,窗口截断,False,True,True,True,1.0,93.0088205882353,12.945382352941177,0.5514779705882353,3.5001420588235295,0.7243037647058823,5.405647058823529,20.936355709318065,0.532057,119.2839529411765,8.351191470588235,566.56,585.865,,,552.81,-24.402500000000032,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_46_00_0000,byx,2025_09_28_17_46_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,0,0.0,1.11,1.11,0.895,0.846,0.0,0.895,0.0,驾驶员先动,-0.846,极强,1,4.0,4.0,3.337856015607695,方向盘快速操作,窗口截断,True,False,False,True,0.8,19.182296212121212,0.4352840303030303,0.0801592393939394,0.017635674242424244,0.006599958181818182,1.829660454545455,15.156664677073783,0.014545454545454544,15.602757575757575,2.416794090909091,0.0,3.1100000000000003,middle_section,连续超车负荷事件段,0.23,-0.32500000000000007,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_46_00_0008,byx,2025_09_28_17_46_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,8,221.395,229.176,7.7809999999999775,223.67,223.636,222.576,223.67,222.81,驾驶员先动,-1.0600000000000023,极强,1,4.0,4.0,2.47390288327777,制动为主,坐标风险高,True,False,False,True,0.8,88.98566818181818,3.30403196969697,0.15083045454545455,0.07617790757575758,0.04569006212121212,1.0307168333333334,3.214111447199057,0.3157249090909091,62.987915151515146,3.203348181818182,219.395,231.176,fix_road,施工/维修变道/道路受限,225.402,0.11649999999997362,review,需要复核,窗口/坐标风险,人工复核后再决定
rec_v1_byx_2025_09_28_17_46_00_0010,byx,2025_09_28_17_46_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,10,276.395,278.885,2.490000000000009,277.44,,277.051,277.745,277.44,缺少一方起点,,弱,0,0.9649359743642115,2.4000000000000004,3.2,制动为主,正常,True,False,False,False,0.8,109.39442424242424,2.669857878787879,0.10334071212121212,0.1000861893939394,0.03601686666666667,0.5793569696969698,3.765020214420273,0.40825599999999995,20.706981818181802,0.42144712121212136,274.395,280.885,,,282.305,4.6650000000000205,review,边界复核样本,强度或语义边界不清,人工复核
rec_v1_byx_2025_09_28_17_46_00_0017,byx,2025_09_28_17_46_00,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,17,425.8,426.995,1.1949999999999932,426.795,426.761,425.856,426.795,425.991,驾驶员先动,-0.9050000000000296,极强,1,4.0,4.0,2.2187223424046425,方向盘快速操作,坐标风险高,True,False,False,True,0.2,133.01904545454545,1.3319087878787879,0.14475927272727274,0.05262605303030303,0.01693557272727273,1.448184984848485,10.074859549996619,0.0,0.2617575757575423,3.430839090909091,423.8,428.995,middle_section,连续超车负荷事件段,426.5,0.10249999999996362,review,需要复核,窗口/坐标风险,人工复核后再决定
