subject,session_stamp,vehicle_file,status,error,row_count,duration_s,sampling_rate_median_hz,episode_count,available_columns
gzj,2025_09_27_12_17_12,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_17_12_vehicle.csv,ok,,245899,614.749,250.00000000591172,31,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
gzj,2025_09_27_12_28_14,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_28_14_vehicle.csv,ok,,250995,627.485,400.0000000003638,23,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
hzh,2025_09_26_20_50_27,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_20_50_27_vehicle.csv,ok,,292464,731.16,200.0000000001819,32,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
hzh,2025_09_26_21_03_19,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_03_19_vehicle.csv,ok,,239433,598.581,400.0000000003638,24,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
hzh,2025_09_26_21_17_02,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,ok,,265837,664.59,200.0000000001819,39,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
hzh,2025_09_27_19_22_27,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_22_27_vehicle.csv,ok,,230782,576.952,499.9999999834017,23,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
hzh,2025_09_27_19_33_25,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_33_25_vehicle.csv,ok,,226180,565.456,250.00000000591172,28,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
hzh,2025_09_27_19_44_05,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_44_05_vehicle.csv,ok,,218664,546.66,200.0000000001819,24,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
jy,2025_09_26_17_17_11,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_17_11_vehicle.csv,ok,,270490,676.225,200.0000000001819,19,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
jy,2025_09_26_17_29_44,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_29_44_vehicle.csv,ok,,255605,639.012,400.0000000003638,17,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
jy,2025_09_26_17_40_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_40_51_vehicle.csv,ok,,219833,549.58,200.0000000001819,20,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
jy,2025_09_26_17_51_46,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_51_46_vehicle.csv,ok,,225959,564.895,200.0000000001819,19,time:StorageTime|steer:zx|SteeringWheel|ay:zx|ay|yaw_rate:zx|vyaw|roll_rate:zx|vroll|roll:zx|roll|lat_offset:zx1|lateraldistance|brake:zx|BrakePedal|accel_pedal:zx|AcceleratorPedal|ax:zx|ax|speed_kmh:zx1|v_km/h|vx:zx|vx|mu:zx1|mu|curvature:zx1|lanecurvatureXY|x:zx|x|y:zx|y
