episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn
rec_v1_byx_2025_09_28_17_15_52_0014,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,14,341.7,348.98,7.28000000000003,342.645,342.64,342.605,342.645,347.205,驾驶员先动,-0.03499999999996817,极强,2,4.0,4.0,1.990397487389474,方向盘快速操作,正常,True,False,True,True,0.8,121.3905882352941,4.272040294117647,0.15815088235294117,0.21298785294117648,0.05930728529411764,1.6042115588235293,4.908687370246216,0.0,6.213088235294094,3.4127464705882353,339.7,350.98,stop,前向急停,347.905,2.564999999999941,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0017,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,17,411.94,423.29,11.350000000000023,412.635,412.005,412.745,412.635,415.505,车辆先变化,0.7400000000000091,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.2,113.46188235294116,6.043858235294118,0.30707252941176477,0.3767650588235294,0.08369927352941177,2.6428007352941174,14.620521626285823,0.24371299999999999,15.429176470588231,3.4907823529411766,409.94,425.29,differentmu_road|middle_section,低附着路段|连续超车负荷事件段,415.61,-2.0049999999999955,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_15_52_0020,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,20,470.93,486.63,15.699999999999989,471.38,471.375,477.525,471.38,478.79,车辆先变化,6.149999999999977,极强,5,4.0,4.0,2.691821919896685,方向盘快速操作,正常,True,False,True,True,0.8,125.90188235294117,6.301909705882353,0.2810699705882353,0.481699,0.08777698823529412,3.0529644117647052,6.638529411770326,0.0,23.197235294117647,3.4695897058823526,468.93,488.63,differentmu_road,低附着路段,475.385,-3.394999999999982,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_25_18_0002,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,2,52.935,60.144,7.208999999999996,54.499,53.359,52.955,54.499,55.085,驾驶员先动,-0.40400000000000347,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,85.07120952380953,10.060460714285714,1.701577857142857,0.949342119047619,0.2666961428571428,4.670619761904762,33.710614512450604,0.404823,134.39151190476193,13.843645714285714,50.935,62.144,middle_section,连续超车负荷事件段,56.14,-0.3995000000000033,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_25_18_0003,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,3,63.67,88.78,25.11,69.265,66.06,63.749,69.265,88.419,驾驶员先动,-2.311,极强,5,4.0,4.0,3.0986096686322284,方向盘快速操作,正常,True,False,True,True,0.8,38.462516666666666,4.937921904761905,0.4032830714285714,2.400798095238095,0.33910795238095237,3.9155757142857137,15.041519047626203,0.32954199999999995,66.12103095238093,54.79438714285714,61.67,90.78,middle_section,连续超车负荷事件段,79.844,3.6189999999999998,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_25_18_0004,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,4,117.25,124.044,6.793999999999997,117.759,117.745,117.809,117.759,117.919,车辆先变化,0.06399999999999295,极强,2,4.0,4.0,1.902455800638234,方向盘快速操作,正常,True,False,True,True,0.8,121.91598809523809,4.045091904761904,0.16746433333333333,0.2333342619047619,0.05522774285714285,1.677390142857143,9.23505320862127,0.0,6.747071428571445,3.418620476190476,115.25,126.044,curve1,弯道路段,121.905,1.2580000000000098,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_25_18_0006,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,6,163.145,181.56,18.414999999999992,166.184,164.784,163.17,166.184,171.614,驾驶员先动,-1.6140000000000043,极强,5,4.0,4.0,3.5042878645911446,方向盘快速操作,正常,True,True,True,True,0.8,90.04414285714284,9.138463333333334,0.5309766904761904,1.020250857142857,0.17975930952380953,3.8139464285714286,17.010794614502036,0.22075599999999998,16.01955476190477,3.4483892857142853,161.145,183.56,curve1,弯道路段,173.38,1.027499999999975,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_25_18_0007,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,7,193.479,200.3,6.820999999999998,193.92,193.905,193.674,193.92,197.379,驾驶员先动,-0.23099999999999454,极强,3,4.0,4.0,3.6948640006033258,方向盘快速操作,正常,True,False,True,True,0.8,124.4772380952381,4.75872119047619,0.17677228571428572,0.29724288095238094,0.06446025476190476,2.29231719047619,17.9359045465044,0.0,3.570071428571424,3.360837380952381,191.479,202.3,middle_section,连续超车负荷事件段,197.115,0.22550000000001091,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_25_18_0008,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,8,226.69,242.49,15.800000000000011,226.71,226.695,228.06,226.71,235.539,车辆先变化,1.365000000000009,极强,4,4.0,4.0,4.0,方向盘快速操作,可能切在事件中段,True,False,True,True,0.8,114.40838095238095,5.192539047619047,0.21219047619047615,0.29496761904761903,0.07105666904761905,2.5033609047619043,21.104481349153076,0.0,4.095476190476177,3.373318333333333,224.69,244.49,fix_road,施工/维修变道/道路受限,225.305,-9.284999999999997,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
rec_v1_byx_2025_09_28_17_25_18_0009,byx,2025_09_28_17_25_18,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,9,248.139,272.049,23.909999999999968,249.49,248.334,248.189,249.49,249.834,驾驶员先动,-0.14500000000001023,极强,5,4.0,4.0,4.0,方向盘快速操作,正常,True,False,True,True,0.8,13.754945238095239,8.337555952380953,1.6193688095238095,0.9273695952380951,0.12217230952380952,4.946633809523809,32.230321201834464,0.7636499999999999,98.46039999999999,23.78868214285714,246.139,274.049,fix_road,施工/维修变道/道路受限,265.805,5.711000000000013,core_extreme,核心极限样本,车辆动态强且驾驶员转向明显,多输出轨迹预测
