sample_id,event_uid,subject,session_stamp,split,gt_peak_abs,is_large_response,is_difficult_peak_top20,rmse_delta_keypoint_minus_rbf,keypoint_better_rmse,selector_prob_keypoint,selector_threshold,selected_model,oracle_best_model,rmse_rbf,rmse_keypoint,rmse_best_of_two,rmse_oracle_gain_over_rbf,selector_used_keypoint,oracle_used_keypoint,rmse__keypoint_residual_vehicle_transformer_no_subject,rmse__oracle_best_of_rbf_keypoint_upper_bound,rmse__rbf_kernel_ridge_context_no_subject,rmse__selector_logreg_rbf_keypoint_no_subject,selector_correct_choice,selector_regret,oracle_gain_over_selector,oracle_gain_over_rbf
vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_19_45_40__000341005,cwh,2025_09_26_19_45_40,train,1.523326754570007,0,0,0.1573789417743683,0,0.6126501562747686,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.3621476,0.5195239,0.3621476,0.0,1,0,0.5195239186286926,0.36214759945869446,0.36214759945869446,0.5195239186286926,0,0.15737631916999817,0.15737631916999817,0.0
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000204045,cwh,2025_09_26_20_06_19,train,1.6385160684585571,1,0,0.1921759247779846,0,0.6218323417626453,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.34374702,0.5359215,0.34374702,0.0,1,0,0.5359215140342712,0.34374701976776123,0.34374701976776123,0.5359215140342712,0,0.19217449426651,0.19217449426651,0.0
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000315730,cwh,2025_09_26_20_06_19,train,1.178966999053955,0,0,0.1741422116756439,0,0.6067353531119668,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.33743438,0.51157343,0.33743438,0.0,1,0,0.5115734338760376,0.3374343812465668,0.3374343812465668,0.5115734338760376,0,0.17413905262947083,0.17413905262947083,0.0
vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390__pre3_label3_response_coverage,vehicle_instability_allraw__cwh__2025_09_26_20_06_19__000480390,cwh,2025_09_26_20_06_19,train,0.1926840245723724,0,0,0.0930826775729656,0,0.0229862668610477,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.0073422827,0.10042697,0.0073422827,0.0,0,0,0.10042697191238403,0.007342282682657242,0.007342282682657242,0.007342282682657242,1,0.0,0.0,0.0
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000233845,gf,2025_09_26_10_18_49,train,1.8683719635009768,1,1,0.2732186913490295,0,0.4980086596088069,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.60412365,0.8773491,0.60412365,0.0,0,0,0.8773490786552429,0.6041236519813538,0.6041236519813538,0.6041236519813538,1,0.0,0.0,0.0
vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_18_49__000439375,gf,2025_09_26_10_18_49,train,0.4361581206321716,0,0,0.4129576906561851,0,0.7350382324387484,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.104487285,0.5174403,0.104487285,0.0,1,0,0.5174403190612793,0.10448727756738663,0.10448727756738663,0.5174403190612793,0,0.41295304149389267,0.41295304149389267,0.0
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000180655,gf,2025_09_26_10_40_59,train,2.2230300903320312,1,1,0.2107055485248565,0,0.4737950476916748,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.45207408,0.66277033,0.45207408,0.0,0,0,0.6627703309059143,0.4520740807056427,0.4520740807056427,0.4520740807056427,1,0.0,0.0,0.0
vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065__pre3_label3_response_coverage,vehicle_instability_allraw__gf__2025_09_26_10_40_59__000232065,gf,2025_09_26_10_40_59,train,2.17851996421814,1,1,0.3465800881385802,0,0.6601706315873788,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.5895392,0.93612224,0.5895392,0.0,1,0,0.9361222386360168,0.5895391702651978,0.5895391702651978,0.9361222386360168,0,0.3465830683708191,0.3465830683708191,0.0
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000180015,gzj,2025_09_27_11_41_47,train,1.095018982887268,0,0,0.1120384484529495,0,0.4920804840650014,0.55,rbf_kernel_ridge_context_no_subject,rbf_kernel_ridge_context_no_subject,0.18431322,0.29635054,0.18431322,0.0,0,0,0.29635053873062134,0.18431322276592255,0.18431322276592255,0.18431322276592255,1,0.0,0.0,0.0
vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485__pre3_label3_response_coverage,vehicle_instability_allraw__gzj__2025_09_27_11_41_47__000211485,gzj,2025_09_27_11_41_47,train,1.0971187353134155,0,0,0.0593367516994476,0,0.6599201754347748,0.55,keypoint_residual_vehicle_transformer_no_subject,rbf_kernel_ridge_context_no_subject,0.2552617,0.31459618,0.2552617,0.0,1,0,0.31459617614746094,0.25526168942451477,0.25526168942451477,0.31459617614746094,0,0.05933448672294617,0.05933448672294617,0.0
