seed,fold,population,model,channel,windows,mae,rmse,endpoint_mae
20260902,1,low_mu_v2_70,linear,action_macro,26,1.3235281705856323,2.7219908237457275,2.02514910697937
20260902,1,low_mu_v2_70,extra_trees,steer_deg,26,2.453174352645874,3.515716075897217,2.9495084285736084
20260902,1,low_mu_v2_70,extra_trees,brake,26,0.008262905292212963,0.025849469006061554,0.014625721611082554
20260902,1,low_mu_v2_70,extra_trees,accelerator,26,0.06979365646839142,0.11880241334438324,0.09245266020298004
20260902,1,low_mu_v2_70,extra_trees,speed_kmh,26,0.20760619640350342,0.3266015946865082,0.43435022234916687
20260902,1,low_mu_v2_70,extra_trees,action_macro,26,0.6839221119880676,1.4614256620407104,0.9104897975921631
20260902,1,low_mu_v2_70,transformer,steer_deg,26,3.075843334197998,4.324042320251465,3.345951557159424
20260902,1,low_mu_v2_70,transformer,brake,26,0.00782538577914238,0.026185307651758194,0.011899607256054878
20260902,1,low_mu_v2_70,transformer,accelerator,26,0.06441130489110947,0.12063011527061462,0.08295965194702148
20260902,1,low_mu_v2_70,transformer,speed_kmh,26,0.2329755276441574,0.4055859446525574,0.44939666986465454
20260902,1,low_mu_v2_70,transformer,action_macro,26,0.6866340637207031,1.5102771520614624,0.8554585576057434
20260902,1,low_mu_v2_70,et_transformer_residual,steer_deg,26,2.5914976596832275,3.783022165298462,3.1358044147491455
20260902,1,low_mu_v2_70,et_transformer_residual,brake,26,0.007882949896156788,0.021993368864059448,0.011763999238610268
20260902,1,low_mu_v2_70,et_transformer_residual,accelerator,26,0.06323593854904175,0.11980580538511276,0.08415203541517258
20260902,1,low_mu_v2_70,et_transformer_residual,speed_kmh,26,0.18211373686790466,0.29828888177871704,0.3884221613407135
20260902,1,low_mu_v2_70,et_transformer_residual,action_macro,26,0.6468923687934875,1.4727872610092163,0.8484939336776733
20260902,1,high_dynamic_not_started,hold,steer_deg,2266,12.915416717529297,33.95083999633789,27.57421112060547
20260902,1,high_dynamic_not_started,hold,brake,2266,0.05204841494560242,0.11962547153234482,0.08938103169202805
20260902,1,high_dynamic_not_started,hold,accelerator,2266,0.037488263100385666,0.11867737025022507,0.0781068205833435
20260902,1,high_dynamic_not_started,hold,speed_kmh,2266,4.004502296447754,6.384419918060303,7.211670875549316
20260902,1,high_dynamic_not_started,hold,action_macro,2266,1.4579389095306396,4.376612663269043,2.954866647720337
20260902,1,high_dynamic_not_started,linear,steer_deg,2266,13.246702194213867,34.031982421875,28.280925750732422
20260902,1,high_dynamic_not_started,linear,brake,2266,0.0682942271232605,0.12283319979906082,0.1080608069896698
20260902,1,high_dynamic_not_started,linear,accelerator,2266,0.040078055113554,0.12003236263990402,0.08299879729747772
20260902,1,high_dynamic_not_started,linear,speed_kmh,2266,1.6503187417984009,5.2178955078125,3.677694320678711
20260902,1,high_dynamic_not_started,linear,action_macro,2266,1.6055954694747925,4.401717185974121,3.159125566482544
20260902,1,high_dynamic_not_started,extra_trees,steer_deg,2266,14.333710670471191,28.11104965209961,26.155481338500977
20260902,1,high_dynamic_not_started,extra_trees,brake,2266,0.05145090073347092,0.10192007571458817,0.08216395974159241
20260902,1,high_dynamic_not_started,extra_trees,accelerator,2266,0.047916896641254425,0.11334351450204849,0.0938480943441391
20260902,1,high_dynamic_not_started,extra_trees,speed_kmh,2266,1.2928556203842163,3.23368763923645,2.65691876411438
20260902,1,high_dynamic_not_started,extra_trees,action_macro,2266,1.6180328130722046,3.6924712657928467,2.917112350463867
20260902,1,high_dynamic_not_started,transformer,steer_deg,2266,13.307979583740234,27.732561111450195,25.2669620513916
20260902,1,high_dynamic_not_started,transformer,brake,2266,0.05081349238753319,0.11026859283447266,0.0822601243853569
20260902,1,high_dynamic_not_started,transformer,accelerator,2266,0.0447176918387413,0.11587957292795181,0.08505642414093018
20260902,1,high_dynamic_not_started,transformer,speed_kmh,2266,1.96751070022583,4.5080718994140625,3.9091856479644775
20260902,1,high_dynamic_not_started,transformer,action_macro,2266,1.5240731239318848,3.696786403656006,2.799907922744751
20260902,1,high_dynamic_not_started,et_transformer_residual,steer_deg,2266,14.312414169311523,28.48407745361328,26.408964157104492
20260902,1,high_dynamic_not_started,et_transformer_residual,brake,2266,0.050512462854385376,0.10635387152433395,0.08030679821968079
20260902,1,high_dynamic_not_started,et_transformer_residual,accelerator,2266,0.04482121393084526,0.11593291163444519,0.08687923103570938
20260902,1,high_dynamic_not_started,et_transformer_residual,speed_kmh,2266,1.2903921604156494,3.2307639122009277,2.651888132095337
20260902,1,high_dynamic_not_started,et_transformer_residual,action_macro,2266,1.5897188186645508,3.7574076652526855,2.875171184539795
20260902,1,action_started,hold,steer_deg,82194,10.86745834350586,27.353967666625977,18.07960319519043
20260902,1,action_started,hold,brake,82194,0.013378152623772621,0.059950340539216995,0.022763120010495186
20260902,1,action_started,hold,accelerator,82194,0.06043718382716179,0.11861572414636612,0.0850960910320282
20260902,1,action_started,hold,speed_kmh,82194,1.4590356349945068,2.7651026248931885,2.7534902095794678
20260902,1,action_started,hold,action_macro,82194,1.216599464416504,3.5116515159606934,1.9243685007095337
20260902,1,action_started,linear,steer_deg,82194,16.27355194091797,42.77507400512695,32.0511474609375
20260902,1,action_started,linear,brake,82194,0.04355202615261078,0.08302997052669525,0.05737074837088585
20260902,1,action_started,linear,accelerator,82194,0.07914553582668304,0.1397354006767273,0.12293199449777603
20260902,1,action_started,linear,speed_kmh,82194,0.550717294216156,1.7661243677139282,1.2006677389144897
20260902,1,action_started,linear,action_macro,82194,1.9028877019882202,5.283819675445557,3.3387608528137207
20260902,1,action_started,extra_trees,steer_deg,82194,8.527263641357422,20.222885131835938,13.282859802246094
20260902,1,action_started,extra_trees,brake,82194,0.014168508350849152,0.05209316685795784,0.02396467514336109
20260902,1,action_started,extra_trees,accelerator,82194,0.06615583598613739,0.11341123282909393,0.09670019149780273
20260902,1,action_started,extra_trees,speed_kmh,82194,0.46655887365341187,1.2535704374313354,0.9922945499420166
20260902,1,action_started,extra_trees,action_macro,82194,1.1039795875549316,2.7440202236175537,1.6899566650390625
20260902,1,action_started,transformer,steer_deg,82194,8.84896183013916,21.434404373168945,13.773415565490723
20260902,1,action_started,transformer,brake,82194,0.015004122629761696,0.056702956557273865,0.024109141901135445
20260902,1,action_started,transformer,accelerator,82194,0.06198854371905327,0.1147199422121048,0.0864851325750351
20260902,1,action_started,transformer,speed_kmh,82194,0.5937061905860901,1.6917989253997803,1.2016218900680542
20260902,1,action_started,transformer,action_macro,82194,1.1032150983810425,2.8825740814208984,1.6555228233337402
20260902,1,action_started,et_transformer_residual,steer_deg,82194,8.435099601745605,20.07316017150879,13.165335655212402
20260902,1,action_started,et_transformer_residual,brake,82194,0.014446256682276726,0.05411288142204285,0.0225612111389637
20260902,1,action_started,et_transformer_residual,accelerator,82194,0.06039872765541077,0.11342418938875198,0.08591479063034058
20260902,1,action_started,et_transformer_residual,speed_kmh,82194,0.45487114787101746,1.2391703128814697,0.9473888278007507
20260902,1,action_started,et_transformer_residual,action_macro,82194,1.0613065958023071,2.734628677368164,1.6008622646331787
20260902,1,ordinary,hold,steer_deg,16181,3.2138185501098633,8.328680038452148,5.813233375549316
20260902,1,ordinary,hold,brake,16181,0.016277208924293518,0.058496709913015366,0.026874255388975143
20260902,1,ordinary,hold,accelerator,16181,0.032561443746089935,0.08884000033140182,0.052396852523088455
20260902,1,ordinary,hold,speed_kmh,16181,1.1261942386627197,1.9044803380966187,2.1453895568847656
20260902,1,ordinary,hold,action_macro,16181,0.5398455262184143,1.5599615573883057,0.9160230159759521
20260902,1,ordinary,linear,steer_deg,16181,3.6922452449798584,8.735616683959961,7.032621383666992
20260902,1,ordinary,linear,brake,16181,0.03806126117706299,0.06220170855522156,0.04888051003217697
20260902,1,ordinary,linear,accelerator,16181,0.03794923797249794,0.09245270490646362,0.06305766850709915
20260902,1,ordinary,linear,speed_kmh,16181,0.2746330201625824,0.8818202614784241,0.6586576700210571
20260902,1,ordinary,linear,action_macro,16181,0.7528862357139587,1.6349374055862427,1.2150959968566895
20260902,1,ordinary,extra_trees,steer_deg,16181,2.9838526248931885,7.327180862426758,5.130532264709473
20260902,1,ordinary,extra_trees,brake,16181,0.02150840498507023,0.05598745495080948,0.035267606377601624
20260902,1,ordinary,extra_trees,accelerator,16181,0.04464753344655037,0.08541197329759598,0.07236883044242859
20260902,1,ordinary,extra_trees,speed_kmh,16181,0.37989792227745056,0.9591758847236633,0.8379297256469727
20260902,1,ordinary,extra_trees,action_macro,16181,0.6399630308151245,1.4513697624206543,1.0596116781234741
20260902,1,ordinary,transformer,steer_deg,16181,3.5616753101348877,7.433957099914551,5.736313819885254
20260902,1,ordinary,transformer,brake,16181,0.018825313076376915,0.05589506775140762,0.03018050640821457
20260902,1,ordinary,transformer,accelerator,16181,0.03819749504327774,0.08519527316093445,0.059372078627347946
20260902,1,ordinary,transformer,speed_kmh,16181,0.42594748735427856,1.0042049884796143,0.8665213584899902
20260902,1,ordinary,transformer,action_macro,16181,0.6175971031188965,1.4564276933670044,0.9794381856918335
20260902,1,ordinary,et_transformer_residual,steer_deg,16181,3.0238146781921387,7.353784561157227,5.142430782318115
20260902,1,ordinary,et_transformer_residual,brake,16181,0.018683385103940964,0.055645763874053955,0.029758574441075325
20260902,1,ordinary,et_transformer_residual,accelerator,16181,0.03799887001514435,0.08473934978246689,0.060448311269283295
20260902,1,ordinary,et_transformer_residual,speed_kmh,16181,0.39489996433258057,0.9651968479156494,0.8625519871711731
20260902,1,ordinary,et_transformer_residual,action_macro,16181,0.5794693827629089,1.4461451768875122,0.9442079067230225
20260902,1,release_v3_historical_2323,hold,steer_deg,730,25.63962745666504,40.9254264831543,39.765892028808594
20260902,1,release_v3_historical_2323,linear,steer_deg,730,36.06099319458008,54.93734359741211,78.80657958984375
20260902,1,release_v3_historical_2323,extra_trees,steer_deg,730,18.11553955078125,28.32822036743164,28.020029067993164
20260902,1,release_v3_historical_2323,transformer,steer_deg,730,18.144123077392578,29.433685302734375,28.046993255615234
20260902,1,release_v3_historical_2323,et_transformer_residual,steer_deg,730,17.59048843383789,27.714872360229492,27.65826416015625
20260902,2,all_continuous,hold,steer_deg,101916,9.222911834716797,20.50787353515625,15.210086822509766
20260902,2,all_continuous,hold,brake,101916,0.010616948828101158,0.05168492719531059,0.01797446236014366
20260902,2,all_continuous,hold,accelerator,101916,0.05321440100669861,0.10523558408021927,0.0767965018749237
20260902,2,all_continuous,hold,speed_kmh,101916,1.2227205038070679,2.373476028442383,2.300454616546631
20260902,2,all_continuous,hold,action_macro,101916,1.0404024124145508,2.7277133464813232,1.6458121538162231
20260902,2,all_continuous,linear,steer_deg,101916,13.695425033569336,31.084203720092773,26.77815818786621
20260902,2,all_continuous,linear,brake,101916,0.03793998062610626,0.06807903945446014,0.047522012144327164
20260902,2,all_continuous,linear,accelerator,101916,0.06915103644132614,0.1274200826883316,0.11067040264606476
20260902,2,all_continuous,linear,speed_kmh,101916,0.4360333979129791,1.4701712131500244,0.9624417424201965
20260902,2,all_continuous,linear,action_macro,101916,1.6269687414169312,3.958003520965576,2.839826822280884
20260902,2,all_continuous,extra_trees,steer_deg,101916,7.10040807723999,14.886218070983887,10.978109359741211
20260902,2,all_continuous,extra_trees,brake,101916,0.01450684666633606,0.046946022659540176,0.02451734058558941
20260902,2,all_continuous,extra_trees,accelerator,101916,0.05812545120716095,0.09909824281930923,0.08510804176330566
20260902,2,all_continuous,extra_trees,speed_kmh,101916,0.3824012577533722,1.0459644794464111,0.8429734110832214
20260902,2,all_continuous,extra_trees,action_macro,101916,0.9575757384300232,2.134927272796631,1.4627097845077515
20260902,2,all_continuous,transformer,steer_deg,101916,7.217485427856445,15.498132705688477,11.145389556884766
20260902,2,all_continuous,transformer,brake,101916,0.013395640067756176,0.048430804163217545,0.02104448527097702
20260902,2,all_continuous,transformer,accelerator,101916,0.05644441395998001,0.10185687243938446,0.07982634007930756
20260902,2,all_continuous,transformer,speed_kmh,101916,0.4616641700267792,1.28815495967865,0.9562747478485107
20260902,2,all_continuous,transformer,action_macro,101916,0.9467663168907166,2.21328067779541,1.4154982566833496
20260902,2,all_continuous,et_transformer_residual,steer_deg,101916,7.046358585357666,14.76736068725586,10.857832908630371
20260902,2,all_continuous,et_transformer_residual,brake,101916,0.012607034295797348,0.0469529964029789,0.020724471658468246
20260902,2,all_continuous,et_transformer_residual,accelerator,101916,0.05477661266922951,0.10037138313055038,0.07937716692686081
20260902,2,all_continuous,et_transformer_residual,speed_kmh,101916,0.38684117794036865,1.039297342300415,0.8161734342575073
