seed,fold,model,subject_alias,recording_alias,time_block_id,windows,action_nmae
20260902,1,hold,S002,R014,R014-B0044,50,0.5416179895401001
20260902,1,hold,S002,R014,R014-B0045,50,0.5163058638572693
20260902,1,hold,S002,R014,R014-B0046,50,0.9974793195724487
20260902,1,hold,S002,R014,R014-B0047,50,0.6143655180931091
20260902,1,hold,S002,R014,R014-B0048,50,0.6485340595245361
20260902,1,hold,S002,R014,R014-B0049,50,0.7081751227378845
20260902,1,hold,S002,R014,R014-B0050,50,0.41326314210891724
20260902,1,hold,S002,R014,R014-B0051,50,0.2561001479625702
20260902,1,hold,S002,R014,R014-B0052,50,0.36846300959587097
20260902,1,hold,S002,R014,R014-B0053,50,1.1628599166870117
20260902,1,hold,S002,R014,R014-B0054,43,0.4135643243789673
20260902,1,hold,S002,R015,R015-B0000,40,0.4889439642429352
20260902,1,hold,S002,R015,R015-B0001,50,0.26743587851524353
20260902,1,hold,S002,R015,R015-B0002,50,0.2790936529636383
20260902,1,hold,S002,R015,R015-B0003,50,0.3529544770717621
20260902,1,hold,S002,R015,R015-B0004,50,0.3324417769908905
20260902,1,hold,S002,R015,R015-B0005,50,0.5127647519111633
20260902,1,hold,S002,R015,R015-B0006,50,1.4978957176208496
20260902,1,hold,S002,R015,R015-B0007,50,0.42555177211761475
20260902,1,hold,S002,R015,R015-B0008,50,0.4312615692615509
20260902,1,hold,S002,R015,R015-B0009,50,1.0352071523666382
20260902,1,hold,S002,R015,R015-B0010,50,0.6061108112335205
20260902,1,hold,S002,R015,R015-B0011,50,0.5643285512924194
20260902,1,hold,S002,R015,R015-B0012,50,0.6051125526428223
20260902,1,hold,S002,R015,R015-B0013,50,1.1509385108947754
20260902,1,hold,S002,R015,R015-B0014,50,0.7335175275802612
20260902,1,hold,S002,R015,R015-B0015,50,0.4066408574581146
20260902,1,hold,S002,R015,R015-B0016,50,1.2846935987472534
20260902,1,hold,S002,R015,R015-B0017,50,0.6493927240371704
20260902,1,hold,S002,R015,R015-B0018,50,0.3906766176223755
20260902,1,hold,S002,R015,R015-B0019,50,1.0886316299438477
20260902,1,hold,S002,R015,R015-B0020,50,0.5057779550552368
20260902,1,hold,S002,R015,R015-B0021,50,1.5036426782608032
20260902,1,hold,S002,R015,R015-B0022,50,1.2295732498168945
20260902,1,hold,S002,R015,R015-B0023,50,0.5647690296173096
20260902,1,hold,S002,R015,R015-B0024,50,0.34823495149612427
20260902,1,hold,S002,R015,R015-B0025,50,0.32423266768455505
20260902,1,hold,S002,R015,R015-B0026,50,0.7331696152687073
20260902,1,hold,S002,R015,R015-B0027,50,0.8577206134796143
20260902,1,hold,S002,R015,R015-B0028,50,0.8970611691474915
20260902,1,hold,S002,R015,R015-B0029,50,0.689250648021698
20260902,1,hold,S002,R015,R015-B0030,50,1.4232426881790161
20260902,1,hold,S002,R015,R015-B0031,50,0.5321325063705444
20260902,1,hold,S002,R015,R015-B0032,50,0.8631194233894348
20260902,1,hold,S002,R015,R015-B0033,50,0.8005325794219971
20260902,1,hold,S002,R015,R015-B0034,50,2.2668466567993164
20260902,1,hold,S002,R015,R015-B0035,50,0.5984266996383667
20260902,1,hold,S002,R015,R015-B0036,50,0.4649101197719574
20260902,1,hold,S002,R015,R015-B0037,50,0.46551552414894104
20260902,1,hold,S002,R015,R015-B0038,50,0.37561848759651184
20260902,1,hold,S002,R015,R015-B0039,50,0.5489242076873779
20260902,1,hold,S002,R015,R015-B0040,50,1.5792033672332764
20260902,1,hold,S002,R015,R015-B0041,50,1.1814601421356201
20260902,1,hold,S002,R015,R015-B0042,50,0.4606437385082245
20260902,1,hold,S002,R015,R015-B0043,50,0.43209129571914673
20260902,1,hold,S002,R015,R015-B0044,50,0.5819594860076904
20260902,1,hold,S002,R015,R015-B0045,50,0.6302874684333801
20260902,1,hold,S002,R015,R015-B0046,50,0.5198690891265869
20260902,1,hold,S002,R015,R015-B0047,50,0.7039302587509155
20260902,1,hold,S002,R015,R015-B0048,50,0.8564213514328003
20260902,1,hold,S002,R015,R015-B0049,50,0.4977174699306488
20260902,1,hold,S002,R015,R015-B0050,50,0.3199571371078491
20260902,1,hold,S002,R015,R015-B0051,50,0.2778800129890442
20260902,1,hold,S002,R015,R015-B0052,50,0.8961933851242065
20260902,1,hold,S002,R015,R015-B0053,40,0.7251489162445068
20260902,1,hold,S002,R016,R016-B0000,40,0.33267804980278015
20260902,1,hold,S002,R016,R016-B0001,50,0.251700222492218
20260902,1,hold,S002,R016,R016-B0002,50,0.3439532518386841
20260902,1,hold,S002,R016,R016-B0003,50,0.40280991792678833
20260902,1,hold,S002,R016,R016-B0004,50,0.756976306438446
20260902,1,hold,S002,R016,R016-B0005,50,0.7260581851005554
20260902,1,hold,S002,R016,R016-B0006,50,0.3192518949508667
20260902,1,hold,S002,R016,R016-B0007,50,0.5265297889709473
20260902,1,hold,S002,R016,R016-B0008,50,1.1445313692092896
20260902,1,hold,S002,R016,R016-B0009,50,0.38590729236602783
20260902,1,hold,S002,R016,R016-B0010,50,0.4394031763076782
20260902,1,hold,S002,R016,R016-B0011,50,0.25771430134773254
20260902,1,hold,S002,R016,R016-B0012,50,1.1611212491989136
20260902,1,hold,S002,R016,R016-B0013,50,1.1992172002792358
20260902,1,hold,S002,R016,R016-B0014,50,0.6017085313796997
20260902,1,hold,S002,R016,R016-B0015,50,1.034679889678955
20260902,1,hold,S002,R016,R016-B0016,50,0.7269464135169983
20260902,1,hold,S002,R016,R016-B0017,50,0.4789782762527466
20260902,1,hold,S002,R016,R016-B0018,50,1.4368664026260376
20260902,1,hold,S002,R016,R016-B0019,50,1.0007905960083008
20260902,1,hold,S002,R016,R016-B0020,50,1.4747387170791626
20260902,1,hold,S002,R016,R016-B0021,50,1.3387607336044312
20260902,1,hold,S002,R016,R016-B0022,50,0.7016304135322571
20260902,1,hold,S002,R016,R016-B0023,50,0.5434539318084717
20260902,1,hold,S002,R016,R016-B0024,50,0.6988607048988342
20260902,1,hold,S002,R016,R016-B0025,50,0.7643749713897705
20260902,1,hold,S002,R016,R016-B0026,50,1.4172608852386475
20260902,1,hold,S002,R016,R016-B0027,50,0.8485115170478821
20260902,1,hold,S002,R016,R016-B0028,50,0.8980036377906799
20260902,1,hold,S002,R016,R016-B0029,50,1.3199684619903564
20260902,1,hold,S002,R016,R016-B0030,50,0.5857433676719666
20260902,1,hold,S002,R016,R016-B0031,50,1.2237563133239746
20260902,1,hold,S002,R016,R016-B0032,50,0.8197933435440063
20260902,1,hold,S002,R016,R016-B0033,50,1.3883042335510254
20260902,1,hold,S002,R016,R016-B0034,50,0.3132300078868866
20260902,1,hold,S002,R016,R016-B0035,50,0.4568730890750885
20260902,1,hold,S002,R016,R016-B0036,50,0.21507331728935242
20260902,1,hold,S002,R016,R016-B0037,50,0.40745776891708374
20260902,1,hold,S002,R016,R016-B0038,50,0.8214171528816223
20260902,1,hold,S002,R016,R016-B0039,50,2.040043592453003
20260902,1,hold,S002,R016,R016-B0040,50,0.7591738700866699
20260902,1,hold,S002,R016,R016-B0041,50,0.4728192389011383
20260902,1,hold,S002,R016,R016-B0042,50,0.6085030436515808
20260902,1,hold,S002,R016,R016-B0043,50,0.36692431569099426
20260902,1,hold,S002,R016,R016-B0044,50,0.8344181776046753
20260902,1,hold,S002,R016,R016-B0045,50,0.5787982940673828
20260902,1,hold,S002,R016,R016-B0046,50,0.5517171621322632
20260902,1,hold,S002,R016,R016-B0047,50,0.6170030832290649
20260902,1,hold,S002,R016,R016-B0048,50,0.627119779586792
20260902,1,hold,S002,R016,R016-B0049,50,0.24423529207706451
20260902,1,hold,S002,R016,R016-B0050,50,0.9750087261199951
20260902,1,hold,S002,R016,R016-B0051,50,1.0110766887664795
20260902,1,hold,S002,R016,R016-B0052,25,0.793087899684906
20260902,1,hold,S002,R017,R017-B0000,40,0.5898277759552002
20260902,1,hold,S002,R017,R017-B0001,50,0.35271933674812317
20260902,1,hold,S002,R017,R017-B0002,50,0.515128493309021
20260902,1,hold,S002,R017,R017-B0003,50,0.3671005368232727
20260902,1,hold,S002,R017,R017-B0004,50,0.3238277733325958
20260902,1,hold,S002,R017,R017-B0005,50,1.9355605840682983
20260902,1,hold,S002,R017,R017-B0006,50,0.4939243197441101
20260902,1,hold,S002,R017,R017-B0007,50,0.3367512822151184
20260902,1,hold,S002,R017,R017-B0008,50,0.901420533657074
20260902,1,hold,S002,R017,R017-B0009,50,0.4729440212249756
