seed,fold,population,model,subject_alias,channel,windows,mae,rmse,endpoint_mae
20260903,2,ordinary,hold,S022,action_macro,172,0.6574165225028992,1.4348334074020386,1.0811457633972168
20260903,2,ordinary,hold,S024,steer_deg,935,2.2143149375915527,5.302097797393799,3.6612751483917236
20260903,2,ordinary,hold,S024,brake,935,0.012288377620279789,0.060894474387168884,0.023626046255230904
20260903,2,ordinary,hold,S024,accelerator,935,0.0356176532804966,0.1017356663942337,0.06677969545125961
20260903,2,ordinary,hold,S024,speed_kmh,935,0.933661937713623,1.400799036026001,1.783003330230713
20260903,2,ordinary,hold,S024,action_macro,935,0.4669945538043976,1.4997559785842896,0.8467898964881897
20260903,2,ordinary,hold,S028,steer_deg,827,2.3702244758605957,5.339789867401123,4.400529384613037
20260903,2,ordinary,hold,S028,brake,827,0.004570711869746447,0.023407496511936188,0.00819516833871603
20260903,2,ordinary,hold,S028,accelerator,827,0.019771894440054893,0.0461893267929554,0.02910027652978897
20260903,2,ordinary,hold,S028,speed_kmh,827,1.1380771398544312,1.9746347665786743,2.1393187046051025
20260903,2,ordinary,hold,S028,action_macro,827,0.3202989995479584,0.8588907122612,0.5420049428939819
20260903,2,ordinary,hold,S031,steer_deg,1819,5.2263641357421875,11.728001594543457,9.716024398803711
20260903,2,ordinary,hold,S031,brake,1819,0.010995152406394482,0.04225684702396393,0.01978054828941822
20260903,2,ordinary,hold,S031,accelerator,1819,0.03286583721637726,0.07758834213018417,0.05098661035299301
20260903,2,ordinary,hold,S031,speed_kmh,1819,0.8744974136352539,1.3312721252441406,1.6429096460342407
20260903,2,ordinary,hold,S031,action_macro,1819,0.640830934047699,1.6954916715621948,1.1195160150527954
20260903,2,ordinary,hold,S033,steer_deg,2218,4.008579254150391,8.364625930786133,7.013118267059326
20260903,2,ordinary,hold,S033,brake,2218,0.010882883332669735,0.041045770049095154,0.018477244302630424
20260903,2,ordinary,hold,S033,accelerator,2218,0.024073589593172073,0.057104915380477905,0.036275651305913925
20260903,2,ordinary,hold,S033,speed_kmh,2218,0.7556008100509644,1.4224350452423096,1.4453474283218384
20260903,2,ordinary,hold,S033,action_macro,2218,0.5002817511558533,1.2618728876113892,0.8325604796409607
20260903,2,ordinary,hold,S036,steer_deg,571,4.341370582580566,8.406005859375,7.258617401123047
20260903,2,ordinary,hold,S036,brake,571,0.009280918166041374,0.05089491605758667,0.017766382545232773
20260903,2,ordinary,hold,S036,accelerator,571,0.05574579909443855,0.13150350749492645,0.1014271229505539
20260903,2,ordinary,hold,S036,speed_kmh,571,0.9829323887825012,1.4315094947814941,1.851686954498291
20260903,2,ordinary,hold,S036,action_macro,571,0.7229361534118652,1.895593523979187,1.2785311937332153
20260903,2,ordinary,hold,S039,steer_deg,2878,5.330043792724609,11.125617027282715,8.831575393676758
20260903,2,ordinary,hold,S039,brake,2878,0.006472884677350521,0.045356184244155884,0.01211551297456026
20260903,2,ordinary,hold,S039,accelerator,2878,0.020735284313559532,0.0716802328824997,0.03303184360265732
20260903,2,ordinary,hold,S039,speed_kmh,2878,0.8417727947235107,1.4478325843811035,1.6072640419006348
20260903,2,ordinary,hold,S039,action_macro,2878,0.5367240905761719,1.615473985671997,0.889754056930542
20260903,2,ordinary,hold,S040,steer_deg,494,3.4014198780059814,6.056819915771484,5.6595778465271
20260903,2,ordinary,hold,S040,brake,494,0.01919882744550705,0.09695840626955032,0.03223377466201782
20260903,2,ordinary,hold,S040,accelerator,494,0.01922382228076458,0.052234504371881485,0.0318453423678875
20260903,2,ordinary,hold,S040,speed_kmh,494,1.0507478713989258,2.146656036376953,2.018812656402588
20260903,2,ordinary,hold,S040,action_macro,494,0.4829123318195343,1.4513388872146606,0.8044992685317993
20260903,2,ordinary,linear,S001,steer_deg,1628,5.575848579406738,12.080246925354004,10.452790260314941
20260903,2,ordinary,linear,S001,brake,1628,0.040640003979206085,0.06717287003993988,0.04938645660877228
20260903,2,ordinary,linear,S001,accelerator,1628,0.042598873376846313,0.09530992805957794,0.07148239761590958
20260903,2,ordinary,linear,S001,speed_kmh,1628,0.3071347773075104,1.1124053001403809,0.7619646787643433
20260903,2,ordinary,linear,S001,action_macro,1628,0.9266490936279297,1.938707947731018,1.5026451349258423
20260903,2,ordinary,linear,S005,steer_deg,4144,4.2897515296936035,7.226011753082275,7.613931179046631
20260903,2,ordinary,linear,S005,brake,4144,0.036240026354789734,0.04901345074176788,0.04557175561785698
20260903,2,ordinary,linear,S005,accelerator,4144,0.04313736408948898,0.09154988080263138,0.07449163496494293
20260903,2,ordinary,linear,S005,speed_kmh,4144,0.2173352837562561,0.5947539806365967,0.5647961497306824
20260903,2,ordinary,linear,S005,action_macro,4144,0.8151660561561584,1.460831880569458,1.3080180883407593
20260903,2,ordinary,linear,S007,steer_deg,716,1.8169618844985962,3.0946531295776367,3.56978702545166
20260903,2,ordinary,linear,S007,brake,716,0.03871432691812515,0.056308016180992126,0.05104300007224083
20260903,2,ordinary,linear,S007,accelerator,716,0.02150157280266285,0.05589830130338669,0.03762073069810867
20260903,2,ordinary,linear,S007,speed_kmh,716,0.2226724475622177,0.6844500303268433,0.5630819797515869
20260903,2,ordinary,linear,S007,action_macro,716,0.5225701332092285,0.9833887219429016,0.8290773630142212
20260903,2,ordinary,linear,S009,steer_deg,874,3.8797099590301514,7.99955940246582,7.243138313293457
20260903,2,ordinary,linear,S009,brake,874,0.03672367334365845,0.05723192170262337,0.04425692558288574
20260903,2,ordinary,linear,S009,accelerator,874,0.03358394280076027,0.0823746994137764,0.057253576815128326
20260903,2,ordinary,linear,S009,speed_kmh,874,0.12075770646333694,0.37360942363739014,0.31278395652770996
20260903,2,ordinary,linear,S009,action_macro,874,0.7273648381233215,1.4814577102661133,1.1596126556396484
20260903,2,ordinary,linear,S017,steer_deg,525,3.2062745094299316,6.941093444824219,5.860355377197266
20260903,2,ordinary,linear,S017,brake,525,0.023531408980488777,0.09475353360176086,0.04217522591352463
20260903,2,ordinary,linear,S017,accelerator,525,0.06801121681928635,0.15015995502471924,0.10774929821491241
20260903,2,ordinary,linear,S017,speed_kmh,525,0.1985076665878296,0.5892030000686646,0.4974663555622101
20260903,2,ordinary,linear,S017,action_macro,525,0.8240358233451843,2.201336622238159,1.3901872634887695
20260903,2,ordinary,linear,S022,steer_deg,172,7.204756736755371,11.672185897827148,13.490839004516602
20260903,2,ordinary,linear,S022,brake,172,0.03461121767759323,0.046274375170469284,0.041627053171396255
20260903,2,ordinary,linear,S022,accelerator,172,0.031064331531524658,0.05745978280901909,0.04709171876311302
20260903,2,ordinary,linear,S022,speed_kmh,172,0.1840820014476776,0.5534701943397522,0.4688462018966675
