episode_uid,folder,vehicle_file,v2_2_epoch_quality_flags,v2_2_epoch_quality_cn,figure_path
rec_v1_gf_2025_09_26_10_52_57_0017,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_gf_2025_09_26_10_52_57_0017.png
rec_v1_gzj_2025_09_27_11_53_25_0007,05_边界基本一致,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_53_25_vehicle.csv,boundary_ok,旧边界与新边界基本一致,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\05_边界基本一致\rec_v1_gzj_2025_09_27_11_53_25_0007.png
rec_v1_zx_2025_09_27_17_45_11_0023,06_活动弱或不清楚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_17_45_11_vehicle.csv,,局部车辆/驾驶员活动分数较弱，边界不可靠,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\06_活动弱或不清楚\rec_v1_zx_2025_09_27_17_45_11_0023.png
rec_v1_zx_2025_09_27_17_25_16_0000,06_活动弱或不清楚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_17_25_16_vehicle.csv,,局部车辆/驾驶员活动分数较弱，边界不可靠,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\06_活动弱或不清楚\rec_v1_zx_2025_09_27_17_25_16_0000.png
rec_v1_yzy_2025_09_27_15_04_26_0003,06_活动弱或不清楚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_15_04_26_vehicle.csv,,局部车辆/驾驶员活动分数较弱，边界不可靠,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\06_活动弱或不清楚\rec_v1_yzy_2025_09_27_15_04_26_0003.png
rec_v1_rjy_2025_09_28_19_33_26_0000,06_活动弱或不清楚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_33_26_vehicle.csv,,局部车辆/驾驶员活动分数较弱，边界不可靠,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\06_活动弱或不清楚\rec_v1_rjy_2025_09_28_19_33_26_0000.png
rec_v1_zxy_2025_09_28_16_01_55_0029,06_活动弱或不清楚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zxy\Entity_Recording_2025_09_28_16_01_55_vehicle.csv,,局部车辆/驾驶员活动分数较弱，边界不可靠,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\06_活动弱或不清楚\rec_v1_zxy_2025_09_28_16_01_55_0029.png
rec_v1_lx_2025_09_26_08_58_43_0000,06_活动弱或不清楚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_08_58_43_vehicle.csv,,局部车辆/驾驶员活动分数较弱，边界不可靠,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\06_活动弱或不清楚\rec_v1_lx_2025_09_26_08_58_43_0000.png
rec_v1_yyl_2025_09_28_09_39_01_0000,06_活动弱或不清楚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_39_01_vehicle.csv,,局部车辆/驾驶员活动分数较弱，边界不可靠,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\06_活动弱或不清楚\rec_v1_yyl_2025_09_28_09_39_01_0000.png
rec_v1_cwh_2025_09_26_19_27_21_0006,06_活动弱或不清楚,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,,局部车辆/驾驶员活动分数较弱，边界不可靠,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v2_2_epoch_refined\figures\epoch_boundary_review_v2_2\06_活动弱或不清楚\rec_v1_cwh_2025_09_26_19_27_21_0006.png
