model_name,sample_rmse,gt_peak_abs,pred_peak_abs,pred_over_gt_peak_ratio,wrong_side,severe_amp_under,gt_reversal_count,pred_reversal_count,reversal_count_exact,recurrence_rank,event_uid,sample_id,subject,session_stamp,config_id,window_config_id,split_strategy
formal_ridge_vehicle_context_no_subject,0.8189501762390137,1.6409621238708496,0.25927844643592834,0.15800391895963994,1,1,1,8,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
knn_template_context_no_subject,0.7805995345115662,1.6409621238708496,0.4188025891780853,0.2552177061772614,1,1,1,16,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
peak_scaled_template_context_no_subject,0.799955427646637,1.6409621238708496,0.5746926665306091,0.3502168990805054,1,1,1,30,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
rbf_kernel_ridge_context_no_subject,0.7502529621124268,1.6409621238708496,0.38560596108436584,0.23498772791584224,0,1,1,52,0,6,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000060335__pre1_label2_event_trigger,hzh,2025_09_26_21_03_19,session_pre1,pre1_label2_event_trigger,session_level_split
direction_gated_knn_template_no_subject,1.058066725730896,2.461432933807373,0.8525426983833313,0.3463603199070748,0,1,2,1,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
formal_ridge_vehicle_context_no_subject,0.856623113155365,2.461432933807373,1.1044539213180542,0.44870364174809024,0,1,2,6,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
knn_template_context_no_subject,1.1141602993011475,2.461432933807373,0.6935420632362366,0.2817635425733325,0,1,2,21,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
peak_scaled_template_context_no_subject,1.0347200632095337,2.461432933807373,0.8950322866439819,0.3636224551767639,0,1,2,33,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
rbf_kernel_ridge_context_no_subject,1.4459693431854248,2.461432933807373,0.1309867650270462,0.053215654681451896,0,1,2,0,0,7,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000407670__pre1_label2_event_trigger,hzh,2025_09_27_19_44_05,session_pre1,pre1_label2_event_trigger,session_level_split
direction_gated_knn_template_no_subject,0.5517146587371826,2.333853006362915,1.4976439476013184,0.6417044876083486,0,0,8,24,0,8,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,tyy,2025_09_28_14_44_09,random_main,pre2_label2_old_main,random_event_split
formal_ridge_vehicle_context_no_subject,1.1361052989959717,2.333853006362915,0.4071202874183655,0.17444127214028068,0,1,8,8,1,8,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,tyy,2025_09_28_14_44_09,random_main,pre2_label2_old_main,random_event_split
knn_template_context_no_subject,0.4231354594230652,2.333853006362915,1.6476807594299316,0.7059916605449301,0,0,8,32,0,8,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,tyy,2025_09_28_14_44_09,random_main,pre2_label2_old_main,random_event_split
peak_scaled_template_context_no_subject,0.5884817242622375,2.333853006362915,1.545238971710205,0.6620978131430442,0,0,8,20,0,8,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,tyy,2025_09_28_14_44_09,random_main,pre2_label2_old_main,random_event_split
rbf_kernel_ridge_context_no_subject,0.750158429145813,2.333853006362915,1.1749578714370728,0.503441248542097,0,0,8,16,0,8,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890,vehicle_instability_allraw__tyy__2025_09_28_14_44_09__000058890__pre2_label2_old_main,tyy,2025_09_28_14_44_09,random_main,pre2_label2_old_main,random_event_split
direction_gated_knn_template_no_subject,0.6918644309043884,1.6784822940826416,1.2196227312088013,0.7266223394244229,0,0,2,16,0,9,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,hzh,2025_09_26_21_03_19,session_pre3,pre3_label3_response_coverage,session_level_split
formal_ridge_vehicle_context_no_subject,1.1274996995925903,1.6784822940826416,0.24407359957695007,0.1454132703320211,0,1,2,6,0,9,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,hzh,2025_09_26_21_03_19,session_pre3,pre3_label3_response_coverage,session_level_split
knn_template_context_no_subject,0.8301165699958801,1.6784822940826416,0.8458669185638428,0.5039474777576628,0,0,2,50,0,9,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,hzh,2025_09_26_21_03_19,session_pre3,pre3_label3_response_coverage,session_level_split
peak_scaled_template_context_no_subject,0.6945867538452148,1.6784822940826416,1.2436856031417847,0.7409584286508718,0,0,2,18,0,9,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,hzh,2025_09_26_21_03_19,session_pre3,pre3_label3_response_coverage,session_level_split
rbf_kernel_ridge_context_no_subject,0.6650255918502808,1.6784822940826416,1.431304931640625,0.8527375812581276,0,0,2,30,0,9,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,hzh,2025_09_26_21_03_19,session_pre3,pre3_label3_response_coverage,session_level_split
direction_gated_knn_template_no_subject,2.5993142127990723,2.7082290649414062,0.704754114151001,0.2602269221884481,1,1,5,74,0,10,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
formal_ridge_vehicle_context_no_subject,3.190236806869507,2.7082290649414062,1.442177176475525,0.5325166896496353,1,0,5,78,0,10,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
knn_template_context_no_subject,2.3343567848205566,2.7082290649414062,0.40092799067497253,0.1480406498346353,1,1,5,18,0,10,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
peak_scaled_template_context_no_subject,2.4841792583465576,2.7082290649414062,0.5163366794586182,0.19065472937378336,1,1,5,37,0,10,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
rbf_kernel_ridge_context_no_subject,2.3233418464660645,2.7082290649414062,0.43790242075920105,0.16169327271017797,1,1,5,131,0,10,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000185120__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
direction_gated_knn_template_no_subject,2.686779499053955,3.333054780960083,0.9271083474159241,0.2781557485079413,1,1,5,68,0,11,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
formal_ridge_vehicle_context_no_subject,2.400724411010742,3.333054780960083,0.4984205365180969,0.1495386572597908,1,1,5,48,0,11,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
knn_template_context_no_subject,2.182029962539673,3.333054780960083,0.26158517599105835,0.07848211121081815,1,1,5,22,0,11,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
peak_scaled_template_context_no_subject,2.532351016998291,3.333054780960083,0.7804846167564392,0.23416495318796454,1,1,5,48,0,11,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
rbf_kernel_ridge_context_no_subject,2.4029629230499268,3.333054780960083,0.7116521000862122,0.21351347243120364,1,1,5,131,0,11,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085,vehicle_instability_allraw__zxy__2025_09_28_16_35_30__000471085__pre3_label3_response_coverage,zxy,2025_09_28_16_35_30,session_pre3,pre3_label3_response_coverage,session_level_split
direction_gated_knn_template_no_subject,1.1073249578475952,2.5556859970092773,1.0651739835739136,0.4167859372475354,0,1,4,54,0,12,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285__pre2_label2_old_main,hzh,2025_09_27_19_33_25,random_main,pre2_label2_old_main,random_event_split
formal_ridge_vehicle_context_no_subject,1.4945507049560547,2.5556859970092773,0.3117317855358124,0.12197577711057153,0,1,4,4,1,12,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285__pre2_label2_old_main,hzh,2025_09_27_19_33_25,random_main,pre2_label2_old_main,random_event_split
knn_template_context_no_subject,1.0398046970367432,2.5556859970092773,1.1881312131881714,0.46489718008337094,0,1,4,65,0,12,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285__pre2_label2_old_main,hzh,2025_09_27_19_33_25,random_main,pre2_label2_old_main,random_event_split
peak_scaled_template_context_no_subject,1.1307224035263062,2.5556859970092773,1.1008883714675903,0.43076041922046576,0,1,4,22,0,12,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285__pre2_label2_old_main,hzh,2025_09_27_19_33_25,random_main,pre2_label2_old_main,random_event_split
rbf_kernel_ridge_context_no_subject,1.2191078662872314,2.5556859970092773,0.8399248123168945,0.32864945587986705,0,1,4,6,0,12,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000325285__pre2_label2_old_main,hzh,2025_09_27_19_33_25,random_main,pre2_label2_old_main,random_event_split
