oracle_best_index,oracle_best_model,oracle_sample_rmse,rbf_kernel_ridge_context_no_subject__sample_rmse,proto_combo_full__sample_rmse,proto_direction_amp__sample_rmse,proto_peak_tail__sample_rmse,proto_tail_correction__sample_rmse,proto_correction__sample_rmse,proto_amplitude__sample_rmse,sample_id,split
0,rbf_kernel_ridge_context_no_subject,0.30120876,0.30120876,0.496119,0.30300725,1.0485739,1.0934954,1.0885981,1.1364883,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000104490__pre3_label3_response_coverage,train
1,proto_combo_full,0.1956687,0.3706358,0.1956687,0.26014003,0.33513534,0.29667154,0.3030037,0.37351942,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000184075__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.47253588,0.47253588,0.54239255,0.4995478,0.59827834,0.6201322,0.6246842,0.59542906,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000198480__pre3_label3_response_coverage,train
2,proto_direction_amp,0.27807832,0.35855603,0.30199507,0.27807832,0.7349719,0.76070803,0.76646376,0.7187181,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,train
4,proto_tail_correction,0.4803083,0.5689505,0.68888927,0.4894559,0.48387447,0.4803083,0.482031,0.5179922,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.25521904,0.25521904,0.41935012,0.49670103,0.52044904,0.5246896,0.5222507,0.49831057,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,train
2,proto_direction_amp,0.24727905,0.36668804,0.36085144,0.24727905,0.4478721,0.39799726,0.40270954,0.45910507,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,test
1,proto_combo_full,0.29635835,0.32304978,0.29635835,0.39450958,0.7713429,0.79202664,0.7951879,0.7308274,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,test
5,proto_correction,0.10457426,0.17232157,0.29743952,0.3346907,0.13837087,0.13725594,0.10457426,0.1536531,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,test
1,proto_combo_full,0.5709304,0.6568684,0.5709304,0.6384612,0.60681707,0.6022211,0.612734,0.5878671,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.35762912,0.35762912,0.39675,0.45393786,0.7956012,0.81519204,0.81765777,0.76732737,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,test
1,proto_combo_full,0.38272703,0.66069776,0.38272703,0.55398357,1.3004187,1.2777514,1.2735047,1.3381763,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,test
1,proto_combo_full,0.59903586,0.657525,0.59903586,0.60471755,0.75819373,0.7985436,0.7939308,0.7441217,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,test
2,proto_direction_amp,0.2956206,0.37773642,0.4099825,0.2956206,0.60178006,0.5734348,0.56525373,0.59738505,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.19699311,0.19699311,0.24358976,0.22160508,0.81693256,0.8443516,0.8501006,0.77103513,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2477251,0.2477251,0.51532423,0.51532423,0.94605935,0.97365737,0.97974557,1.121171,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2498363,0.2498363,0.37768087,0.5150474,0.98981273,0.9616774,0.9559297,1.0568404,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.08940011,0.08940011,0.42637914,0.24290302,0.8445181,0.8196373,0.8128942,0.85901034,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,train
2,proto_direction_amp,0.21117881,0.28908187,0.25822228,0.21117881,0.88883376,0.91305023,0.9188323,0.86607176,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.2561657,0.2561657,0.30703545,0.31905073,0.7169363,0.7726573,0.76539683,0.8041725,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,train
1,proto_combo_full,0.409322,0.48824212,0.409322,0.49124196,0.8456834,0.8636452,0.86652195,0.8173387,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,train
1,proto_combo_full,0.11438941,0.15416946,0.11438941,0.15628399,0.52802175,0.5546018,0.5597693,0.5132557,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,train
1,proto_combo_full,0.17134126,0.17678432,0.17134126,0.24037878,0.6511603,0.6762476,0.6806336,0.63110423,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.26457497,0.26457497,0.3524895,0.35151783,1.0534389,1.0778816,1.0831748,1.0285882,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.27901196,0.27901196,0.38874185,0.3855832,0.6997753,0.7160773,0.71893936,0.6689002,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre3_label3_response_coverage,test
1,proto_combo_full,0.39000878,0.5038023,0.39000878,0.4375584,1.1075181,1.1300021,1.1344968,1.0802944,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.23600979,0.23600979,0.35843545,0.30425298,0.6391741,0.6589796,0.66309816,0.61703926,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.4599532,0.4599532,0.6963067,0.6963067,0.8434569,0.8258986,0.8237164,0.63646615,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,test
0,rbf_kernel_ridge_context_no_subject,0.3613468,0.3613468,0.49224895,0.45665863,0.6038064,0.57175374,0.57460815,0.6177044,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,test
1,proto_combo_full,0.46490455,0.7811084,0.46490455,0.57178193,0.97659916,0.9987884,1.0015333,0.9168648,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.30207458,0.30207458,0.96735287,0.96735287,1.3684897,1.3544863,1.3513832,1.3387088,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.04680604,0.04680604,0.090995036,0.09324763,0.20082363,0.20158008,0.117678896,0.19049312,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.4173554,0.4173554,1.0029553,1.0029553,1.0427272,1.0209899,1.0146879,1.0489981,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.110144734,0.110144734,0.3632801,0.495088,1.1035392,1.065636,0.9196573,1.1674237,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.105435945,0.105435945,0.20062302,0.2593123,0.13158174,0.13115379,0.20708217,0.14601454,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.047791928,0.047791928,0.39263842,0.4420902,0.3894402,0.3897961,0.39438048,0.4056603,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.21465318,0.21465318,0.2296628,0.38356343,0.66810423,0.62280667,0.62845814,0.59197783,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.6089252,0.6089252,0.86033213,0.86033213,1.4036572,1.4191407,1.4234377,1.4954854,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515__pre3_label3_response_coverage,train
6,proto_amplitude,0.04310044,0.21372683,0.18997195,0.2588284,0.047834557,0.048264198,0.08043521,0.04310044,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.39752486,0.39752486,0.5455136,0.43595794,0.5292539,0.5607467,0.55875075,0.60601217,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.033928223,0.033928223,0.08320762,0.18735464,0.1843897,0.18419844,0.13068229,0.18617539,vehicle_instability_allraw__jy__2025_09_26_17_51_46__000542335__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.22890048,0.22890048,0.3003174,0.24103944,0.60153806,0.5565607,0.56153774,0.5162524,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000064705__pre3_label3_response_coverage,val
0,rbf_kernel_ridge_context_no_subject,0.27554795,0.27554795,0.40519485,0.33640617,0.8423207,0.79427147,0.7998387,0.7514372,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000198735__pre3_label3_response_coverage,val
1,proto_combo_full,0.20444883,0.33360738,0.20444883,0.41756362,0.6459976,0.69045246,0.68374777,0.72122806,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000326600__pre3_label3_response_coverage,val
0,rbf_kernel_ridge_context_no_subject,0.14581971,0.14581971,0.2968373,0.38622338,0.5977017,0.6226616,0.6273065,0.5941126,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000135315__pre3_label3_response_coverage,train
3,proto_peak_tail,0.42543945,0.531719,0.7108109,0.57233936,0.42543945,0.43091652,0.4357841,0.42713985,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000215535__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.18206838,0.18206838,0.32182345,0.24424009,0.6908326,0.64112335,0.6486728,0.6743248,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000385260__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.14064445,0.14064445,0.49687752,0.49687752,1.1331028,1.1078181,1.1033325,0.9313906,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000480490__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.14217316,0.14217316,0.25997397,0.15507725,0.762788,0.7341708,0.7270467,0.77150255,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000089180__pre3_label3_response_coverage,train
3,proto_peak_tail,0.06624431,0.23100938,0.0724588,0.16727379,0.06624431,0.2685488,0.24466062,0.109628074,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000357070__pre3_label3_response_coverage,train
0,rbf_kernel_ridge_context_no_subject,0.05706732,0.05706732,0.26370838,0.15334798,0.32740372,0.28289086,0.28649828,0.3389705,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000380645__pre3_label3_response_coverage,train
