window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf
pre3_label3_response_coverage,session_level_split,test,proto_amplitude__fallback_rbf_conf_prod_lt_0.40,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_amplitude__fallback_rbf_conf_prod_lt_0.50,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.10,40,0.5565178658595149,0.775,0.225,0.75,0.4553465384989977,1.1223496292625854,0.175,0.3803749933838844,0.46899999901652334,0.18156978022307158,0.05,0.1,0.025,0.95,0.975,0.7069502330784057,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.022851176420557895,0.0,0.0,0.028043268740815086
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.18,40,0.5466334764999766,0.775,0.225,0.75,0.4030098829418421,1.1379438357938891,0.125,0.42337499707937243,0.4107499986886978,0.18443200386827813,0.05,0.075,0.025,0.95,0.975,0.691490123926016,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.012966787061019613,0.0,0.0,0.012583159588425485
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.25,40,0.5351013887127674,0.775,0.225,0.75,0.4068132895976305,1.1120247509868684,0.125,0.43874999731779096,0.2908749984577298,0.18129151659086346,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.001434699273810347,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.32,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.40,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_combo_full__fallback_rbf_conf_prod_lt_0.50,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.10,40,0.7952247756772549,0.525,0.475,0.0,0.9400375176221132,0.48627749990916713,0.725,0.9345000043511391,1.7703750001266598,0.18739171939669177,0.05,0.1,0.0,0.95,0.975,1.2275081970481017,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.2615580862382979,0.24999999999999997,-0.75,0.5486012327105111
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.18,40,0.6744322531897953,0.775,0.225,0.25,0.6838399711996317,0.8534788360614783,0.425,0.6744999960064888,1.0442499987781049,0.18985906146699563,0.05,0.075,0.0,0.95,0.975,1.0590927326145096,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.14076556375083826,0.0,-0.5,0.3801857682769191
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.25,40,0.541548723404143,0.775,0.225,0.75,0.4567622680217028,1.0718704040778877,0.175,0.45999999791383744,0.3928749980404973,0.1822967965970747,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.007882033965185942,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.32,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.40,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
pre3_label3_response_coverage,session_level_split,test,proto_correction__fallback_rbf_conf_prod_lt_0.50,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core,0.533666689438957,0.225,0.75,0.6789069643375906,0.0,0.0,0.0,0.0
