split,sample_id,oracle_winner_model,oracle_sample_rmse,pool_name
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000308055__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.284918338060379,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000331425__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.5689504742622375,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__gzj__2025_09_27_12_28_14__000362825__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.255219042301178,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000034605__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.1759395897388458,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000128695__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.323049783706665,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.108291283249855,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.6568683981895447,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.357629120349884,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.6606977581977844,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.5853204131126404,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.2251154631376266,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1969930976629257,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.24772509932518,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2498362809419632,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.0894001051783561,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,keypoint_residual_vehicle_transformer_no_subject,0.2740966975688934,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2561657130718231,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.4882421195507049,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1541694551706314,oracle_rbf_plus_keypoint
train,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.1767843067646026,oracle_rbf_plus_keypoint
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,rbf_kernel_ridge_context_no_subject,0.2645749747753143,oracle_rbf_plus_keypoint
