window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124192,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,topk_vehicle_transformer_best_of_3_oracle,188,0.3458486938630437,0.9042553191489362,0.09574468085106383,0.8723404255319149,0.31068027467328185,1.0975744908275462,0.0797872340425532,0.4314893657698276,0.3598138322320549,0.32729059622834805,0.2127659574468085,0.13297872340425532,0.22872340425531915,0.925531914893617,0.5797872340425532,0.5449537905019972,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,topk_vehicle_transformer_branch0_no_subject,188,0.4281761094026442,0.9095744680851063,0.09042553191489362,0.7659574468085106,0.3820503267281233,1.2516374034431637,0.14893617021276595,0.4314361740141473,0.39885638243063015,0.23962058036859354,0.14893617021276595,0.17553191489361702,0.20212765957446807,0.925531914893617,0.5904255319148937,0.6536547551264176,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,topk_vehicle_transformer_branch1_no_subject,188,0.5339386968385176,0.8936170212765957,0.10638297872340426,0.7659574468085106,0.455126318010561,1.3619045378051513,0.1595744680851064,0.5288297875606,0.36824468195319493,0.2823992403821049,0.18085106382978725,0.14361702127659576,0.15425531914893617,0.925531914893617,0.43617021276595747,0.7427164913289922,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,topk_vehicle_transformer_branch2_no_subject,188,0.48894965122488193,0.8829787234042553,0.11702127659574468,0.7446808510638298,0.4016385427973372,1.8037110434254058,0.10106382978723404,0.48803191418026354,0.44345744768593537,0.3840063111478849,0.32978723404255317,0.13297872340425532,0.24468085106382978,0.925531914893617,0.6542553191489362,0.7294846770610872,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,topk_vehicle_transformer_top1_no_subject,188,0.45143211957618967,0.8936170212765957,0.10638297872340426,0.723404255319149,0.36987009458243847,1.2583734807034734,0.14893617021276595,0.4654255321526781,0.4098936169249739,0.3100961141496961,0.22340425531914893,0.13297872340425532,0.22340425531914893,0.925531914893617,0.6702127659574468,0.6973613610061375,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,keypoint_residual_vehicle_transformer_no_subject,42,0.5983004641535546,0.9047619047619048,0.09523809523809523,0.5,0.5912717589665026,2.7175859572586596,0.23809523809523808,0.5014285750332332,0.7934523794267859,0.20815568596368567,0.047619047619047616,0.40476190476190477,0.047619047619047616,0.9285714285714286,0.0,0.95711332634618,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,oracle_best_of_rbf_keypoint_topk_upper_bound,42,0.4422853167039475,0.8809523809523809,0.11904761904761904,0.7,0.41795122734992546,2.062412339592991,0.16666666666666666,0.4488095279250826,0.4313095199565093,0.2120595988665969,0.07142857142857142,0.16666666666666666,0.09523809523809523,0.9285714285714286,0.5714285714285714,0.736068166116491,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,oracle_best_of_rbf_topk_upper_bound,42,0.4591278894537539,0.8809523809523809,0.11904761904761904,0.7,0.42730172231938424,2.0129339177323056,0.14285714285714285,0.4671428579659689,0.4376190448445933,0.231866674149954,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.9285714285714286,0.6428571428571429,0.736068166116491,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,rbf_kernel_ridge_context_no_subject,42,0.5714822247805078,0.8809523809523809,0.11904761904761904,0.5,0.5098802603937641,3.109326650188326,0.21428571428571427,0.5198809525796345,0.5092857141225111,0.20645945040390648,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.9285714285714286,0.9523809523809523,0.9109325436974252,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,topk_vehicle_transformer_best_of_3_oracle,42,0.5203600654367607,0.8809523809523809,0.11904761904761904,0.6,0.473459219293935,2.228397697831783,0.16666666666666666,0.4397619033143634,0.5317857096060401,0.28846148157580975,0.23809523809523808,0.07142857142857142,0.19047619047619047,0.9285714285714286,0.47619047619047616,0.836172367519762,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,topk_vehicle_transformer_branch0_no_subject,42,0.6210183257590106,0.8809523809523809,0.11904761904761904,0.3,0.5297821926928702,2.3607572748552283,0.23809523809523808,0.5114285725922811,0.5798809516820169,0.3092299197312622,0.21428571428571427,0.19047619047619047,0.16666666666666666,0.9285714285714286,0.4523809523809524,0.9690886826936559,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,topk_vehicle_transformer_branch1_no_subject,42,0.6682583207223814,0.8571428571428571,0.14285714285714285,0.6,0.5141342292938914,2.2530517310412406,0.16666666666666666,0.531190479795138,0.5182142807170749,0.3032391545850606,0.19047619047619047,0.07142857142857142,0.19047619047619047,0.9285714285714286,0.4523809523809524,1.0032834112732236,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,topk_vehicle_transformer_branch2_no_subject,42,0.7042971288288278,0.8809523809523809,0.11904761904761904,0.4,0.635119983128139,2.9547410728741053,0.2857142857142857,0.5346428574550719,0.60166666403945,0.41850143759733155,0.2857142857142857,0.11904761904761904,0.19047619047619047,0.9285714285714286,0.5952380952380952,1.0484830845747921,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,val,topk_vehicle_transformer_top1_no_subject,42,0.6320666952383984,0.8809523809523809,0.11904761904761904,0.3,0.537378575475443,2.2336217441117983,0.2619047619047619,0.5130952390886488,0.6308333339347016,0.340648207281317,0.2857142857142857,0.09523809523809523,0.21428571428571427,0.9285714285714286,0.5238095238095238,0.9924749185550682,B_response3s_strict_core
