split,pair_name,n_samples,mean_distance,median_distance,q75_distance,q90_distance
train,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,188,0.1349690252558348,0.0,0.30127643793821335,0.34708722531795505
train,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,188,0.35993083459424213,0.32386474311351776,0.5659256279468536,0.6535643935203552
train,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,188,0.222284890949092,0.25722986459732056,0.3400748521089554,0.4284010022878647
val,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,42,0.26882064147364526,0.22223327308893204,0.30394934862852097,0.44407579302787775
val,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,42,0.3624754775138128,0.3182474821805954,0.4066188856959343,0.6348922610282898
val,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,42,0.4022969294871603,0.3812476396560669,0.4764793813228607,0.637986260652542
val,keypoint_residual_vehicle_transformer_no_subject__vs__topk_vehicle_transformer_top1_no_subject,42,0.3116523167561917,0.2638431638479233,0.3949677273631096,0.5209565103054046
val,rbf_kernel_ridge_context_no_subject__vs__keypoint_residual_vehicle_transformer_no_subject,42,0.2842675922881989,0.24767589569091797,0.3558022826910019,0.4710179060697555
val,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,42,0.29630986743030097,0.2623845636844635,0.36232516169548035,0.47135725319385524
val,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,42,0.4083639917274316,0.38723041117191315,0.5115549564361572,0.6146425724029541
val,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,42,0.379535310679958,0.3097148537635803,0.4380066618323326,0.6707829177379607
val,rbf_kernel_ridge_context_no_subject__vs__topk_vehicle_transformer_top1_no_subject,42,0.32877570763230324,0.2893180251121521,0.40579959005117416,0.5179565668106079
val,topk_vehicle_transformer_branch0_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,42,0.28338360307472094,0.2994910031557083,0.32532674819231033,0.35105215311050414
val,topk_vehicle_transformer_branch0_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,42,0.2872415983251163,0.2945028096437454,0.32277316600084305,0.3512885093688965
val,topk_vehicle_transformer_branch1_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,42,0.5518792168725104,0.5641482770442963,0.6316143125295639,0.6641411066055297
val,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch0_no_subject,42,0.09913865796157292,0.0,0.24365771561861038,0.3165916115045547
val,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch1_no_subject,42,0.33145493552798316,0.2994910031557083,0.36332159489393234,0.6417001605033874
val,topk_vehicle_transformer_top1_no_subject__vs__topk_vehicle_transformer_branch2_no_subject,42,0.23348377786931537,0.2676880955696106,0.32277316600084305,0.37264592945575714
