split,sample_id,best_candidate_oracle,selected_choice,policy_name,selected_confidence,prob_branch0,prob_branch1,prob_branch2,prob_rbf,fallback_threshold
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000245880__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_26_20_50_27__000681250__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000202260__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000221890__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000326200__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_26_21_03_19__000504660__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000110230__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_26_21_17_02__000422495__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000054775__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000193515__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_27_19_22_27__000331710__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000059360__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000164300__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000297885__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__hzh__2025_09_27_19_33_25__000511405__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000081885__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000176245__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000218700__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000246255__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000326390__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
test,vehicle_instability_allraw__hzh__2025_09_27_19_44_05__000345860__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000240445__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000414405__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_17_11__000547665__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000426110__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000500270__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000535550__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_29_44__000540950__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000069905__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000228515__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000445490__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_40_51__000526105__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__jy__2025_09_26_17_51_46__000542335__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
val,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000064705__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
val,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000198735__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
val,vehicle_instability_allraw__jy__2025_09_26_18_01_40__000326600__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000135315__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000215535__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000385260__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lx__2025_09_26_09_17_22__000480490__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000089180__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000357070__pre3_label3_response_coverage,branch0,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000380645__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000448640__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_17_55_52__000541050__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000057770__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000084330__pre3_label3_response_coverage,branch2,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000133655__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_06_16__000250730__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000129055__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000175350__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000290870__pre3_label3_response_coverage,branch1,rbf,always_rbf_reference,,,,,,
train,vehicle_instability_allraw__lxy__2025_09_28_18_19_35__000320035__pre3_label3_response_coverage,rbf,rbf,always_rbf_reference,,,,,,
