policy_name,split,n_samples,oracle_choice_accuracy,mean_confidence,brier_multiclass,ece_5bin,rbf_selected_rate,branch0_selected_rate,branch1_selected_rate,branch2_selected_rate
oracle_best_of_rbf_topk_not_deployable,val,42,1.0,,,0.0,0.40476190476190477,0.2619047619047619,0.19047619047619047,0.14285714285714285
rf_shallow_balanced,test,40,0.275,0.3243088993321578,0.7605041024598665,0.049308899332157825,0.275,0.175,0.175,0.375
rf_shallow_balanced,train,188,0.6117021276595744,0.34714179160588104,0.6208944005226246,0.26456033605369345,0.34574468085106386,0.1276595744680851,0.24468085106382978,0.28191489361702127
rf_shallow_balanced,val,42,0.2619047619047619,0.3229143449941056,0.7420654996160823,0.09806384631681661,0.30952380952380953,0.11904761904761904,0.38095238095238093,0.19047619047619047
rf_shallow_balanced__fallback_rbf_conf_lt_0.00,test,40,0.275,0.3243088993321578,0.7605041024598665,0.049308899332157825,0.275,0.175,0.175,0.375
rf_shallow_balanced__fallback_rbf_conf_lt_0.00,train,188,0.6117021276595744,0.34714179160588104,0.6208944005226246,0.26456033605369345,0.34574468085106386,0.1276595744680851,0.24468085106382978,0.28191489361702127
rf_shallow_balanced__fallback_rbf_conf_lt_0.00,val,42,0.2619047619047619,0.3229143449941056,0.7420654996160823,0.09806384631681661,0.30952380952380953,0.11904761904761904,0.38095238095238093,0.19047619047619047
rf_shallow_balanced__fallback_rbf_conf_lt_0.35,test,40,0.275,0.3243088993321578,0.7605041024598665,0.049308899332157825,0.8,0.05,0.05,0.1
rf_shallow_balanced__fallback_rbf_conf_lt_0.35,train,188,0.7287234042553191,0.34714179160588104,0.6208944005226246,0.38158161264943813,0.7712765957446809,0.05851063829787234,0.09042553191489362,0.0797872340425532
rf_shallow_balanced__fallback_rbf_conf_lt_0.35,val,42,0.38095238095238093,0.3229143449941056,0.7420654996160823,0.058038035958275405,0.9047619047619048,0.0,0.09523809523809523,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.50,test,40,0.375,0.3243088993321578,0.7605041024598665,0.07342386960280385,1.0,0.0,0.0,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.50,train,188,0.6223404255319149,0.34714179160588104,0.6208944005226246,0.2751986339260339,1.0,0.0,0.0,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.50,val,42,0.40476190476190477,0.3229143449941056,0.7420654996160823,0.08184755976779923,1.0,0.0,0.0,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.65,test,40,0.375,0.3243088993321578,0.7605041024598665,0.07342386960280385,1.0,0.0,0.0,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.65,train,188,0.6223404255319149,0.34714179160588104,0.6208944005226246,0.2751986339260339,1.0,0.0,0.0,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.65,val,42,0.40476190476190477,0.3229143449941056,0.7420654996160823,0.08184755976779923,1.0,0.0,0.0,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.80,test,40,0.375,0.3243088993321578,0.7605041024598665,0.07342386960280385,1.0,0.0,0.0,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.80,train,188,0.6223404255319149,0.34714179160588104,0.6208944005226246,0.2751986339260339,1.0,0.0,0.0,0.0
rf_shallow_balanced__fallback_rbf_conf_lt_0.80,val,42,0.40476190476190477,0.3229143449941056,0.7420654996160823,0.08184755976779923,1.0,0.0,0.0,0.0
topk_top1_non_oracle,test,40,0.2,,,0.0,0.0,0.725,0.05,0.225
topk_top1_non_oracle,train,188,0.13829787234042554,,,0.0,0.0,0.5425531914893617,0.11170212765957446,0.34574468085106386
topk_top1_non_oracle,val,42,0.30952380952380953,,,0.0,0.0,0.6428571428571429,0.09523809523809523,0.2619047619047619
