subj,recording_id,clean_eeg_fif,clean_eeg_exists,raw_eeg_csv,raw_eeg_exists,raw_eeg_size_mb,raw_eeg_col_count,raw_eeg_channel_count,raw_eeg_accel_count,raw_eeg_first_storage_time,clean_sfreq,clean_nchan,clean_duration_s,clean_bad_count,clean_bad_list,clean_ch_names
hzh,2025_09_27_19_33_25,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\hzh\eeg_clean\Entity_Recording_2025_09_27_19_33_25_eeg_raw_clean_resamp200_ica_final_qc.fif,False,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\hzh\Entity_Recording_2025_09_27_19_33_25_eeg.csv,True,103.524,37.0,32.0,3.0,2025-09-27 19:33:26.338000,,,,,,
hzh,2025_09_27_19_44_05,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\hzh\eeg_clean\Entity_Recording_2025_09_27_19_44_05_eeg_raw_clean_resamp200_ica_final_qc.fif,False,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\hzh\Entity_Recording_2025_09_27_19_44_05_eeg.csv,True,100.041,37.0,32.0,3.0,2025-09-27 19:44:06.446000,,,,,,
jy,2025_09_26_17_17_11,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\jy\eeg_clean\Entity_Recording_2025_09_26_17_17_11_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\jy\Entity_Recording_2025_09_26_17_17_11_eeg.csv,True,120.763,37.0,32.0,3.0,2025-09-26 17:17:11.336000,200.0,31.0,676.215,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;FC1;FC5;AF3;PO3
jy,2025_09_26_17_29_44,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\jy\eeg_clean\Entity_Recording_2025_09_26_17_29_44_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\jy\Entity_Recording_2025_09_26_17_29_44_eeg.csv,True,113.938,37.0,32.0,3.0,2025-09-26 17:29:44.694000,200.0,30.0,639.005,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;PO4;FC6;FC2;AF4;CP6;CP2;CP5;FC1;FC5;AF3;PO3
jy,2025_09_26_17_40_51,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\jy\eeg_clean\Entity_Recording_2025_09_26_17_40_51_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\jy\Entity_Recording_2025_09_26_17_40_51_eeg.csv,True,97.963,37.0,32.0,3.0,2025-09-26 17:40:51.862000,200.0,31.0,549.57,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
jy,2025_09_26_17_51_46,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\jy\eeg_clean\Entity_Recording_2025_09_26_17_51_46_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\jy\Entity_Recording_2025_09_26_17_51_46_eeg.csv,True,100.704,37.0,32.0,3.0,2025-09-26 17:51:46.463000,200.0,31.0,564.885,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
jy,2025_09_26_18_01_40,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\jy\eeg_clean\Entity_Recording_2025_09_26_18_01_40_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\jy\Entity_Recording_2025_09_26_18_01_40_eeg.csv,True,93.17,37.0,32.0,3.0,2025-09-26 18:01:40.795000,200.0,31.0,522.68,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
lx,2025_09_26_08_58_43,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\lx\eeg_clean\Entity_Recording_2025_09_26_08_58_43_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\lx\Entity_Recording_2025_09_26_08_58_43_eeg.csv,True,48.86,37.0,32.0,3.0,2025-09-26 08:58:43.818000,200.0,30.0,273.035,0.0,,P7;P4;Cz;P3;P8;O1;O2;T8;F8;C4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP6;CP2;CP1;CP5;FC1;FC5;AF3;PO3
lx,2025_09_26_09_06_38,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\lx\eeg_clean\Entity_Recording_2025_09_26_09_06_38_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\lx\Entity_Recording_2025_09_26_09_06_38_eeg.csv,True,66.006,37.0,32.0,3.0,2025-09-26 09:06:38.627000,200.0,30.0,383.04,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP2;CP1;FC1;FC5;AF3;PO3
lx,2025_09_26_09_17_22,F:\data_set_process\data_process\01_datasets\多模态数据\被试数据集合\lx\eeg_clean\Entity_Recording_2025_09_26_09_17_22_eeg_raw_clean_resamp200_ica_final_qc.fif,True,F:\data_set_process\data_process\01_datasets\数据预处理\原始脑电数据\lx\Entity_Recording_2025_09_26_09_17_22_eeg.csv,True,110.731,37.0,32.0,3.0,2025-09-26 09:17:22.524000,200.0,31.0,619.48,0.0,,P7;P4;Cz;Pz;P3;P8;O1;O2;T8;F8;C4;F4;Fp2;Fz;C3;F3;Fp1;T7;F7;Oz;PO4;FC6;FC2;AF4;CP2;CP1;CP5;FC1;FC5;AF3;PO3
