fold_id,model_name,rmse_steer_train,rmse_delta_vs_rbf_train,wrong_side_rate_train,wrong_side_delta_vs_rbf_train,large_response_recall_train,large_recall_delta_vs_rbf_train,difficult_top20_rmse_train,difficult_rmse_delta_vs_rbf_train,rmse_steer_val,rmse_delta_vs_rbf_val,wrong_side_rate_val,wrong_side_delta_vs_rbf_val,large_response_recall_val,large_recall_delta_vs_rbf_val,difficult_top20_rmse_val,difficult_rmse_delta_vs_rbf_val,rmse_steer_test,rmse_delta_vs_rbf_test,wrong_side_rate_test,wrong_side_delta_vs_rbf_test,large_response_recall_test,large_recall_delta_vs_rbf_test,difficult_top20_rmse_test,difficult_rmse_delta_vs_rbf_test,abs_train_val_delta_gap,score_stability_l05,score_stability_l10
1,rbf_abs_keypoint_scaled_blend_50,0.3511260814075619,-0.014805789420472004,0.046242774566473986,-0.017341040462427744,0.9318181818181818,0.045454545454545414,0.5239390694959307,-0.031087331473030666,0.5923741744293927,-0.009338625703330328,0.046511627906976744,-0.046511627906976744,0.6363636363636364,0.18181818181818182,0.9595528191311286,-0.030867234604943006,0.6350248193637442,0.026891315317088993,0.2037037037037037,0.0,0.4166666666666667,0.0,0.928111874253239,0.00810948273890355,0.0054671637171416765,-0.0066050438447594895,-0.0038714619861886512
1,rbf_abs_keypoint_scaled,0.3647742618465685,-0.0011576089814653856,0.05202312138728324,-0.011560693641618491,0.8636363636363636,-0.022727272727272707,0.5290439295438516,-0.025982471425109788,0.597010947682566,-0.004701852450156974,0.046511627906976744,-0.046511627906976744,0.8181818181818182,0.3636363636363637,0.9445190376763984,-0.045901016059673116,0.670168281270637,0.06203477722398176,0.24074074074074073,0.037037037037037035,0.5,0.08333333333333331,0.9427395692474254,0.02273717773308992,0.003544243468691588,-0.0029297307158111796,-0.0011576089814653856
1,segment_abs_rf_blend_25,0.371293021703565,0.005361150875531073,0.057803468208092484,-0.005780346820809246,0.8636363636363636,-0.022727272727272707,0.5733037672353896,0.018277366266428174,0.5912329751624975,-0.010479824970225482,0.046511627906976744,-0.046511627906976744,0.6363636363636364,0.18181818181818182,0.9770002236365143,-0.013419830099557273,0.6098024561997646,0.0016689521531093598,0.2037037037037037,0.0,0.4166666666666667,0.0,0.9379721710515447,0.01796977953720924,0.015840975845756555,-0.0025593370473472044,0.005361150875531073
1,segment_resid_rf_blend_25,0.37217779812572477,0.006245927297690856,0.06936416184971098,0.005780346820809246,0.8636363636363636,-0.022727272727272707,0.5701254409967872,0.015099040027825805,0.5952826958775642,-0.006430104255158775,0.06976744186046512,-0.023255813953488372,0.5454545454545454,0.09090909090909088,0.9885265839919564,-0.0018934697441151949,0.5980238505221752,-0.010109653524480011,0.2037037037037037,0.0,0.5,0.08333333333333331,0.9199713548052618,-3.103670907367295e-05,0.012676031552849631,-9.208847873395931e-05,0.006245927297690856
1,rbf_resid_keypoint_scaled_blend_50,0.34735836250738233,-0.018573508320651577,0.057803468208092484,-0.005780346820809246,0.9090909090909091,0.022727272727272707,0.5099384011376603,-0.04508799983130107,0.6013725695280492,-0.00034023060467380795,0.09302325581395349,0.0,0.5454545454545454,0.09090909090909088,0.9753549235932807,-0.015065130142790872,0.6050620252335547,-0.0030714788131005477,0.2037037037037037,0.0,0.5,0.08333333333333331,0.8799446540328515,-0.040057737481484,0.01823327771597777,0.008776408253315077,0.01789304711130396
1,segment_abs_rf_blend_50,0.3963251744811494,0.03039330365311549,0.046242774566473986,-0.017341040462427744,0.8636363636363636,-0.022727272727272707,0.6184422784701183,0.06341587750115696,0.591652076294752,-0.010060723837970964,0.046511627906976744,-0.046511627906976744,0.6363636363636364,0.18181818181818182,0.9727694886301333,-0.01765056510593821,0.6235173645922986,0.015383860545643335,0.2037037037037037,0.0,0.4166666666666667,0.0,0.9615820072954645,0.04157961578112901,0.04045402749108645,0.010166289907572262,0.03039330365311549
1,segment_resid_rf_blend_50,0.3965838583467102,0.030651987518676316,0.057803468208092484,-0.005780346820809246,0.8863636363636364,0.0,0.6130483209634441,0.058021919994482696,0.5986659822024063,-0.003046817930316692,0.046511627906976744,-0.046511627906976744,0.5454545454545454,0.09090909090909088,0.9933751537250088,0.002955099988937282,0.5991108657418014,-0.009022638304853836,0.2037037037037037,0.0,0.5,0.08333333333333331,0.9274000219071356,0.007397630392800059,0.03369880544899301,0.013802584794179812,0.030651987518676316
1,rbf_resid_keypoint_scaled,0.3486988119208161,-0.017233058907217824,0.08092485549132948,0.01734104046242775,0.9090909090909091,0.022727272727272707,0.4934704528606229,-0.061555948108338476,0.6096250246473173,0.00791222451459428,0.09302325581395349,0.0,0.7272727272727273,0.27272727272727276,0.9690414827078894,-0.02137857102818219,0.6081575989418603,2.409489520505126e-05,0.2222222222222222,0.018518518518518517,0.6666666666666666,0.24999999999999994,0.8447767807017202,-0.07522561081261525,0.025145283421812104,0.02048486622550033,0.03305750793640638
1,segment_abs_rf_piecewise,0.4912150462290457,0.1252831754010118,0.05202312138728324,-0.011560693641618491,0.8863636363636364,0.0,0.7678348994108363,0.21280849844187488,0.624529012840571,0.02281621270784806,0.046511627906976744,-0.046511627906976744,0.9090909090909091,0.45454545454545453,0.9920901744901687,0.0016701207540971152,0.6835570463517032,0.075423542305048,0.2037037037037037,0.0,0.5,0.08333333333333331,1.0240695974260905,0.104067205911755,0.10246696269316374,0.07404969405442993,0.1252831754010118
1,segment_resid_rf_piecewise,0.48709383673938494,0.12116196591135103,0.057803468208092484,-0.005780346820809246,0.9318181818181818,0.045454545454545414,0.7607812750907589,0.2057548741217975,0.6337892487979052,0.03207644866518222,0.06976744186046512,-0.023255813953488372,0.6363636363636364,0.18181818181818182,1.0227818853812736,0.03236183164520201,0.634051877714291,0.02591837366763572,0.2037037037037037,0.0,0.6666666666666666,0.24999999999999994,0.9637735307724697,0.04377113925813425,0.08908551724616881,0.07661920728826663,0.12116196591135103
