window_config_id,split_strategy,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id,rbf_ref_rmse,rbf_ref_wrong_side,rbf_ref_large_recall,rbf_ref_difficult_rmse,rmse_delta_vs_rbf,wrong_side_delta_vs_rbf,large_recall_delta_vs_rbf,difficult_rmse_delta_vs_rbf,fold_id,model_name,split,policy_name,selected_model,selection_rule
pre3_label3_response_coverage,session_level_split,43,0.5040048062450282,0.7674418604651163,0.23255813953488372,0.6363636363636364,0.3517027761743859,0.8932451129370648,0.18604651162790697,0.49081396294194596,0.5110465126155421,0.18132499166829294,0.06976744186046512,0.11627906976744186,0.023255813953488372,0.9302325581395349,0.8837209302325582,0.6849499393753182,B_response3s_strict_core,0.50404240118804,0.23255813953488372,0.5454545454545454,0.7018205464406096,-3.7594943011809434e-05,0.0,0.09090909090909094,-0.01687060706529142,2,rbf_resid_keypoint_scaled_blend_50,val,stage7g_original_val_gate,rbf_resid_keypoint_scaled_blend_50,val_noninferior_with_physical_gain
pre3_label3_response_coverage,session_level_split,54,0.7097486951978558,0.7777777777777778,0.2222222222222222,0.47619047619047616,0.6257512068431997,0.7717513879490477,0.35185185185185186,0.6979629709212868,0.6500925932907395,0.22336557583616082,0.05555555555555555,0.1111111111111111,0.037037037037037035,0.9074074074074074,0.8518518518518519,1.0380200014630727,B_response3s_strict_core,0.719608342829408,0.16666666666666666,0.38095238095238093,1.0636938348111946,-0.009859647631552226,0.05555555555555555,0.09523809523809523,-0.0256738333481219,2,rbf_resid_keypoint_scaled_blend_50,test,stage7g_original_val_gate,rbf_resid_keypoint_scaled_blend_50,val_noninferior_with_physical_gain
pre3_label3_response_coverage,session_level_split,173,0.24127900302269598,0.9710982658959537,0.028901734104046242,1.0,0.17785214363581184,0.9156662560865532,0.005780346820809248,0.18427745506942617,0.1495375709252895,0.05099254265976693,0.0,0.05202312138728324,0.15606936416184972,0.9364161849710982,0.9248554913294798,0.36090984337994214,B_response3s_strict_core,0.21901959280967584,0.028901734104046242,1.0,0.3139838730928889,0.022259410213020137,0.0,0.0,0.046925970287053254,2,segment_resid_rf_blend_25,train,stability_penalty_l05,segment_resid_rf_blend_25,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,43,0.504722401512132,0.7441860465116279,0.2558139534883721,0.5454545454545454,0.36083277050665646,0.8681157692736494,0.20930232558139536,0.3943023362825083,0.6117441843935224,0.1799805926613856,0.06976744186046512,0.11627906976744186,0.0,0.9302325581395349,0.8837209302325582,0.686330673128939,B_response3s_strict_core,0.50404240118804,0.23255813953488372,0.5454545454545454,0.7018205464406096,0.0006800003240919894,0.023255813953488386,0.0,-0.015489873311670621,2,segment_resid_rf_blend_25,val,stability_penalty_l05,segment_resid_rf_blend_25,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,54,0.7056914982767378,0.7777777777777778,0.2222222222222222,0.47619047619047616,0.6333784899950303,0.7350409093607851,0.35185185185185186,0.6488889022557823,0.70972221924199,0.22121011793421563,0.037037037037037035,0.09259259259259259,0.037037037037037035,0.9074074074074074,0.8703703703703703,1.0543329851146623,B_response3s_strict_core,0.719608342829408,0.16666666666666666,0.38095238095238093,1.0636938348111946,-0.013916844552670171,0.05555555555555555,0.09523809523809523,-0.00936084969653228,2,segment_resid_rf_blend_25,test,stability_penalty_l05,segment_resid_rf_blend_25,score=val_delta+0.5*abs(train_delta-val_delta)
pre3_label3_response_coverage,session_level_split,173,0.5655421169058906,0.861271676300578,0.13872832369942195,0.25,0.6363683566451073,0.8586138061890862,0.3872832369942196,0.4039306470941257,0.4169075137294958,0.16784149458220718,0.04046242774566474,0.08670520231213873,0.023121387283236993,0.9190751445086706,0.9653179190751445,0.9430573266157073,B_response3s_strict_core,0.5655421169058906,0.13872832369942195,0.25,0.9430573266157073,0.0,0.0,0.0,0.0,3,rbf_kernel_ridge_context_no_subject,train,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,43,0.4910276735434295,0.8372093023255814,0.16279069767441862,0.0,0.5086419980886371,2.5220146864025903,0.27906976744186046,0.5422093126662942,0.5579069754931816,0.13183898317998513,0.09302325581395349,0.06976744186046512,0.023255813953488372,0.9302325581395349,1.0,0.9245355373732959,B_response3s_strict_core,0.4910276735434295,0.16279069767441862,0.0,0.9245355373732959,0.0,0.0,0.0,0.0,3,rbf_kernel_ridge_context_no_subject,val,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,54,0.6478193097576831,0.8518518518518519,0.14814814814814814,0.14285714285714285,0.7006056356692204,0.9903039037962528,0.4444444444444444,0.5254629828311779,0.599074074032682,0.15681530747679062,0.037037037037037035,0.07407407407407407,0.0,0.9629629629629629,0.9629629629629629,0.9955259283425777,B_response3s_strict_core,0.6478193097576831,0.14814814814814814,0.14285714285714285,0.9955259283425777,0.0,0.0,0.0,0.0,3,rbf_kernel_ridge_context_no_subject,test,always_rbf_reference,rbf_kernel_ridge_context_no_subject,reference
pre3_label3_response_coverage,session_level_split,173,0.5095271541884799,0.9075144508670521,0.09248554913294797,0.6136363636363636,0.4937850959232949,0.9381903475332194,0.21965317919075145,0.46780347763802965,0.43644509005839427,0.13726195964270482,0.028901734104046242,0.09248554913294797,0.028901734104046242,0.9190751445086706,0.9075144508670521,0.8311516835036069,B_response3s_strict_core,0.5655421169058906,0.13872832369942195,0.25,0.9430573266157073,-0.05601496271741069,-0.04624277456647398,0.36363636363636365,-0.11190564311210038,3,rbf_resid_keypoint_scaled_blend_50,train,stage7g_original_val_gate,rbf_resid_keypoint_scaled_blend_50,val_rmse_improvement_gt_0_002
pre3_label3_response_coverage,session_level_split,43,0.47644759778394763,0.8372093023255814,0.16279069767441862,0.42857142857142855,0.4538034963053326,3.2111938155866877,0.18604651162790697,0.5194186173206152,0.4481395353064981,0.12988683618171964,0.06976744186046512,0.046511627906976744,0.046511627906976744,0.9302325581395349,1.0,0.8629334218749375,B_response3s_strict_core,0.4910276735434295,0.16279069767441862,0.0,0.9245355373732959,-0.014580075759481892,0.0,0.42857142857142855,-0.06160211549835837,3,rbf_resid_keypoint_scaled_blend_50,val,stage7g_original_val_gate,rbf_resid_keypoint_scaled_blend_50,val_rmse_improvement_gt_0_002
pre3_label3_response_coverage,session_level_split,54,0.634528473472147,0.8333333333333334,0.16666666666666666,0.42857142857142855,0.5806429259203099,1.3773030036037932,0.2222222222222222,0.5190740945162596,0.46759259507611944,0.15640130093217725,0.037037037037037035,0.07407407407407407,0.0,0.9629629629629629,0.9629629629629629,0.9428835775565563,B_response3s_strict_core,0.6478193097576831,0.14814814814814814,0.14285714285714285,0.9955259283425777,-0.013290836285536067,0.018518518518518517,0.2857142857142857,-0.05264235078602142,3,rbf_resid_keypoint_scaled_blend_50,test,stage7g_original_val_gate,rbf_resid_keypoint_scaled_blend_50,val_rmse_improvement_gt_0_002
