subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,read_status,read_error,raw_rows,duration_s,non_steering_seed_count,merged_episode_count
gf,2025_09_26_10_18_49,原始车辆数据/gf/Entity_Recording_2025_09_26_10_18_49_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_18_49_vehicle.csv,6ee51bd1c9b8e8386372885e569d42d78b31b4e7c26984fe3b746e99da155494,ok,,233533,583.83,43,22
gf,2025_09_26_10_30_12,原始车辆数据/gf/Entity_Recording_2025_09_26_10_30_12_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_30_12_vehicle.csv,aa606fb1ecf71feef1f564dd422c382295247b323dd5beda17fc393f502341b6,ok,,226398,565.995,46,18
gf,2025_09_26_10_40_59,原始车辆数据/gf/Entity_Recording_2025_09_26_10_40_59_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_40_59_vehicle.csv,04caf01ecb8979b76d4bb15ba69d9b5f7c6a2ea75953dfdd03bdef8780487989,ok,,236531,591.325,40,18
gf,2025_09_26_10_52_57,原始车辆数据/gf/Entity_Recording_2025_09_26_10_52_57_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gf\Entity_Recording_2025_09_26_10_52_57_vehicle.csv,8cf27411f644ff61566465ffb0071cb331cc4f0775effb4ef2b6f6a57628faa4,ok,,247324,618.31,44,17
gzj,2025_09_27_11_38_49,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_38_49_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_38_49_vehicle.csv,2d4cad799d77f98918a1c812fd09c6e76e5162a9f6d1c35864615069858fde16,ok,,34472,86.18,13,6
gzj,2025_09_27_11_41_47,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_41_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_41_47_vehicle.csv,2d324d79c2498cd06126fbfe07d11576bd84436686ccbbbcf61a43e4e1d159bf,ok,,256629,641.57,76,38
gzj,2025_09_27_11_53_25,原始车辆数据/gzj/Entity_Recording_2025_09_27_11_53_25_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_11_53_25_vehicle.csv,d089b40a99b8a75d5f3fca1452967be18332a03fa89fd2e37d875a45d6db761e,ok,,237776,594.44,69,30
gzj,2025_09_27_12_04_23,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_04_23_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_04_23_vehicle.csv,0e0ffdd2fc8910a27b145000413d474d45e672895117bbd5b52ba21501236ae6,ok,,125652,314.13,41,21
gzj,2025_09_27_12_17_12,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_17_12_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_17_12_vehicle.csv,d13252a729d8fc94d0d11982947c1b07540e6ec3a83114fcee6b4e5de0483d30,ok,,245899,614.749,69,28
gzj,2025_09_27_12_28_14,原始车辆数据/gzj/Entity_Recording_2025_09_27_12_28_14_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\gzj\Entity_Recording_2025_09_27_12_28_14_vehicle.csv,4f0c93c6426234284e4be5038f0b87afc03f9cb28eaf25e6b30d2c098b0f7016,ok,,250995,627.485,76,33
hzh,2025_09_26_20_50_27,原始车辆数据/hzh/Entity_Recording_2025_09_26_20_50_27_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_20_50_27_vehicle.csv,70145aac303ef29c2fc4760ca0b819dd5240b13b5c685826daece1d0713c8c33,ok,,292464,731.16,70,41
hzh,2025_09_26_21_03_19,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_03_19_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_03_19_vehicle.csv,f3431bc9e0df50a1c77345636371d9e9117dedd56076f5d609f1ae697470342d,ok,,239433,598.581,57,26
hzh,2025_09_26_21_17_02,原始车辆数据/hzh/Entity_Recording_2025_09_26_21_17_02_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_26_21_17_02_vehicle.csv,3f29be6faacf4866df22a866363d9fee1ed6c01b1ec827193044c011637766cd,ok,,265837,664.59,55,35
hzh,2025_09_27_19_22_27,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_22_27_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_22_27_vehicle.csv,a4c313d8f9707d2fd12bcc4421c179cdba5fc8d2e0656371f297b76fe104c6d3,ok,,230782,576.952,45,23
hzh,2025_09_27_19_33_25,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_33_25_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_33_25_vehicle.csv,188a8b4e059622f849519c23a5d2203be2916dd2d73a463c329e8140ad2cb786,ok,,226180,565.456,53,30
hzh,2025_09_27_19_44_05,原始车辆数据/hzh/Entity_Recording_2025_09_27_19_44_05_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\hzh\Entity_Recording_2025_09_27_19_44_05_vehicle.csv,fb116d2c865919069210f7acf249cd516840389724bb34d7b882351568741bce,ok,,218664,546.66,51,24
jy,2025_09_26_17_17_11,原始车辆数据/jy/Entity_Recording_2025_09_26_17_17_11_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_17_11_vehicle.csv,b34a48da97fd55e0916d9a604e9f6b1021ef6fbe2809dea1ea9e93abe1c65941,ok,,270490,676.225,35,19
jy,2025_09_26_17_29_44,原始车辆数据/jy/Entity_Recording_2025_09_26_17_29_44_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_29_44_vehicle.csv,35d4c3cb2d1a37f82def814bfd3531823ab7a7d6025dc3a1b44643f25e66376a,ok,,255605,639.012,36,16
jy,2025_09_26_17_40_51,原始车辆数据/jy/Entity_Recording_2025_09_26_17_40_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_40_51_vehicle.csv,8cdc2a8316610e6519cb65c8da03ebe31072d5934d25309b863c566da5e2c4eb,ok,,219833,549.58,39,21
jy,2025_09_26_17_51_46,原始车辆数据/jy/Entity_Recording_2025_09_26_17_51_46_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_17_51_46_vehicle.csv,9be6b671a8518dcfd7d9faf6184dda1816dfdf52303d86a8f8d0c0f92123e130,ok,,225959,564.895,40,20
jy,2025_09_26_18_01_40,原始车辆数据/jy/Entity_Recording_2025_09_26_18_01_40_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\jy\Entity_Recording_2025_09_26_18_01_40_vehicle.csv,4cec057f18b8e18b438e62a5356aac62e02d69f2b03c2e67e5bdf8490d92a5d2,ok,,209075,522.685,34,17
lx,2025_09_26_08_58_43,原始车辆数据/lx/Entity_Recording_2025_09_26_08_58_43_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_08_58_43_vehicle.csv,dc5ccad13b3e382773e3079623cd82934f4cb025c460f92fab3bad8af0290a5d,ok,,109219,273.046,38,12
lx,2025_09_26_09_06_38,原始车辆数据/lx/Entity_Recording_2025_09_26_09_06_38_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_09_06_38_vehicle.csv,8ebcfdac8a5463e90a020cd6622eb6e2df9f7bd5b5000dbbce29a0cf8f2edbc1,ok,,76610,383.045,51,18
lx,2025_09_26_09_17_22,原始车辆数据/lx/Entity_Recording_2025_09_26_09_17_22_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lx\Entity_Recording_2025_09_26_09_17_22_vehicle.csv,0de154f51319f69f4e2c9c2ec1ea1ce284954418e3b9c6ebaf936fb1573a198f,ok,,247796,619.49,65,29
lxy,2025_09_28_17_55_52,原始车辆数据/lxy/Entity_Recording_2025_09_28_17_55_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_17_55_52_vehicle.csv,d90ab0cfa5c21e51e410d89a6ace5d3c1ffc2848207d57886468a273fc1d3f01,ok,,237282,593.205,74,38
lxy,2025_09_28_18_06_16,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_06_16_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_18_06_16_vehicle.csv,cd3480403bb284dc392305cb7c6f6bc74fe724d2c11fa8cd916fd86b2e6d1938,ok,,231885,579.715,70,32
lxy,2025_09_28_18_16_26,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_16_26_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_18_16_26_vehicle.csv,69c477405bf24b41978ee8bebdade73472e6067a56feed018b16cd7714fb8a3c,ok,,5661,14.15,1,1
lxy,2025_09_28_18_19_35,原始车辆数据/lxy/Entity_Recording_2025_09_28_18_19_35_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\lxy\Entity_Recording_2025_09_28_18_19_35_vehicle.csv,1735d287d37c5f3b5ef292385010787581b3864457b61b1ccb7002f4fb47158a,ok,,217613,544.031,54,22
rjy,2025_09_28_19_33_26,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_33_26_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_33_26_vehicle.csv,01436a5bdee52567619ced49be5980032c8fe3c36e01f1ac42fee70dcf8a6f21,ok,,258759,646.902,45,25
rjy,2025_09_28_19_44_42,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_44_42_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_44_42_vehicle.csv,5b5abba83d45b9ab931f971a3e31909a3e683748b21a57a708cc039986cd1337,ok,,59036,147.59,6,4
rjy,2025_09_28_19_49_06,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_49_06_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_49_06_vehicle.csv,0f77553cb88ef531340fbaee40806ddf4dfde56ff53ee471e653ad6e63095752,ok,,24288,60.72,7,3
rjy,2025_09_28_19_51_44,原始车辆数据/rjy/Entity_Recording_2025_09_28_19_51_44_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_19_51_44_vehicle.csv,321490a10177e5c7ad5a2f27b679df1230aed32a58b20343e3b5a221e415a954,ok,,233522,583.805,53,24
rjy,2025_09_28_20_02_20,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_02_20_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_20_02_20_vehicle.csv,33ef0d599b2ccd1b84d498caffb5fff7666013196faaaa8a9934cfdc57e22346,ok,,291151,727.875,73,32
rjy,2025_09_28_20_15_42,原始车辆数据/rjy/Entity_Recording_2025_09_28_20_15_42_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\rjy\Entity_Recording_2025_09_28_20_15_42_vehicle.csv,ec20c18f4693dd1c278921d576601c0c8d734912a407db081977d5da990e7817,ok,,239574,598.936,56,28
txj,2025_09_27_08_39_31,原始车辆数据/txj/Entity_Recording_2025_09_27_08_39_31_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_08_39_31_vehicle.csv,82b45adfde77ced8c9e95fbc174ba452fc7cfb07336743e6c646f59463379153,ok,,1297,6.48,0,0
txj,2025_09_27_08_40_46,原始车辆数据/txj/Entity_Recording_2025_09_27_08_40_46_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_08_40_46_vehicle.csv,038a1a948db349e9c2765b83e4de7766c763c2bf68c487b92fc9fb83e56d8f83,ok,,294693,736.73,82,36
txj,2025_09_27_08_53_44,原始车辆数据/txj/Entity_Recording_2025_09_27_08_53_44_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_08_53_44_vehicle.csv,45dd2a65495e9fa1bc4319913c4d3559c3fa9fccb8be5b136ce4ceb8ce397910,ok,,271217,678.045,82,29
txj,2025_09_27_09_06_19,原始车辆数据/txj/Entity_Recording_2025_09_27_09_06_19_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_06_19_vehicle.csv,9dc9b2b49d4887358c963988e6783766b6807729011f0d48f6fe857180b0dd86,ok,,251947,629.865,88,35
txj,2025_09_27_09_17_11,原始车辆数据/txj/Entity_Recording_2025_09_27_09_17_11_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\txj\Entity_Recording_2025_09_27_09_17_11_vehicle.csv,35314d52e160ca04cc923db50d18ecae69cc095b4f372529e93a8c17fc54a61d,ok,,247309,618.271,87,35
tyy,2025_09_28_14_23_43,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_23_43_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_23_43_vehicle.csv,51eaed96db7a8b4c379c1557cf71a7a4572f4d6fb4588403d0914cb4e3442e00,ok,,361394,903.485,105,50
tyy,2025_09_28_14_40_01,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_40_01_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_40_01_vehicle.csv,1a2517b443af923a89487be766c9cabc7db60214e7a517280d728e5af2cb5a4f,ok,,74230,185.575,12,8
tyy,2025_09_28_14_44_09,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_44_09_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_44_09_vehicle.csv,59415e702283573a11af78dfcf113ceeca7f395adbac9aa2e6327363c327ba55,ok,,229856,574.641,56,25
tyy,2025_09_28_14_57_17,原始车辆数据/tyy/Entity_Recording_2025_09_28_14_57_17_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\tyy\Entity_Recording_2025_09_28_14_57_17_vehicle.csv,dd1127e5cf3742fe46c2d55e839261b79b041c5e7825193aec04e11d57df8d54,ok,,178666,446.665,32,19
xst,2025_09_26_11_34_18,原始车辆数据/xst/Entity_Recording_2025_09_26_11_34_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\xst\Entity_Recording_2025_09_26_11_34_18_vehicle.csv,ffcc68f826fe7e4441bbce95d509e7ab871ea89bf676c3c0f91a85a242912822,ok,,297149,742.871,55,26
yyl,2025_09_28_09_14_23,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_14_23_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_14_23_vehicle.csv,80bc3ac6a586dcdb7d352958d225aa83d7b409ac15c4b4624e5df06adb176158,ok,,311586,778.965,75,37
yyl,2025_09_28_09_29_01,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_29_01_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_29_01_vehicle.csv,3de1ae55d57dc132ce70fcb32d92de10d5d75309038b012cf5123e4f16b4b504,ok,,228717,571.791,44,19
yyl,2025_09_28_09_39_01,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_39_01_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_39_01_vehicle.csv,08e893cf7dda234d56740bce279b4f199ef4b459524f714469a692f5407d2cdc,ok,,228617,571.548,57,24
yyl,2025_09_28_09_49_11,原始车辆数据/yyl/Entity_Recording_2025_09_28_09_49_11_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yyl\Entity_Recording_2025_09_28_09_49_11_vehicle.csv,1e3806d86e15e3caea58ca610f6ee8cb5b2550b33764331a2cda1e29e1483843,ok,,217133,542.831,60,26
yzy,2025_09_27_14_13_03,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_13_03_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_13_03_vehicle.csv,9db98bd3bc0010a25b70ec3f54204f4370db8035a796205597a9ee68a8898717,ok,,277992,694.98,72,34
yzy,2025_09_27_14_26_04,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_26_04_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_26_04_vehicle.csv,4bc413c500f617c4089653ececa6aab4e6998c06d464df484a30626e9bb18619,ok,,246108,615.27,82,39
yzy,2025_09_27_14_37_08,原始车辆数据/yzy/Entity_Recording_2025_09_27_14_37_08_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_14_37_08_vehicle.csv,104d64b19efee3e4683f6f23d05a15a1229be15ce7e51607db23a9b6c734fa24,ok,,237971,594.925,62,25
yzy,2025_09_27_15_04_26,原始车辆数据/yzy/Entity_Recording_2025_09_27_15_04_26_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_15_04_26_vehicle.csv,1cfb562beb8969dc65e320b4cc4486d0d7f86ef9312196424050db7927f1e755,ok,,22698,113.485,3,2
yzy,2025_09_27_15_07_57,原始车辆数据/yzy/Entity_Recording_2025_09_27_15_07_57_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\yzy\Entity_Recording_2025_09_27_15_07_57_vehicle.csv,b7a13b62c82086e8172a313e45119147944a20733190a58e3da3e9c8c6bf3b05,ok,,234219,585.545,63,28
zdq,2025_09_26_15_14_51,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_14_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_14_51_vehicle.csv,b93de0274f1bbec55e4ea61b6b1d922d0b71345c686b6082a4f2ba25941a8301,ok,,142185,355.46,31,14
zdq,2025_09_26_15_21_51,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_21_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_21_51_vehicle.csv,6ea1e18ffa5e63cc3e10e21a188a437621347a64a477b06e1f7decd7c011ba40,ok,,104743,261.856,24,8
zdq,2025_09_26_15_27_09,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_27_09_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_27_09_vehicle.csv,84b686ee8c05a7d8d5da3e671b3a4a7ef5af33721a469e9b7d40884bca0d41ee,ok,,108273,541.36,38,16
zdq,2025_09_26_15_37_30,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_37_30_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_37_30_vehicle.csv,dc54111d8f806c514a8660e3091d701f87cfad6dc73b9006b98a94958804f304,ok,,209470,523.675,24,10
zdq,2025_09_26_15_52_46,原始车辆数据/zdq/Entity_Recording_2025_09_26_15_52_46_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_15_52_46_vehicle.csv,b2f35f963bb5bff1dc3234354b317818695473a5a22d8e504d16b76943414ee2,ok,,120274,601.365,37,19
zdq,2025_09_26_16_03_48,原始车辆数据/zdq/Entity_Recording_2025_09_26_16_03_48_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zdq\Entity_Recording_2025_09_26_16_03_48_vehicle.csv,b2c63d3ccf6fc293998f65cd2497d8fba308ed66731f367d9c5c25c1aa505e60,ok,,111575,557.87,40,20
zt,2025_09_28_11_20_08,原始车辆数据/zt/Entity_Recording_2025_09_28_11_20_08_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zt\Entity_Recording_2025_09_28_11_20_08_vehicle.csv,a9c485c7d5de6a5ce8715616bca29b0b1c3df1fa0de5252d81cee02d43d44d9e,ok,,249957,624.897,64,28
zx,2025_09_27_16_32_00,原始车辆数据/zx/Entity_Recording_2025_09_27_16_32_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_16_32_00_vehicle.csv,9ac8233cb0ff3d513eb20502c1b6e94b2fa1349dde0ec95faa53a46b10708fb1,ok,,280098,700.246,64,38
zx,2025_09_27_16_46_13,原始车辆数据/zx/Entity_Recording_2025_09_27_16_46_13_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_16_46_13_vehicle.csv,e5bc2db169a17bca0fa27ce530d67cddcb1e0c54fd5b61aa01f23ab636a868aa,ok,,284040,710.1,68,31
zx,2025_09_27_17_14_07,原始车辆数据/zx/Entity_Recording_2025_09_27_17_14_07_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_17_14_07_vehicle.csv,26d745b30004ac1b79bb69bc38990b071dac072e89c71f9c69e04c70064f8e32,ok,,224643,561.605,50,24
zx,2025_09_27_17_25_16,原始车辆数据/zx/Entity_Recording_2025_09_27_17_25_16_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\zx\Entity_Recording_2025_09_27_17_25_16_vehicle.csv,bacd96729f7174f298675a452c748e13f9ccb16c6d8171149f7213f1aaba3d58,ok,,55453,138.632,8,6
