window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,source_artifact,model_order,display_name,source_group,uses_subject_id,uses_physio,uses_eeg,uses_continuous_style,multi_segment_rate_abs_gap
pre2_label2_old_main,session_level_split,test,rbf_kernel_ridge_context_no_subject,139,0.5402869535087953,0.7841726618705036,0.2158273381294964,0.6,0.4226091017029156,0.949628178199425,0.2517985611510791,0.4554316551565266,0.4589568326088915,0.5305004090272458,0.5323741007194245,0.1438848920863309,0.0431654676258992,0.6762589928057554,0.8776978417266187,1.0151983717730086,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,10,RBF KRR,strong_vehicle_diagnostic,False,False,False,False,0.20143884892086328
pre2_label2_old_main,session_level_split,test,knn_template_context_no_subject,139,0.5169408972350654,0.8273381294964028,0.1726618705035971,0.52,0.4207141387591259,1.2801086480927597,0.2446043165467626,0.4323740989613018,0.3337410073928374,0.5019614725782395,0.4460431654676259,0.1007194244604316,0.0071942446043165,0.6762589928057554,0.9928057553956836,1.040523976873459,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,11,KNN template,template_memory_risk,False,False,False,False,0.3165467625899282
pre2_label2_old_main,session_level_split,test,direction_gated_knn_template_no_subject,139,0.5795806716519325,0.7913669064748201,0.2086330935251798,0.64,0.396332813788661,2.0241861847379337,0.0719424460431654,0.3973741027519857,0.3383453243659983,0.5747654161168089,0.4820143884892086,0.1079136690647482,0.1294964028776978,0.6762589928057554,0.9856115107913668,1.0850500606527895,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,12,direction-gated KNN,template_memory_risk,False,False,False,False,0.30935251798561136
pre2_label2_old_main,session_level_split,test,peak_scaled_template_context_no_subject,139,0.5550550646919509,0.7913669064748201,0.2086330935251798,0.6,0.3956371463245625,1.7986746106919624,0.079136690647482,0.3864028816171687,0.3064028760954309,0.5520137623220468,0.460431654676259,0.1223021582733813,0.0935251798561151,0.6762589928057554,0.9280575539568344,1.0661786141983234,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,13,peak-scaled template,template_memory_risk,False,False,False,False,0.251798561151079
pre2_label2_old_main,session_level_split,test,vehicle_transformer_context_no_subject,139,0.5671624648735801,0.8201438848920863,0.1798561151079136,0.44,0.4700618201344133,1.54415296867094,0.2661870503597122,0.4472302136232527,0.3808992818440143,0.5261124599684807,0.460431654676259,0.1079136690647482,0.2014388489208633,0.6762589928057554,0.0,1.0891067685733942,stage03_vehicle_instability_vehicle_transformer_v0_1,14,vehicle Transformer,true_vehicle_transformer,False,False,False,False,0.6762589928057554
pre2_label2_old_main,session_level_split,train,zero_response_hold_current,611,0.7899119048238925,0.530278232405892,0.469721767594108,0.0,1.031255043238255,0.0,1.0,1.5240261878592682,1.5520049102708038,0.7690237105234164,0.7381342062193126,0.7659574468085106,0.0769230769230769,0.7119476268412439,0.0,1.4542502258101888,stage03_vehicle_instability_formal_baselines_v0_1,0,zero hold,no_learning,False,False,False,False,0.7119476268412439
pre2_label2_old_main,session_level_split,train,history_trend_500ms,611,1.1170001255463622,0.3273322422258592,0.6726677577741408,0.6405228758169934,0.5735359404379644,1.6372216021383443,0.1800327332242225,0.4726350233812379,0.3958019634217951,1.4002996029033812,0.8821603927986906,0.7659574468085106,0.0769230769230769,0.7119476268412439,0.0,1.795394991909388,stage03_vehicle_instability_formal_baselines_v0_1,1,history trend,no_learning,False,False,False,False,0.7119476268412439
pre2_label2_old_main,session_level_split,train,train_mean_all,611,0.7889282918800234,0.469721767594108,0.530278232405892,0.0,0.9563501066545028,0.3806340122030191,0.9361702127659576,0.9888052274084326,1.3299018012759094,0.7642850246945009,0.7217675941080196,0.2340425531914893,0.2111292962356792,0.7119476268412439,0.0,1.4499415653641805,stage03_vehicle_instability_formal_baselines_v0_1,2,train mean,no_learning,False,False,False,False,0.7119476268412439
pre2_label2_old_main,session_level_split,train,train_mean_by_event_type,611,0.7861532195378685,0.5417348608837971,0.4582651391162029,0.0,0.9252347864405712,0.5421122181305713,0.8968903436988543,0.6773158747904039,1.2325531921750346,0.7651028978850223,0.7381342062193126,0.2307692307692307,0.1456628477905073,0.7119476268412439,0.4942716857610474,1.4426377650517406,stage03_vehicle_instability_formal_baselines_v0_1,3,event mean,no_learning,False,False,False,False,0.2176759410801965
pre2_label2_old_main,session_level_split,train,ridge_vehicle_history_no_subject,611,0.6806018094170845,0.7054009819967266,0.2945990180032733,0.0718954248366013,0.6798570445462842,2.9128332013592857,0.5106382978723404,0.4622667800580226,0.5077168577611324,0.6863978149858265,0.6153846153846154,0.2438625204582651,0.0785597381342062,0.7119476268412439,0.9689034369885434,1.208448811165061,stage03_vehicle_instability_formal_baselines_v0_1,4,ridge history,formal_linear,False,False,False,False,0.2569558101472995
pre2_label2_old_main,session_level_split,train,formal_ridge_vehicle_context_no_subject,611,0.6776371192641806,0.7528641571194763,0.2471358428805237,0.0196078431372549,0.7284280852629588,2.007376537913198,0.5941080196399345,0.501661212910607,0.6689279872539976,0.6746645789761507,0.6382978723404256,0.2258592471358428,0.1292962356792144,0.7119476268412439,0.9328968903436988,1.2222870741648375,stage03_vehicle_instability_formal_baselines_v0_1,5,formal ridge,formal_linear,False,False,False,False,0.22094926350245492
pre2_label2_old_main,session_level_split,train,active_legacy_best,611,0.6956234345836191,0.7921440261865794,0.2078559738134206,0.1503267973856209,0.6818689378847272,1.155978773939115,0.6202945990180033,0.6307528731344594,0.6806137496193966,0.5879756707725543,0.5728314238952537,0.762684124386252,0.0818330605564648,0.7103109656301145,0.0703764320785597,1.2411288981874846,oldcode_vehicle_direct_full_clean_on_instability_v0_1,6,old vehicle_direct active,old_vehicle_direct_clean,False,False,False,False,0.6399345335515548
pre2_label2_old_main,session_level_split,train,structure_best,611,0.6737527677232228,0.8379705400981997,0.1620294599018003,0.2222222222222222,0.6015291544524938,1.143408688577341,0.502454991816694,0.5416694072344982,0.5818985281283502,0.5271997287771901,0.4828150572831424,0.762684124386252,0.0867430441898527,0.7103109656301145,0.690671031096563,1.1740695549738205,oldcode_vehicle_direct_full_clean_on_instability_v0_1,7,old vehicle_direct structure,old_vehicle_direct_clean,False,False,False,False,0.019639934533551506
pre2_label2_old_main,session_level_split,train,ridge_rich_history_no_subject,611,0.6363502828862518,0.7315875613747954,0.2684124386252046,0.1372549019607843,0.6103225881249054,2.667630641862337,0.4189852700490998,0.4686252088476515,0.3808265150571928,0.6351265430358222,0.563011456628478,0.2144026186579378,0.0458265139116202,0.7119476268412439,0.9738134206219312,1.126437639585098,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,8,rich ridge history,strong_vehicle_diagnostic,False,False,False,False,0.2618657937806873
pre2_label2_old_main,session_level_split,train,ridge_rich_context_no_subject,611,0.5840758712960721,0.8003273322422259,0.1996726677577741,0.1830065359477124,0.5810452040693374,2.1244648652455043,0.3600654664484451,0.4429296276085505,0.3449590838576763,0.5889352783615055,0.5319148936170213,0.1947626841243862,0.0294599018003273,0.7119476268412439,0.9869067103109656,1.0292773266050754,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,9,rich ridge context,strong_vehicle_diagnostic,False,False,False,False,0.27495908346972164
pre2_label2_old_main,session_level_split,train,rbf_kernel_ridge_context_no_subject,611,0.2241413090674542,0.9607201309328968,0.0392798690671031,0.9869281045751634,0.2041887889035829,0.9516041270746476,0.0147299509001636,0.1617430434143094,0.1056792132995425,0.221547083582412,0.1063829787234042,0.1063829787234042,0.1849427168576104,0.7119476268412439,0.8968903436988543,0.3603624573732276,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,10,RBF KRR,strong_vehicle_diagnostic,False,False,False,False,0.18494271685761043
pre2_label2_old_main,session_level_split,train,knn_template_context_no_subject,611,1.9385630712076327e-06,1.0,0.0,1.0,2.0824255590950505e-06,0.999998670937732,0.0,0.0060229142441882,0.0,1.8727083106673092e-06,0.0,0.0392798690671031,1.0,0.7119476268412439,0.7119476268412439,3.3064948528677755e-06,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,11,KNN template,template_memory_risk,False,False,False,False,0.0
pre2_label2_old_main,session_level_split,train,direction_gated_knn_template_no_subject,611,4.382224150776648e-06,1.0,0.0,1.0,4.117365194097429e-06,1.0000040694584758,0.0,0.0103273320754108,0.0,4.415220844691982e-06,0.0,0.0834697217675941,1.0,0.7119476268412439,0.7119476268412439,7.2647917560952705e-06,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,12,direction-gated KNN,template_memory_risk,False,False,False,False,0.0
pre2_label2_old_main,session_level_split,train,peak_scaled_template_context_no_subject,611,0.0519736357632583,1.0,0.0,1.0,0.0054177590122838,0.9992597188642384,0.0,0.0092062201661876,9.819962779355712e-05,0.0041641808321101,0.0,0.0654664484451718,1.0,0.7119476268412439,0.7119476268412439,0.1158380258366117,stage03_vehicle_instability_strong_vehicle_baselines_v0_1,13,peak-scaled template,template_memory_risk,False,False,False,False,0.0
pre2_label2_old_main,session_level_split,train,vehicle_transformer_context_no_subject,611,0.5009278562087857,0.867430441898527,0.132569558101473,0.4967320261437908,0.4725140670037016,1.3598692475612597,0.2585924713584288,0.4677332261677849,0.3908265121022022,0.4971798569120039,0.4582651391162029,0.1963993453355155,0.1571194762684124,0.7119476268412439,0.0,0.875741432543619,stage03_vehicle_instability_vehicle_transformer_v0_1,14,vehicle Transformer,true_vehicle_transformer,False,False,False,False,0.7119476268412439
pre2_label2_old_main,session_level_split,val,zero_response_hold_current,156,0.914927286505892,0.6217948717948718,0.3782051282051282,0.0,1.185139130227841,0.0,1.0,1.4993910260307484,1.5421474384597669,0.8175505066338258,0.6794871794871795,0.7435897435897436,0.1025641025641025,0.7243589743589743,0.0,1.7009611420857422,stage03_vehicle_instability_formal_baselines_v0_1,0,zero hold,no_learning,False,False,False,False,0.7243589743589743
pre2_label2_old_main,session_level_split,val,history_trend_500ms,156,1.254016443223255,0.3525641025641026,0.6474358974358975,0.5476190476190477,0.6771642831810869,1.3918073507079878,0.2179487179487179,0.4876282041271527,0.3837820527096016,1.45791013748385,0.8974358974358975,0.7435897435897436,0.1025641025641025,0.7243589743589743,0.0,2.068553299721974,stage03_vehicle_instability_formal_baselines_v0_1,1,history trend,no_learning,False,False,False,False,0.7243589743589743
pre2_label2_old_main,session_level_split,val,train_mean_all,156,0.914280972969227,0.3782051282051282,0.6217948717948718,0.0,1.110277963945499,0.2414323915662622,0.9230769230769232,0.9573397325017512,1.3112820531241596,0.8088845429130089,0.6602564102564102,0.2564102564102564,0.173076923076923,0.7243589743589743,0.0,1.6984903345721,stage03_vehicle_instability_formal_baselines_v0_1,2,train mean,no_learning,False,False,False,False,0.7243589743589743
pre2_label2_old_main,session_level_split,val,train_mean_by_event_type,156,0.9182120826582404,0.5,0.5,0.0,1.0804434422737894,0.2963266977571266,0.8717948717948718,0.6579166702353038,1.207307693691781,0.807153268227688,0.6602564102564102,0.25,0.1666666666666666,0.7243589743589743,0.5064102564102564,1.7038876394476627,stage03_vehicle_instability_formal_baselines_v0_1,3,event mean,no_learning,False,False,False,False,0.21794871794871795
pre2_label2_old_main,session_level_split,val,ridge_vehicle_history_no_subject,156,0.8093263080040192,0.7435897435897436,0.2564102564102564,0.0952380952380952,0.8611314291946399,2.685301102222418,0.4871794871794871,0.4566666630980296,0.5038461503393662,0.7651498723515453,0.6346153846153846,0.2564102564102564,0.0448717948717948,0.7243589743589743,0.9807692307692308,1.3911973317258983,stage03_vehicle_instability_formal_baselines_v0_1,4,ridge history,formal_linear,False,False,False,False,0.2564102564102565
